Dutch	3	4917128	1837
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	185159	0.026603583
			2)	ens	85	11057	0.0015886661
			3)	end	90	10559	0.0015171136
			4)	ent	101	9837	0.0014133769
			5)	ene	269	3688	5.298906E-4
			6)	eni	292	3429	4.9267756E-4
			7)	enk	346	2947	4.2342398E-4
			8)	eno	397	2624	3.7701544E-4
			9)	enw	578	1779	2.5560614E-4
			10)	eng	592	1739	2.4985895E-4
			11)	enh	615	1660	2.3850825E-4
			12)	enl	616	1654	2.3764616E-4
			13)	ena	763	1235	1.774444E-4
			14)	enr	973	829	1.19110446E-4
			15)	enn	1054	701	1.00719444E-4
			16)	enb	1096	654	9.3966504E-5
			17)	env	1313	443	6.365009E-5
			18)	enz	1321	435	6.250066E-5
			19)	enm	1435	369	5.3017797E-5
			20)	enu	1726	236	3.39084E-5
		2)	et	0	0	0.0
			1)	et_	5	57303	0.008233276
			2)	ete	125	8230	0.0011824836
			3)	etr	294	3405	4.892293E-4
			4)	ett	657	1541	2.2141037E-4
			5)	ets	875	1018	1.462659E-4
			6)	etg	913	948	1.3620833E-4
			7)	eta	949	872	1.2528867E-4
			8)	eti	1275	476	6.839152E-5
			9)	etw	1533	321	4.6121175E-5
			10)	eto	1616	277	3.9799266E-5
			11)	eth	1719	238	3.419576E-5
		3)	er	0	0	0.0
			1)	er_	9	35967	0.0051677264
			2)	ere	58	14924	0.0021442755
			3)	ers	63	13800	0.0019827795
			4)	erd	119	8584	0.0012333463
			5)	erk	123	8347	0.0011992942
			6)	eri	142	7372	0.0010592066
			7)	erv	283	3510	5.0431566E-4
			8)	erg	301	3340	4.798901E-4
			9)	ern	326	3098	4.451196E-4
			10)	ert	328	3065	4.4037818E-4
			11)	erh	353	2881	4.1394113E-4
			12)	era	362	2823	4.0560772E-4
			13)	erm	371	2728	3.9195814E-4
			14)	erw	402	2593	3.725614E-4
			15)	erb	409	2571	3.6940043E-4
			16)	erl	444	2374	3.4109553E-4
			17)	erz	456	2290	3.2902643E-4
			18)	ero	515	2039	2.9296285E-4
			19)	erp	572	1807	2.5962916E-4
			20)	err	933	911	1.3089218E-4
			21)	eru	960	839	1.2054724E-4
			22)	erc	1703	245	3.520152E-5
		4)	ee	0	0	0.0
			1)	een	16	29109	0.0041823713
			2)	eer	55	15252	0.0021914023
			3)	eel	150	7010	0.0010071945
			4)	eef	206	5099	7.3262263E-4
			5)	ee_	486	2187	3.1422742E-4
			6)	eed	523	1989	2.8577886E-4
			7)	eem	575	1799	2.5847973E-4
			8)	ees	808	1141	1.639385E-4
			9)	eet	1013	761	1.09340224E-4
			10)	eek	1018	757	1.0876551E-4
			11)	eeg	1683	251	3.6063597E-5
		5)	el	0	0	0.0
			1)	eli	51	15637	0.0022467189
			2)	ele	73	12608	0.0018115132
			3)	el_	80	12016	0.0017264549
			4)	eld	184	5955	8.556124E-4
			5)	ell	238	4443	6.383688E-4
			6)	ela	243	4313	6.196904E-4
			7)	els	490	2171	3.1192857E-4
			8)	elf	522	1992	2.862099E-4
			9)	elk	620	1637	2.3520361E-4
			10)	elo	836	1077	1.54743E-4
			11)	elt	892	985	1.4152448E-4
			12)	elu	1534	321	4.6121175E-5
			13)	elg	1545	316	4.5402776E-5
			14)	eln	1656	264	3.7931433E-5
			15)	elp	1717	239	3.4339442E-5
			16)	elv	1746	231	3.3190005E-5
			17)	elm	1760	226	3.2471606E-5
		6)	ei	0	0	0.0
			1)	eid	83	11570	0.0016623738
			2)	eit	288	3464	4.9770635E-4
			3)	ein	500	2111	3.0330778E-4
			4)	eig	709	1379	1.9813426E-4
			5)	eil	732	1320	1.8965716E-4
			6)	eis	1120	625	8.979979E-5
			7)	eik	1140	606	8.706988E-5
			8)	ei_	1176	571	8.204109E-5
			9)	eie	1825	204	2.9310651E-5
		7)	ed	0	0	0.0
			1)	ede	103	9770	0.0014037504
			2)	edi	382	2686	3.859236E-4
			3)	ed_	386	2674	3.8419943E-4
			4)	edr	701	1392	2.000021E-4
			5)	eds	768	1223	1.7572024E-4
			6)	eda	885	995	1.4296127E-4
			7)	edu	996	782	1.123575E-4
			8)	edo	1311	444	6.379377E-5
			9)	edt	1608	282	4.0517665E-5
			10)	edk	1666	259	3.7213034E-5
		8)	eg	0	0	0.0
			1)	ege	108	9526	0.0013686925
			2)	egi	339	2978	4.2787805E-4
			3)	ega	581	1772	2.5460037E-4
			4)	egg	586	1760	2.5287623E-4
			5)	egd	601	1715	2.4641064E-4
			6)	egr	628	1610	2.3132426E-4
			7)	eg_	813	1129	1.6221435E-4
			8)	egt	1546	316	4.5402776E-5
		9)	es	0	0	0.0
			1)	est	128	8098	0.0011635179
			2)	es_	190	5699	8.1883045E-4
			3)	esc	388	2655	3.8146952E-4
			4)	esl	561	1848	2.6552004E-4
			5)	esp	699	1398	2.0086417E-4
			6)	eso	1002	773	1.11064386E-4
			7)	ess	1178	569	8.175373E-5
			8)	ese	1257	489	7.025936E-5
			9)	esu	1352	415	5.9627062E-5
			10)	esi	1679	253	3.6350957E-5
		10)	ez	0	0	0.0
			1)	eze	133	7883	0.0011326268
			2)	ezi	545	1897	2.7256034E-4
			3)	ezo	965	836	1.201162E-4
			4)	eza	1642	270	3.879351E-5
		11)	ec	0	0	0.0
			1)	ech	136	7717	0.001108776
			2)	ect	412	2548	3.660958E-4
			3)	eco	539	1931	2.7744545E-4
			4)	eci	1067	683	9.813321E-5
			5)	ece	1434	370	5.316148E-5
		12)	ev	0	0	0.0
			1)	eve	137	7694	0.0011054714
			2)	evo	306	3296	4.735682E-4
			3)	eva	449	2338	3.3592308E-4
			4)	evr	597	1728	2.4827846E-4
			5)	evi	713	1356	1.9482963E-4
		13)	em	0	0	0.0
			1)	eme	149	7094	0.0010192635
			2)	ema	501	2107	3.0273307E-4
			3)	em_	603	1710	2.4569224E-4
			4)	emm	754	1264	1.816111E-4
			5)	emo	812	1131	1.625017E-4
			6)	emi	868	1030	1.4799005E-4
			7)	emd	945	877	1.2600707E-4
			8)	emt	1305	447	6.422481E-5
			9)	emb	1612	279	4.0086627E-5
		14)	ek	0	0	0.0
			1)	eke	165	6430	9.2386024E-4
			2)	ek_	450	2330	3.3477362E-4
			3)	ekk	683	1461	2.0991599E-4
			4)	eko	698	1418	2.0373777E-4
			5)	ekt	941	889	1.2773123E-4
			6)	eks	974	828	1.1896677E-4
			7)	ekr	1740	233	3.347736E-5
		15)	ef	0	0	0.0
			1)	eft	181	6039	8.676815E-4
			2)	eff	666	1516	2.1781838E-4
			3)	ef_	729	1325	1.9037556E-4
			4)	efe	1425	376	5.4023556E-5
			5)	efi	1454	359	5.1581002E-5
		16)	eb	0	0	0.0
			1)	ebb	241	4341	6.237134E-4
			2)	ebr	520	2013	2.8922717E-4
			3)	ebi	630	1599	2.2974379E-4
			4)	eb_	771	1208	1.7356504E-4
			5)	eba	775	1193	1.7140985E-4
			6)	ebe	937	903	1.2974274E-4
			7)	ebo	1334	425	6.106386E-5
		17)	eu	0	0	0.0
			1)	eur	327	3086	4.4339546E-4
			2)	euw	457	2288	3.287391E-4
			3)	eun	623	1634	2.3477258E-4
			4)	eu_	1318	438	6.293169E-5
			5)	euz	1541	317	4.5546454E-5
			6)	eug	1572	298	4.281654E-5
			7)	eus	1734	235	3.376472E-5
		18)	ep	0	0	0.0
			1)	epa	558	1856	2.6666946E-4
			2)	epe	685	1460	2.0977232E-4
			3)	ept	1274	477	6.85352E-5
			4)	epr	1297	453	6.508689E-5
			5)	ep_	1319	437	6.2788014E-5
			6)	epl	1462	356	5.114996E-5
		19)	ew	0	0	0.0
			1)	ewe	640	1583	2.274449E-4
			2)	ewo	1144	601	8.635148E-5
			3)	ewi	1249	494	7.097775E-5
			4)	ewa	1610	280	4.023031E-5
			5)	ewu	1815	208	2.988537E-5
		20)	eh	0	0	0.0
			1)	eho	735	1309	1.8807668E-4
			2)	ehe	864	1033	1.484211E-4
			3)	eha	901	972	1.3965664E-4
		21)	ea	0	0	0.0
			1)	eau	1048	709	1.01868885E-4
			2)	eac	1129	615	8.8363E-5
			3)	eal	1688	249	3.5776236E-5
			4)	ean	1831	202	2.9023293E-5
		22)	ex	0	0	0.0
			1)	ext	1337	422	6.063282E-5
			2)	exp	1822	205	2.9454332E-5
		23)	eë	0	0	0.0
			1)	eën	1450	362	5.201204E-5
		24)	eï	0	0	0.0
			1)	eïn	1655	264	3.7931433E-5
		25)	eo	0	0	0.0
			1)	eoo	1691	248	3.5632558E-5
	2)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	de_	2	93148	0.013383473
			2)	den	26	24395	0.0035050656
			3)	der	41	18070	0.0025962917
			4)	del	135	7826	0.0011244371
			5)	dez	193	5655	8.125085E-4
			6)	dee	451	2330	3.3477362E-4
			7)	dem	460	2261	3.2485972E-4
			8)	deb	820	1118	1.6063386E-4
			9)	ded	1147	597	8.577676E-5
			10)	des	1166	580	8.3334206E-5
			11)	def	1458	357	5.1293642E-5
			12)	deg	1472	349	5.0144205E-5
			13)	dec	1799	212	3.0460089E-5
		2)	da	0	0	0.0
			1)	dat	32	21692	0.0031166994
			2)	daa	173	6202	8.911013E-4
			3)	dan	256	4060	5.833394E-4
			4)	dag	989	790	1.1350694E-4
			5)	dac	997	782	1.123575E-4
			6)	dam	1276	476	6.839152E-5
			7)	da_	1560	306	4.3965978E-5
		3)	di	0	0	0.0
			1)	die	67	13208	0.0018977211
			2)	dit	151	6984	0.0010034587
			3)	dig	180	6043	8.6825626E-4
			4)	din	299	3354	4.819016E-4
			5)	dis	928	918	1.3189793E-4
			6)	dia	1161	585	8.4052605E-5
			7)	dic	1563	304	4.3678618E-5
			8)	div	1596	287	4.1236064E-5
			9)	did	1756	228	3.2758966E-5
			10)	dir	1766	224	3.2184245E-5
		4)	dt	0	0	0.0
			1)	dt_	216	4913	7.058982E-4
		5)	do	0	0	0.0
			1)	doo	246	4235	6.084834E-4
			2)	doe	262	3887	5.584829E-4
			3)	doc	1562	304	4.3678618E-5
		6)	ds	0	0	0.0
			1)	dst	421	2491	3.5790604E-4
			2)	ds_	591	1740	2.5000263E-4
			3)	dse	912	950	1.3649568E-4
			4)	dsl	1684	251	3.6063597E-5
			5)	dsc	1771	222	3.1896885E-5
		7)	dr	0	0	0.0
			1)	dra	567	1836	2.6379587E-4
			2)	dri	692	1438	2.0661137E-4
			3)	dru	900	973	1.3980032E-4
			4)	dre	1053	702	1.0086313E-4
		8)	dd	0	0	0.0
			1)	dde	570	1820	2.6149699E-4
		9)	du	0	0	0.0
			1)	dui	642	1574	2.261518E-4
			2)	dus	679	1466	2.1063439E-4
			3)	duc	859	1046	1.5028894E-4
			4)	dur	915	944	1.356336E-4
			5)	duu	1400	388	5.574771E-5
		10)	dh	0	0	0.0
			1)	dhe	889	992	1.4253023E-4
		11)	dz	0	0	0.0
			1)	dza	1003	770	1.10633344E-4
		12)	dp	0	0	0.0
			1)	dpu	1072	680	9.770218E-5
		13)	dg	0	0	0.0
			1)	dge	1290	464	6.6667366E-5
		14)	db	0	0	0.0
			1)	dbo	1315	441	6.3362735E-5
			2)	dba	1643	270	3.879351E-5
		15)	dv	0	0	0.0
			1)	dve	1449	363	5.215572E-5
			2)	dvi	1708	243	3.491416E-5
		16)	dw	0	0	0.0
			1)	dwe	1500	339	4.8707407E-5
			2)	dwi	1678	254	3.6494635E-5
	3)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	3	90548	0.013009907
			2)	_da	19	28404	0.0040810774
			3)	_di	38	19492	0.002800604
			4)	_do	145	7264	0.0010436891
			5)	_du	349	2943	4.2284926E-4
			6)	_dr	695	1427	2.0503088E-4
		2)	_h	0	0	0.0
			1)	_he	6	50439	0.0072470587
			2)	_ho	218	4873	7.00151E-4
