Dutch	2	29963813	506
	1)	n	0	0	0.0
		1)	n_	1	1408824	0.040538818
		2)	ng	34	227609	0.006549434
		3)	nd	38	213010	0.0061293487
		4)	nt	67	121495	0.0034960106
		5)	ni	74	105555	0.0030373381
		6)	ns	79	100500	0.0028918807
		7)	ne	82	97894	0.0028168934
		8)	na	98	77198	0.0022213673
		9)	no	126	53597	0.00154225
		10)	nn	155	37572	0.0010811317
		11)	nk	182	26504	7.626508E-4
		12)	nh	207	22182	6.382856E-4
		13)	nz	208	22153	6.3745107E-4
		14)	nc	228	16441	4.7308867E-4
		15)	nu	241	14797	4.257827E-4
		16)	nv	246	12875	3.7047727E-4
		17)	nl	250	12352	3.5542797E-4
		18)	nw	254	12024	3.459898E-4
		19)	nf	288	7604	2.1880459E-4
		20)	nb	296	6982	2.0090658E-4
		21)	nm	320	5081	1.4620544E-4
		22)	nr	323	4842	1.3932823E-4
		23)	np	347	3083	8.871312E-5
		24)	nj	481	323	9.294304E-6
	2)	e	0	0	0.0
		1)	en	2	1197735	0.034464743
		2)	e_	3	976356	0.028094579
		3)	er	7	640129	0.01841967
		4)	et	13	373168	0.010737884
		5)	ee	17	332252	0.009560529
		6)	el	20	320239	0.009214856
		7)	es	70	115468	0.003322584
		8)	ei	71	111125	0.0031976143
		9)	eg	72	107420	0.0030910033
		10)	ed	76	103981	0.0029920463
		11)	ev	90	84405	0.0024287482
		12)	em	93	81692	0.002350682
		13)	ek	103	72740	0.0020930886
		14)	ec	112	64838	0.0018657091
		15)	eb	113	61958	0.0017828373
		16)	ez	119	56656	0.0016302726
		17)	ef	127	51984	0.0014958361
		18)	eu	143	44304	0.0012748446
		19)	ep	178	28519	8.206323E-4
		20)	eh	223	17993	5.1774736E-4
		21)	ew	226	17112	4.9239665E-4
		22)	ea	258	11428	3.2883993E-4
		23)	ex	318	5257	1.5126982E-4
		24)	eë	336	3922	1.1285529E-4
		25)	eo	337	3760	1.0819375E-4
		26)	eï	397	1535	4.4169523E-5
		27)	eq	428	955	2.748006E-5
		28)	ej	466	409	1.1768948E-5
	3)	d	0	0	0.0
		1)	de	4	789716	0.022724025
		2)	d_	47	177894	0.005118888
		3)	da	49	175698	0.005055698
		4)	di	56	160259	0.004611442
		5)	do	141	44958	0.0012936634
		6)	ds	160	36267	0.0010435805
		7)	du	175	29272	8.4229984E-4
		8)	dr	186	25424	7.315739E-4
		9)	dt	187	25190	7.2484056E-4
		10)	dd	264	10448	3.006405E-4
		11)	dh	305	6310	1.8156983E-4
		12)	db	327	4559	1.3118492E-4
		13)	dp	330	4272	1.2292652E-4
		14)	dz	334	3958	1.1389118E-4
		15)	dw	340	3577	1.0292794E-4
		16)	dv	356	2744	7.8958416E-5
		17)	dg	365	2393	6.885841E-5
		18)	dk	390	1639	4.7162117E-5
		19)	dm	422	1156	3.3263823E-5
		20)	dl	477	354	1.0186326E-5
		21)	dy	488	285	8.2008555E-6
	4)	_	0	0	0.0
		1)	_d	5	752055	0.021640332
		2)	_v	8	500535	0.014402861
		3)	_e	14	347004	0.009985017
		4)	_h	18	330669	0.009514978
		5)	_o	22	310545	0.008935912
		6)	_i	24	289802	0.008339033
		7)	_m	27	260404	0.0074931076
		8)	_w	29	248490	0.007150283
		9)	_b	37	219156	0.0063061994
		10)	_a	41	204278	0.0058780857
		11)	_t	43	199612	0.005743822
		12)	_g	44	199112	0.0057294345
		13)	_z	46	179504	0.0051652156
		14)	_n	62	140987	0.0040568914
		15)	_s	65	130853	0.0037652864
		16)	_k	87	86634	0.0024928877
		17)	_p	94	81553	0.0023466821
		18)	_r	106	70245	0.0020212953
		19)	_l	107	70001	0.002014274
		20)	_u	122	55974	0.0016106481
		21)	_c	128	51933	0.0014943687
		22)	_f	194	24436	7.031443E-4
		23)	_j	218	20012	5.7584397E-4
		24)	_é	375	2168	6.238405E-5
		25)	_q	441	671	1.930798E-5
	5)	t	0	0	0.0
		1)	t_	6	727103	0.02092234
		2)	te	10	443016	0.012747756
		3)	ti	57	159063	0.004577027
		4)	ta	100	76831	0.0022108068
		5)	tr	105	71059	0.002044718
		6)	to	108	69344	0.0019953689
		7)	ts	153	38105	0.0010964689
		8)	tu	166	32548	9.365665E-4
		9)	tw	177	28661	8.247184E-4
		10)	tt	211	21156	6.087625E-4
		11)	tg	231	15673	4.5098952E-4
		12)	tv	277	9193	2.6452797E-4
		13)	tl	286	7940	2.2847297E-4
		14)	tb	300	6705	1.9293593E-4
		15)	th	310	5994	1.7247695E-4
		16)	tz	339	3611	1.03906284E-4
		17)	td	357	2718	7.8210265E-5
		18)	tn	371	2291	6.592337E-5
		19)	tm	372	2223	6.3966676E-5
		20)	tk	404	1490	4.287465E-5
		21)	tj	417	1193	3.4328496E-5
		22)	tp	426	1054	3.032878E-5
		23)	té	440	681	1.959573E-5
		24)	ty	476	356	1.0243876E-5
		25)	tc	479	332	9.553278E-6
	6)	a	0	0	0.0
		1)	an	9	494000	0.0142148165
		2)	aa	21	313661	0.009025575
		3)	at	30	245175	0.007054894
		4)	ar	48	176170	0.00506928
		5)	al	54	163437	0.004702889
		6)	ag	116	58011	0.0016692627
		7)	am	139	45918	0.0013212874
		8)	ak	140	45580	0.0013115614
		9)	ac	152	38269	0.0011011879
		10)	as	154	37927	0.0010913468
		11)	ad	179	28316	8.14791E-4
		12)	ap	190	24977	7.187115E-4
		13)	af	201	23534	6.7718927E-4
		14)	a_	213	20947	6.0274854E-4
		15)	au	248	12470	3.5882342E-4
		16)	ai	273	9706	2.792895E-4
		17)	ab	316	5378	1.5475159E-4
		18)	av	326	4593	1.3216327E-4
		19)	az	448	600	1.726496E-5
		20)	ax	449	557	1.6027638E-5
		21)	ao	483	310	8.920229E-6
		22)	aw	492	270	7.769232E-6
	7)	g	0	0	0.0
		1)	ge	11	413685	0.011903758
		2)	g_	42	201296	0.005792279
		3)	gr	132	50646	0.0014573353
		4)	ga	150	38887	0.0011189708
		5)	gi	168	31859	9.1674057E-4
		6)	gs	203	22992	6.615933E-4
		7)	gd	209	21488	6.1831577E-4
		8)	go	238	15139	4.3562372E-4
		9)	gg	259	11166	3.213009E-4
		10)	gt	270	9856	2.8360574E-4
		11)	gh	275	9533	2.7431143E-4
		12)	gu	362	2536	7.297323E-5
		13)	gn	392	1611	4.6356417E-5
		14)	gm	402	1501	4.3191176E-5
		15)	gl	406	1399	4.025613E-5
		16)	gv	413	1309	3.766639E-5
		17)	gb	423	1137	3.27171E-5
		18)	gk	437	767	2.2070373E-5
		19)	gp	438	762	2.1926498E-5
		20)	gw	439	756	2.1753849E-5
		21)	gz	469	398	1.1452424E-5
	8)	i	0	0	0.0
		1)	in	12	390314	0.011231259
		2)	ij	19	321908	0.009262881
		3)	ie	23	301756	0.008683009
		4)	is	55	162693	0.00468148
		5)	it	59	157818	0.0045412024
		6)	id	83	96063	0.0027642064
		7)	ig	88	85118	0.0024492647
		8)	ik	99	77005	0.0022158136
		9)	il	130	51300	0.0014761541
		10)	ic	135	48162	0.0013858583
		11)	io	214	20924	6.020867E-4
		12)	ia	227	16643	4.789012E-4
		13)	im	236	15297	4.4017014E-4
		14)	ir	274	9660	2.7796585E-4
		15)	iv	284	8162	2.34861E-4
		16)	ië	289	7588	2.183442E-4
		17)	i_	306	6100	1.755271E-4
		18)	if	311	5602	1.6119718E-4
		19)	ip	325	4593	1.3216327E-4
		20)	ib	358	2715	7.812394E-5
		21)	iz	400	1511	4.3478925E-5
		22)	iu	427	997	2.8688608E-5
		23)	ii	496	236	6.790884E-6
	9)	r	0	0	0.0
		1)	r_	15	341402	0.00982382
		2)	re	32	237550	0.0068354853
		3)	rd	61	142395	0.0040974068
		4)	ri	64	132527	0.0038134556
		5)	ro	69	117179	0.003371818
		6)	ra	77	101278	0.0029142676
		7)	rs	84	89726	0.0025818597
		8)	rk	131	50803	0.0014618529
		9)	rt	134	48400	0.0013927068
		10)	rg	148	39550	0.0011380486
		11)	rm	162	35293	0.0010155537
		12)	ru	173	29916	8.608309E-4
		13)	rb	189	24981	7.188266E-4
		14)	rz	196	24270	6.983676E-4
		15)	rv	204	22954	6.604998E-4
		16)	rl	216	20623	5.934255E-4
		17)	rn	222	18075	5.201069E-4
		18)	rw	229	16321	4.6963568E-4
		19)	rh	240	14864	4.2771062E-4
		20)	rr	267	10180	2.9292883E-4
		21)	rp	269	9934	2.858502E-4
		22)	rc	387	1717	4.940656E-5
		23)	rf	396	1560	4.4888897E-5
		24)	rj	475	362	1.0416526E-5
		25)	ry	499	219	6.3017105E-6
	10)	h	0	0	0.0
		1)	he	16	339553	0.009770615
		2)	ht	91	83107	0.0023913984
		3)	ha	121	56403	0.0016229926
		4)	ho	144	43246	0.0012444007
		5)	hi	171	30378	8.7412493E-4
		6)	h_	217	20245	5.825485E-4
		7)	hu	221	18431	5.303508E-4
		8)	hr	322	4940	1.4214817E-4
		9)	hn	352	2885	8.301568E-5
		10)	hz	467	405	1.1653848E-5
		11)	hy	487	294	8.4598305E-6
	11)	s	0	0	0.0
		1)	s_	25	274882	0.007909711
		2)	st	31	239229	0.0068837986
		3)	sc	101	75921	0.0021846218
		4)	se	115	59266	0.0017053752
		5)	ss	146	41379	0.001190678
		6)	sl	147	40549	0.0011667948
		7)	si	151	38650	0.0011121512
		8)	sp	161	36178	0.0010410196
		9)	so	199	23752	6.834622E-4
		10)	sa	212	21102	6.0720864E-4
		11)	su	266	10225	2.942237E-4
		12)	sm	280	8677	2.496801E-4
		13)	sb	303	6453	1.8568465E-4
		14)	sv	312	5543	1.5949945E-4
		15)	sn	317	5345	1.5380202E-4
		16)	sg	331	4254	1.2240857E-4
		17)	sy	335	3926	1.1297039E-4
		18)	sd	345	3204	9.219489E-5
		19)	sh	361	2560	7.366383E-5
		20)	sr	367	2342	6.7390894E-5
		21)	sk	373	2221	6.390912E-5
		22)	sw	379	2084	5.9966962E-5
		23)	sz	401	1507	4.3363823E-5
		24)	sf	431	869	2.5005416E-5
		25)	sj	463	439	1.2632196E-5
	12)	o	0	0	0.0
		1)	or	26	269599	0.007757693
		2)	oo	35	220882	0.006355865
		3)	on	52	169155	0.004867424
		4)	oe	58	159007	0.004575416
		5)	om	68	119652	0.0034429783
		6)	op	75	104342	0.003002434
		7)	ol	118	56992	0.001639941
		8)	ov	125	53786	0.0015476885
		9)	ou	133	50191	0.0014442427
		10)	ot	137	46957	0.0013511846
		11)	og	142	44904	0.0012921096
		12)	ok	149	39317	0.001131344
		13)	od	184	25842	7.436018E-4
		14)	oc	195	24310	6.995186E-4
		15)	of	197	24140	6.946269E-4
		16)	os	237	15235	4.383861E-4
		17)	o_	243	13870	3.9910834E-4
		18)	ob	260	11119	3.1994848E-4
		19)	oa	283	8312	2.3917724E-4
		20)	oi	344	3326	9.570543E-5
		21)	oj	355	2787	8.0195736E-5
		22)	ow	360	2688	7.7347024E-5
		23)	oz	374	2194	6.3132204E-5
		24)	oö	408	1387	3.9910832E-5
		25)	oh	425	1055	3.0357554E-5
		26)	ox	473	369	1.06179505E-5
	13)	v	0	0	0.0
		1)	va	28	253612	0.007297668
		2)	ve	33	233320	0.0067137675
		3)	vo	53	165728	0.004768812
		4)	vr	164	33260	9.5705426E-4
		5)	vi	180	27831	8.0083514E-4
		6)	vl	307	6099	1.7549832E-4
		7)	vu	353	2868	8.252651E-5
		8)	vó	456	514	1.4790316E-5
		9)	vé	505	207	5.9564113E-6
	14)	m	0	0	0.0
		1)	me	36	219670	0.0063209897
		2)	mi	81	99416	0.0028606888
		3)	ma	92	82868	0.002384521
		4)	mo	104	71361	0.002053408
		5)	m_	114	61662	0.0017743199
		6)	mm	176	29266	8.421272E-4
		7)	ms	251	12348	3.5531286E-4
		8)	md	256	11499	3.3088296E-4
		9)	mt	285	7965	2.2919234E-4
		10)	mu	287	7699	2.2153821E-4
		11)	mp	294	7158	2.0597097E-4
		12)	mb	324	4778	1.3748663E-4
		13)	mh	395	1595	4.5896017E-5
		14)	mv	399	1514	4.3565247E-5
		15)	mg	418	1191	3.4270946E-5
		16)	mz	465	412	1.18552725E-5
		17)	ml	472	379	1.09057E-5
		18)	mr	480	326	9.380628E-6
		19)	mw	482	310	8.920229E-6
	15)	l	0	0	0.0
		1)	le	39	209202	0.0060197734
		2)	li	45	190398	0.00547869
		3)	l_	66	126361	0.0036360293
		4)	la	80	99454	0.0028617822
		5)	ll	97	79820	0.0022968152
		6)	ls	138	46954	0.0013510982
		7)	ld	145	41982	0.0012080292
		8)	lo	165	33181	9.547811E-4
		9)	lu	210	21162	6.0893514E-4
		10)	lg	233	15661	4.5064423E-4
		11)	lt	235	15442	4.4434253E-4
		12)	lk	244	13233	3.8077869E-4
		13)	lf	262	10889	3.1333024E-4
		14)	lp	328	4431	1.2750173E-4
		15)	lj	349	2985	8.5893174E-5
		16)	lv	354	2788	8.022451E-5
		17)	lm	385	1812	5.2140178E-5
		18)	ln	389	1639	4.7162117E-5
		19)	lb	415	1265	3.640029E-5
		20)	lh	419	1174	3.3781773E-5
		21)	lz	429	910	2.618519E-5
		22)	lr	432	841	2.4199719E-5
		23)	ly	434	810	2.3307695E-5
		24)	lw	436	794	2.2847296E-5
		25)	lc	464	420	1.2085472E-5
	16)	b	0	0	0.0
		1)	be	40	205097	0.0059016524
		2)	bi	129	51627	0.0014855635
		3)	ba	183	25908	7.4550096E-4
		4)	br	193	24529	7.0582033E-4
		5)	bb	202	23081	6.6415424E-4
		6)	bl	219	19408	5.584639E-4
		7)	bo	225	17299	4.977776E-4
		8)	bu	247	12827	3.6909606E-4
		9)	b_	298	6903	1.9863337E-4
		10)	bs	348	3023	8.698662E-5
		11)	bt	407	1393	4.0083483E-5
		12)	bj	491	276	7.941881E-6
		13)	by	502	215	6.186611E-6
	17)	c	0	0	0.0
		1)	ch	50	174410	0.005018636
		2)	co	123	54824	0.001577557
		3)	ct	158	36831	0.0010598096
		4)	ci	200	23624	6.7977904E-4
		5)	ce	224	17854	5.137477E-4
		6)	cr	253	12161	3.4993197E-4
		7)	cu	281	8560	2.4631343E-4
		8)	ca	304	6413	1.8453365E-4
		9)	cl	350	2932	8.4368105E-5
		10)	cc	366	2382	6.854189E-5
		11)	cy	445	613	1.7639033E-5
		12)	c_	495	252	7.251283E-6
		13)	ck	497	229	6.5894596E-6
	18)	k	0	0	0.0
		1)	k_	51	169498	0.0048772935
		2)	ke	60	151010	0.0043453025
		3)	ko	156	37527	0.0010798369
		4)	kt	169	31747	9.135178E-4
		5)	kk	174	29582	8.5122004E-4
		6)	ka	181	26975	7.762038E-4
		7)	ki	191	24855	7.1520096E-4
		8)	ku	220	18808	5.4119894E-4
		9)	ks	261	10904	3.1376188E-4
		10)	kr	268	10176	2.9281373E-4
		11)	kw	271	9819	2.8254106E-4
		12)	kl	278	9118	2.6236984E-4
		13)	kh	293	7330	2.1092026E-4
		14)	kg	359	2702	7.774987E-5
		15)	kb	363	2517	7.2426505E-5
		16)	kn	377	2144	6.1693456E-5
		17)	kz	383	1953	5.6197445E-5
		18)	kp	461	471	1.3552994E-5
		19)	kd	474	367	1.05604E-5
		20)	km	485	300	8.63248E-6
		21)	kj	489	284	8.172081E-6
		22)	kv	503	214	6.1578357E-6
	19)	w	0	0	0.0
		1)	we	63	138034	0.003971919
		2)	wi	86	87811	0.0025267557
		3)	wa	109	68302	0.0019653854
		4)	wo	110	66961	0.0019267983
		5)	w_	230	16053	4.61924E-4
		6)	wu	416	1208	3.476012E-5
		7)	wd	421	1163	3.3465247E-5
		8)	wb	424	1132	3.2573225E-5
		9)	ws	453	524	1.5078065E-5
		10)	wr	468	402	1.1567523E-5
		11)	wk	471	384	1.1049574E-5
		12)	wz	484	301	8.6612545E-6
		13)	wp	494	252	7.251283E-6
		14)	wg	504	207	5.9564113E-6
		15)	wt	506	203	5.8413116E-6
	20)	z	0	0	0.0
		1)	zi	73	106759	0.003071983
		2)	ze	78	100666	0.0028966574
		3)	zo	111	64979	0.0018697664
		4)	za	170	31430	9.043962E-4
		5)	zu	276	9348	2.6898808E-4
		6)	zw	351	2888	8.310201E-5
	21)	j	0	0	0.0
		1)	jk	85	89466	0.0025743782
		2)	jn	96	79873	0.0022983402
		3)	j_	102	75672	0.0021774566
		4)	jd	198	23891	6.874619E-4
		5)	ja	249	12382	3.5629122E-4
		6)	jz	257	11439	3.2915646E-4
		7)	je	263	10568	3.040935E-4
		8)	jv	282	8501	2.4461572E-4
		9)	jf	290	7569	2.1779747E-4
		10)	ju	292	7381	2.1238778E-4
		11)	jg	313	5526	1.5901028E-4
		12)	js	315	5454	1.5693849E-4
		13)	jo	329	4281	1.2318548E-4
		14)	jl	364	2433	7.000941E-5
		15)	jh	380	2072	5.9621663E-5
		16)	jp	382	2044	5.8815964E-5
		17)	jt	391	1613	4.6413967E-5
		18)	jw	433	819	2.356667E-5
		19)	jb	458	494	1.4214817E-5
	22)	u	0	0	0.0
		1)	ui	89	84956	0.0024446032
		2)	un	120	56650	0.0016301
		3)	ur	136	47518	0.0013673273
		4)	u_	157	37470	0.0010781968
		5)	uw	163	34532	9.93656E-4
		6)	us	185	25449	7.322933E-4
		7)	ul	192	24555	7.065685E-4
		8)	ud	215	20909	6.016551E-4
		9)	ut	234	15505	4.4615535E-4
		10)	uc	239	15138	4.3559493E-4
		11)	uu	245	13181	3.792824E-4
		12)	um	265	10377	2.9859747E-4
		13)	uk	272	9743	2.8035417E-4
		14)	ua	295	7121	2.049063E-4
		15)	ug	314	5463	1.5719746E-4
		16)	ub	319	5149	1.4816213E-4
		17)	ue	342	3498	1.0065472E-4
		18)	uz	393	1595	4.5896017E-5
		19)	uv	414	1265	3.640029E-5
		20)	up	420	1164	3.3494023E-5
		21)	uo	443	637	1.8329632E-5
		22)	uf	501	216	6.2153854E-6
	23)	p	0	0	0.0
		1)	p_	95	80165	0.0023067426
		2)	pr	117	58005	0.00166909
		3)	pe	124	54353	0.001564004
		4)	pa	172	30324	8.725711E-4
		5)	pl	188	25127	7.2302774E-4
		6)	po	206	22234	6.397819E-4
		7)	pp	232	15672	4.5096074E-4
		8)	pu	255	11570	3.3292596E-4
		9)	pt	291	7447	2.1428692E-4
		10)	pi	301	6600	1.8991456E-4
		11)	pg	308	6078	1.7489404E-4
		12)	ps	343	3352	9.645358E-5
		13)	pm	370	2305	6.632622E-5
		14)	pz	381	2070	5.956411E-5
		15)	pn	384	1886	5.4269523E-5
		16)	pv	394	1595	4.5896017E-5
		17)	pb	398	1528	4.39681E-5
		18)	pd	430	878	2.5264391E-5
		19)	ph	451	536	1.5423364E-5
		20)	pw	486	297	8.546155E-6
		21)	pk	490	278	7.999432E-6
	24)	f	0	0	0.0
		1)	ft	159	36592	0.0010529323
		2)	f_	167	31983	9.203087E-4
		3)	fe	205	22344	6.429471E-4
		4)	fi	242	14271	4.1064707E-4
		5)	ff	252	12235	3.520613E-4
		6)	fo	279	8875	2.5537753E-4
		7)	fg	297	6975	2.0070515E-4
		8)	fs	299	6895	1.9840317E-4
		9)	fd	302	6563	1.8884988E-4
		10)	fr	309	6034	1.7362795E-4
		11)	fu	333	4019	1.1564646E-4
		12)	fa	341	3519	1.0125899E-4
		13)	fl	346	3171	9.124531E-5
		14)	fw	386	1794	5.162223E-5
