Dutch	3	248975460	4776
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	9286650	0.02702223
			2)	ens	87	533024	0.0015509896
			3)	end	95	493389	0.00143566
			4)	ent	101	473996	0.0013792303
			5)	ene	250	203207	5.912903E-4
			6)	eni	287	170899	4.9728074E-4
			7)	enk	349	142055	4.1335064E-4
			8)	eno	414	123803	3.602411E-4
			9)	enw	579	87925	2.5584357E-4
			10)	eng	596	85016	2.4737898E-4
			11)	enl	600	84319	2.4535085E-4
			12)	enh	728	67157	1.9541297E-4
			13)	ena	778	59663	1.7360698E-4
			14)	enn	1047	35721	1.0394072E-4
			15)	enr	1063	34501	1.0039077E-4
			16)	enb	1143	30393	8.8437344E-5
			17)	env	1213	26474	7.703386E-5
			18)	enz	1296	22960	6.680885E-5
			19)	enm	1469	17282	5.0287043E-5
			20)	enu	1595	14160	4.120267E-5
			21)	enp	2033	7200	2.095051E-5
			22)	enc	2437	3947	1.1484954E-5
			23)	en”	2535	3369	9.803093E-6
			24)	enf	3184	1360	3.9573188E-6
			25)	enq	3510	916	2.6653704E-6
			26)	enj	3943	544	1.5829274E-6
		2)	et	0	0	0.0
			1)	et_	5	2806685	0.008166873
			2)	ete	131	392305	0.0011415264
			3)	etr	281	173869	5.059228E-4
			4)	ett	688	72428	2.107505E-4
			5)	ets	880	50513	1.4698238E-4
			6)	etg	909	46442	1.3513661E-4
			7)	eta	959	42941	1.2494942E-4
			8)	eti	1396	19411	5.6481993E-5
			9)	etw	1501	16589	4.827056E-5
			10)	eto	1659	12775	3.7172606E-5
			11)	eth	1676	12513	3.641024E-5
			12)	etz	1881	9163	2.6662434E-5
			13)	etu	2086	6674	1.9419958E-5
			14)	etj	2400	4180	1.21629355E-5
			15)	etn	2425	4019	1.1694458E-5
			16)	etb	2489	3600	1.0475255E-5
			17)	etv	2975	1838	5.3481995E-6
			18)	etm	3323	1172	3.4102775E-6
			19)	etc	3331	1162	3.3811796E-6
			20)	etd	3503	925	2.6915586E-6
			21)	etl	3514	912	2.6537314E-6
			22)	etk	3652	770	2.2405407E-6
