Dutch	2	980009	327
	1)	e	0	0	0.0
		1)	en	1	41875	0.038001265
		2)	er	3	27006	0.024507754
		3)	e_	5	18766	0.017030012
		4)	el	8	15555	0.014116052
		5)	ee	28	8215	0.007455054
		6)	ei	47	5714	0.0051854146
		7)	es	53	5374	0.004876867
		8)	ed	55	5331	0.0048378445
		9)	eg	56	5263	0.004776135
		10)	et	61	4929	0.0044730324
		11)	ev	68	4323	0.0039230916
		12)	em	80	3870	0.0035119974
		13)	ek	90	3352	0.0030419163
		14)	ec	96	3072	0.0027878182
		15)	eu	109	2517	0.0022841597
		16)	eb	132	1848	0.0016770469
		17)	ef	157	1434	0.0013013448
		18)	ep	160	1389	0.0012605076
		19)	ez	171	1272	0.0011543309
		20)	eh	214	832	7.550341E-4
		21)	ew	228	727	6.5974734E-4
		22)	ea	239	611	5.5447815E-4
		23)	ex	312	257	2.3322567E-4
		24)	eë	326	201	1.8240607E-4
	2)	n	0	0	0.0
		1)	n_	2	32044	0.029079702
		2)	ng	14	11362	0.010310934
		3)	nd	23	9233	0.008378882
		4)	nt	44	6234	0.0056573106
		5)	ne	77	3942	0.003577337
		6)	ns	81	3862	0.0035047375
		7)	na	91	3256	0.002954797
		8)	ni	93	3204	0.0029076072
		9)	no	124	2064	0.0018730654
		10)	nk	162	1365	0.0012387278
		11)	nh	186	1170	0.0010617666
		12)	nn	192	1109	0.0010064096
		13)	nc	200	1004	9.111229E-4
		14)	nl	241	595	5.399583E-4
		15)	nv	244	581	5.272534E-4
		16)	nw	245	578	5.245309E-4
		17)	nz	252	528	4.7915624E-4
		18)	nb	276	412	3.7388707E-4
		19)	nf	296	326	2.9584268E-4
		20)	nm	309	269	2.441156E-4
		21)	nu	314	245	2.2233576E-4
	3)	g	0	0	0.0
		1)	ge	4	19393	0.017599009
		2)	g_	24	9101	0.008259092
		3)	gr	102	2792	0.00253372
		4)	gi	128	1901	0.001725144
		5)	ga	137	1786	0.0016207823
		6)	gs	176	1238	0.0011234762
		7)	gd	198	1028	9.329027E-4
		8)	go	210	898	8.149286E-4
		9)	gg	238	624	5.6627556E-4
		10)	gh	249	552	5.0093606E-4
		11)	gt	254	522	4.737113E-4
	4)	t	0	0	0.0
		1)	te	6	17729	0.016088942
		2)	t_	11	11742	0.010655781
		3)	ti	32	7573	0.0068724435
		4)	ta	79	3875	0.003516535
		5)	tr	86	3658	0.003319609
		6)	to	114	2356	0.0021380533
		7)	ts	142	1753	0.001590835
		8)	tu	154	1523	0.0013821117
		9)	tw	156	1448	0.0013140497
		10)	tt	189	1136	0.0010309119
		11)	tg	225	760	6.896946E-4
		12)	tv	266	451	4.092793E-4
		13)	tl	272	422	3.82962E-4
		14)	tb	290	352	3.194375E-4
		15)	th	322	215	1.9511097E-4
	5)	d	0	0	0.0
		1)	de	7	16041	0.014557093
		2)	d_	27	8413	0.0076347375
		3)	di	75	3981	0.0036127293
		4)	da	106	2715	0.0024638432
		5)	ds	136	1792	0.0016262273
		6)	dr	169	1287	0.0011679434
		7)	do	172	1262	0.001145256
		8)	du	190	1133	0.0010281894
		9)	dd	242	591	5.363283E-4
		10)	dt	274	418	3.7933202E-4
		11)	dh	305	285	2.5863547E-4
		12)	dp	318	234	2.1235333E-4
		13)	db	319	232	2.1053835E-4
		14)	dw	327	201	1.8240607E-4
	6)	i	0	0	0.0
		1)	in	9	14762	0.01339641
		2)	ij	17	10195	0.00925189
		3)	ie	21	9753	0.008850778
		4)	it	54	5338	0.004844197
		5)	id	57	5167	0.004689016
		6)	is	65	4665	0.0042334544
		7)	ig	72	4140	0.0037570207
		8)	il	126	1987	0.0018031884
		9)	ic	129	1880	0.0017060867
		10)	ik	165	1324	0.0012015206
		11)	io	168	1289	0.0011697584
		12)	ia	207	930	8.439684E-4
		13)	im	215	816	7.405142E-4
		14)	ir	268	435	3.947594E-4
		15)	ië	278	407	3.693496E-4
		16)	if	293	345	3.1308504E-4
		17)	iv	298	320	2.9039773E-4
		18)	ip	307	281	2.550055E-4
		19)	i_	324	209	1.8966601E-4
	7)	s	0	0	0.0
		1)	st	10	12171	0.011045096
		2)	s_	38	6696	0.0060765725
		3)	sc	85	3720	0.0033758737
		4)	se	112	2434	0.0022088378
		5)	sl	134	1837	0.0016670645
		6)	sp	146	1702	0.0015445529
		7)	ss	147	1691	0.0015345705
		8)	si	148	1646	0.0014937333
		9)	so	181	1207	0.001095344
		10)	sa	205	944	8.566733E-4
		11)	su	260	473	4.2924413E-4
		12)	sm	285	365	3.312349E-4
		13)	sb	291	347	3.1490004E-4
		14)	sn	311	261	2.3685565E-4
		15)	sv	316	242	2.1961328E-4
		16)	sg	320	226	2.050934E-4
	8)	a	0	0	0.0
		1)	aa	12	11454	0.010394423
		2)	an	16	10345	0.009388014
