Dutch	3	761940	924
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	28879	0.026207488
			2)	end	43	2541	0.0023059396
			3)	ent	46	2497	0.0022660098
			4)	ens	62	2187	0.001984687
			5)	ene	218	860	7.804439E-4
			6)	eni	258	759	6.887871E-4
			7)	eno	332	635	5.76258E-4
			8)	enk	337	631	5.72628E-4
			9)	eng	483	482	4.3741157E-4
			10)	enw	537	432	3.9203692E-4
			11)	enh	575	399	3.6208966E-4
			12)	enl	588	388	3.5210725E-4
			13)	ena	682	326	2.9584268E-4
			14)	enb	922	201	1.8240607E-4
		2)	er	0	0	0.0
			1)	er_	12	5013	0.004549262
			2)	ers	27	3382	0.003069141
			3)	ere	30	3231	0.0029321096
			4)	erk	55	2262	0.002052749
			5)	erd	69	2003	0.0018177083
			6)	eri	85	1740	0.0015790376
			7)	erv	184	1007	9.138454E-4
			8)	erg	216	875	7.940563E-4
			9)	ert	232	830	7.532191E-4
			10)	ern	240	807	7.323468E-4
			11)	erh	278	725	6.5793237E-4
			12)	era	279	724	6.5702485E-4
			13)	erw	313	673	6.107427E-4
			14)	erm	385	577	5.236234E-4
			15)	erb	389	573	5.199934E-4
			16)	erz	398	567	5.1454845E-4
			17)	erl	402	565	5.127335E-4
			18)	ero	510	451	4.092793E-4
			19)	erp	553	415	3.7660956E-4
			20)	err	809	258	2.3413317E-4
			21)	eru	833	245	2.2233576E-4
		3)	el	0	0	0.0
			1)	eli	17	4033	0.003659919
			2)	ele	33	3084	0.0027987082
			3)	el_	57	2241	0.0020336916
			4)	eld	114	1408	0.00127775
			5)	ela	136	1275	0.0011570534
			6)	ell	154	1171	0.0010626742
			7)	els	405	562	5.10011E-4
			8)	elk	611	376	3.4121732E-4
			9)	elf	670	334	3.0310263E-4
			10)	elo	782	268	2.432081E-4
		4)	ei	0	0	0.0
			1)	eid	32	3171	0.0028776599
			2)	eit	273	735	6.670073E-4
			3)	ein	418	552	5.0093606E-4
			4)	eil	538	431	3.9112943E-4
			5)	eig	685	325	2.949352E-4
		5)	ee	0	0	0.0
			1)	eer	37	3030	0.0027497036
			2)	een	119	1389	0.0012605076
			3)	eel	120	1380	0.0012523402
			4)	ee_	406	562	5.10011E-4
			5)	eed	569	403	3.6571964E-4
			6)	eem	589	388	3.5210725E-4
			7)	eef	875	222	2.0146342E-4
			8)	ees	886	217	1.9692596E-4
		6)	ed	0	0	0.0
			1)	ede	42	2611	0.002369464
			2)	edi	317	666	6.043903E-4
			3)	ed_	352	616	5.590156E-4
			4)	edr	599	383	3.475698E-4
			5)	eda	773	275	2.4956054E-4
			6)	eds	854	236	2.1416832E-4
		7)	et	0	0	0.0
			1)	ete	64	2108	0.001912995
			2)	etr	251	773	7.01492E-4
			3)	et_	271	737	6.6882226E-4
			4)	ett	681	326	2.9584268E-4
			5)	etg	810	257	2.3322567E-4
			6)	eta	853	236	2.1416832E-4
		8)	eg	0	0	0.0
			1)	ege	67	2048	0.0018585455
			2)	egi	192	985	8.938805E-4
			3)	egg	496	465	4.219842E-4
			4)	ega	498	463	4.201692E-4
			5)	egd	525	441	4.0020436E-4
			6)	egr	618	370	3.3577238E-4
			7)	eg_	702	316	2.8676775E-4
		9)	es	0	0	0.0
			1)	est	71	1950	0.0017696111
			2)	es_	139	1249	0.0011334586
			3)	esc	421	549	4.982136E-4
			4)	esl	478	487	4.4194903E-4
			5)	esp	676	330	2.9947265E-4
		10)	ev	0	0	0.0
			1)	eve	72	1932	0.0017532763
			2)	evo	213	886	8.040387E-4
			3)	eva	363	604	5.481257E-4
			4)	evr	417	553	5.018436E-4
			5)	evi	675	330	2.9947265E-4
		11)	em	0	0	0.0
			1)	eme	79	1810	0.0016425621
			2)	ema	486	476	4.3196662E-4
			3)	emo	687	324	2.940277E-4
			4)	em_	688	324	2.940277E-4
			5)	emm	788	265	2.4048562E-4
			6)	emi	848	239	2.168908E-4
		12)	ek	0	0	0.0
			1)	eke	96	1603	0.0014547111
			2)	ek_	407	561	5.091035E-4
			3)	eko	620	366	3.321424E-4
			4)	ekk	710	313	2.8404527E-4
		13)	ec	0	0	0.0
			1)	ech	101	1541	0.0013984465
			2)	ect	342	624	5.6627556E-4
			3)	eco	490	473	4.2924413E-4
		14)	eu	0	0	0.0
			1)	eur	223	854	7.749989E-4
			2)	euw	355	610	5.535707E-4
			3)	eun	441	525	4.7643378E-4
		15)	ez	0	0	0.0
			1)	eze	373	596	5.4086576E-4
			2)	ezi	559	410	3.720721E-4
		16)	eb	0	0	0.0
			1)	ebr	456	515	4.6735886E-4
			2)	ebi	567	404	3.6662712E-4
			3)	eba	690	323	2.9312022E-4
			4)	ebe	798	262	2.3776313E-4
		17)	ep	0	0	0.0
			1)	epa	516	447	4.0564933E-4
			2)	epe	581	395	3.5845969E-4
		18)	ef	0	0	0.0
			1)	eft	556	414	3.7570205E-4
			2)	ef_	591	387	3.5119976E-4
			3)	eff	607	379	3.439398E-4
		19)	ew	0	0	0.0
			1)	ewe	636	357	3.2397496E-4
		20)	eh	0	0	0.0
			1)	eho	711	313	2.8404527E-4
			2)	eha	793	263	2.3867063E-4
			3)	ehe	864	230	2.0872337E-4
		21)	ea	0	0	0.0
			1)	eau	800	261	2.3685565E-4
	2)	i	0	0	0.0
		1)	in	0	0	0.0
			1)	ing	2	8724	0.007916968
			2)	ind	143	1232	0.0011180312
			3)	ins	233	823	7.4686663E-4
			4)	int	341	624	5.6627556E-4
			5)	ini	351	618	5.6083064E-4
			6)	inn	453	517	4.6917383E-4
			7)	ina	506	456	4.1381677E-4
			8)	in_	511	450	4.083718E-4
			9)	inz	787	265	2.4048562E-4
			10)	ine	827	246	2.2324326E-4
		2)	ij	0	0	0.0
			1)	ijk	14	4665	0.0042334544
			2)	ijn	98	1584	0.0014374688
			3)	ijd	186	1003	9.1021537E-4
			4)	ijz	357	609	5.526632E-4
			5)	ijv	528	440	3.9929687E-4
			6)	ijf	546	423	3.8386948E-4
			7)	ij_	555	414	3.7570205E-4
			8)	ijg	821	252	2.2868821E-4
			9)	ijs	847	239	2.168908E-4
		3)	ie	0	0	0.0
			1)	ie_	41	2664	0.0024175611
			2)	ien	112	1422	0.0012904549
			3)	ieu	202	930	8.439684E-4
			4)	ies	264	748	6.788047E-4
			5)	ied	270	739	6.7063724E-4
			6)	ier	291	706	6.4069E-4
			7)	iek	358	608	5.5175566E-4
			8)	iev	518	445	4.0383433E-4
			9)	ief	625	363	3.294199E-4
			10)	iet	723	307	2.7860032E-4
		4)	id	0	0	0.0
			1)	id_	58	2225	0.0020191716
			2)	ids	207	911	8.26726E-4
			3)	ide	243	791	7.178269E-4
			4)	idi	378	584	5.2997586E-4
			5)	idd	492	468	4.2470667E-4
		5)	ig	0	0	0.0
			1)	ige	89	1689	0.0015327556
			2)	ig_	177	1029	9.338102E-4
			3)	igh	444	524	4.7552626E-4
			4)	igd	662	340	3.0854758E-4
			5)	igi	900	210	1.9057351E-4
		6)	it	0	0	0.0
			1)	ite	130	1313	0.0011915382
			2)	iti	175	1035	9.392552E-4
			3)	it_	248	783	7.1056694E-4
			4)	itt	547	421	3.820545E-4
			5)	itg	648	350	3.176225E-4
			6)	its	761	281	2.550055E-4
			7)	itv	876	221	2.0055594E-4
			8)	itu	896	213	1.9329599E-4
		7)	ic	0	0	0.0
			1)	ich	135	1284	0.0011652209
		8)	is	0	0	0.0
			1)	isc	161	1131	0.0010263745
			2)	is_	211	896	8.1311364E-4
			3)	iss	214	885	8.031312E-4
			4)	ist	284	713	6.470424E-4
			5)	ise	580	395	3.5845969E-4
		9)	il	0	0	0.0
			1)	ili	249	780	7.0784445E-4
			2)	ill	263	749	6.7971216E-4
		10)	io	0	0	0.0
			1)	ion	268	744	6.751747E-4
			2)	io_	743	293	2.6589542E-4
		11)	ik	0	0	0.0
			1)	ikk	449	520	4.7189632E-4
			2)	ike	695	319	2.8949024E-4
		12)	ia	0	0	0.0
			1)	ial	590	387	3.5119976E-4
			2)	iat	775	272	2.4683806E-4
		13)	ir	0	0	0.0
			1)	ire	728	302	2.7406286E-4
		14)	ië	0	0	0.0
			1)	iël	745	292	2.6498793E-4
		15)	im	0	0	0.0
			1)	imm	870	226	2.050934E-4
	3)	_	0	0	0.0
		1)	_b	0	0	0.0
			1)	_be	3	6918	0.0062780357
			2)	_bi	204	918	8.3307846E-4
			3)	_bu	413	558	5.0638104E-4
			4)	_bl	584	391	3.548297E-4
			5)	_br	640	355	3.2216E-4
			6)	_bo	696	319	2.8949024E-4
			7)	_ba	795	263	2.3867063E-4
		2)	_g	0	0	0.0
			1)	_ge	5	6512	0.005909594
			2)	_gr	166	1113	0.0010100396
			3)	_ga	300	692	6.279851E-4
			4)	_go	322	655	5.9440784E-4
		3)	_v	0	0	0.0
			1)	_ve	9	5130	0.0046554385
			2)	_vo	25	3513	0.0031880226
			3)	_vr	165	1114	0.001010947
			4)	_va	302	690	6.261701E-4
			5)	_vi	354	612	5.5538566E-4
		4)	_s	0	0	0.0
			1)	_st	35	3071	0.0027869106
			2)	_so	364	604	5.481257E-4
			3)	_sc	392	571	5.1817845E-4
			4)	_sp	445	524	4.7552626E-4
			5)	_sl	622	366	3.321424E-4
			6)	_sa	657	344	3.1217755E-4
			7)	_si	874	224	2.0327841E-4
		5)	_i	0	0	0.0
			1)	_in	40	2777	0.0025201077
			2)	_im	816	254	2.305032E-4
			3)	_is	835	244	2.2142827E-4
		6)	_o	0	0	0.0
			1)	_on	48	2417	0.0021934104
			2)	_op	113	1414	0.001283195
			3)	_ov	245	786	7.132894E-4
			4)	_or	770	276	2.5046803E-4
			5)	_oo	830	246	2.2324326E-4
			6)	_om	908	207	1.8785102E-4
		7)	_w	0	0	0.0
			1)	_we	50	2371	0.0021516657
			2)	_wa	128	1335	0.001211503
			3)	_wi	200	940	8.5304334E-4
			4)	_wo	554	415	3.7660956E-4
		8)	_r	0	0	0.0
			1)	_re	52	2334	0.0021180883
			2)	_ri	348	621	5.6355307E-4
			3)	_ra	582	393	3.566447E-4
			4)	_ro	747	292	2.6498793E-4
		9)	_c	0	0	0.0
			1)	_co	53	2313	0.0020990311
		10)	_m	0	0	0.0
			1)	_mo	56	2253	0.0020445816
			2)	_mi	76	1861	0.0016888443
			3)	_me	86	1704	0.0015463679
			4)	_ma	95	1606	0.0014574336
		11)	_h	0	0	0.0
			1)	_he	73	1932	0.0017532763
			2)	_ho	188	993	9.0114045E-4
			3)	_ha	329	637	5.7807297E-4
			4)	_hi	763	279	2.5319052E-4
			5)	_hu	903	210	1.9057351E-4
		12)	_p	0	0	0.0
			1)	_pr	87	1703	0.0015454604
			2)	_pl	308	685	6.216326E-4
			3)	_pa	440	527	4.7824875E-4
			4)	_po	474	490	4.4467152E-4
			5)	_pu	651	347	3.1490004E-4
			6)	_pe	742	294	2.668029E-4
		13)	_d	0	0	0.0
			1)	_de	93	1642	0.0014901033
			2)	_da	108	1429	0.0012968073
			3)	_do	227	844	7.65924E-4
			4)	_di	267	745	6.760822E-4
			5)	_du	462	507	4.600989E-4
			6)	_dr	623	364	3.3032743E-4
		14)	_a	0	0	0.0
			1)	_aa	99	1580	0.0014338387
			2)	_al	234	822	7.459592E-4
			3)	_af	282	715	6.4885744E-4
			4)	_am	560	408	3.702571E-4
			5)	_an	592	387	3.5119976E-4
			6)	_ac	608	378	3.4303233E-4
			7)	_ar	649	350	3.176225E-4
			8)	_au	836	244	2.2142827E-4
		15)	_u	0	0	0.0
			1)	_ui	118	1392	0.0012632301
		16)	_t	0	0	0.0
			1)	_te	121	1364	0.0012378204
			2)	_to	142	1242	0.0011271061
			3)	_tw	517	447	4.0564933E-4
			4)	_ti	568	404	3.6662712E-4
			5)	_tr	638	356	3.2306748E-4
			6)	_ta	906	208	1.8875852E-4
		17)	_z	0	0	0.0
