Dutch	3	125235535	4185
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	4679504	0.027043361
			2)	ens	85	273992	0.0015834294
			3)	end	93	250476	0.0014475279
			4)	ent	100	241030	0.0013929384
			5)	ene	255	100159	5.788297E-4
			6)	eni	284	86025	4.971478E-4
			7)	enk	369	68731	3.972039E-4
			8)	eno	410	62833	3.631187E-4
			9)	enw	581	44312	2.5608385E-4
			10)	enl	599	42867	2.4773303E-4
			11)	eng	608	42092	2.4325422E-4
			12)	enh	741	32597	1.883816E-4
			13)	ena	781	29900	1.7279533E-4
			14)	enn	1030	18572	1.073296E-4
			15)	enr	1046	17919	1.03555845E-4
			16)	enb	1150	14800	8.55308E-5
			17)	env	1229	12901	7.455628E-5
			18)	enz	1277	11977	6.921638E-5
			19)	enm	1482	8612	4.9769682E-5
			20)	enu	1583	7296	4.2164374E-5
			21)	enp	2092	3319	1.9180861E-5
			22)	en”	2467	1908	1.1026539E-5
			23)	enc	2474	1879	1.0858945E-5
			24)	enf	3141	745	4.3054356E-6
			25)	enq	3820	316	1.8261983E-6
			26)	enj	3875	296	1.7106161E-6
		2)	et	0	0	0.0
			1)	et_	5	1409971	0.008148375
			2)	ete	129	197325	0.0011403626
			3)	etr	281	88223	5.098503E-4
			4)	ett	671	37021	2.1394837E-4
			5)	ets	870	25509	1.4741927E-4
			6)	etg	879	24885	1.4381311E-4
			7)	eta	1001	19553	1.129989E-4
			8)	eti	1396	9895	5.7184276E-5
			9)	etw	1488	8572	4.9538517E-5
			10)	eth	1631	6637	3.835594E-5
			11)	eto	1654	6446	3.725213E-5
			12)	etz	1874	4706	2.7196484E-5
			13)	etu	2064	3497	2.0209542E-5
			14)	etb	2435	1993	1.1517763E-5
			15)	etj	2445	1970	1.1384844E-5
			16)	etn	2451	1952	1.1280819E-5
			17)	etv	3079	794	4.5886122E-6
			18)	etm	3345	581	3.3576619E-6
			19)	etc	3506	462	2.6699481E-6
			20)	etl	3557	429	2.4792375E-6
