Dutch	4	173035447
	1)	_	0.275194	47618314
		1)	_h	0.06951683	1655041
			1)	_he	0.7752795	1283014
				1)	_her	0.039576404	50762
					1)	_herv	0.267123	13346
					2)	_herh	0.088207036	4407
					3)	_hero	0.020535607	1026
					4)	_heri	0.10556023	5274
					5)	_hers	0.102477886	5120
					6)	_here	0.19502822	9744
					7)	_herz	0.11518754	5755
					8)	_hern	0.041851807	2091
					9)	_herb	0.008206237	410
					10)	_herf	0.0077258716	386
					11)	_herk	0.032324567	1615
					12)	_herg	0.0072455066	362
					13)	_herd	0.008266282	413
					14)	Esc	2.6019776E-4	13
				2)	_het	0.6723919	862432
					1)	_het_	0.98727053	851276
					2)	_hetz	0.0053812573	4640
					3)	_hetg	0.0065444903	5643
					4)	_hete	7.9907035E-4	689
					5)	Esc	4.639015E-6	4
				3)	_hee	0.13212743	169471
					1)	_heef	0.658898	111531
					2)	_heer	0.21126136	35760
					3)	_heel	0.11811968	19994
					4)	_heen	0.007691899	1302
					5)	_heet	0.003999551	677
					6)	Esc	2.9538782E-5	5
				4)	_heb	0.118853174	152445
					1)	_hebb	0.7679817	117012
					2)	_heb_	0.20010108	30488
					3)	_hebt	0.031897508	4860
					4)	Esc	1.968982E-5	3
				5)	_hel	0.021699894	27833
					1)	_hela	0.22159965	6051
					2)	_hele	0.4395737	12003
					3)	_help	0.21163847	5779
					4)	_helf	0.056397863	1540
					5)	_held	0.07060719	1928
					6)	Esc	1.8310994E-4	5
				6)	_hem	0.004527406	5807
					1)	_hem_	0.9998179	5491
					2)	Esc	1.8208304E-4	1
				7)	_hen	0.005273527	6764
					1)	_hen_	0.999848	6578
					2)	Esc	1.5199879E-4	1
				8)	_hec	0.002054368	2635
					1)	_hech	0.85388994	2250
					2)	_hect	0.14535104	383
					3)	Esc	7.590133E-4	2
				9)	_hed	0.0010361499	1329
					1)	_hede	0.9992013	1251
					2)	Esc	7.9872203E-4	1
				10)	_hef	0.0012755012	1636
					1)	_heff	0.99920255	1253
					2)	Esc	7.9744816E-4	1
				11)	_heu	2.8067266E-4	360
				12)	_hev	3.1965497E-4	410
				13)	_hei	5.738196E-4	736
					1)	_heil	0.9981785	548
					2)	Esc	0.0018214936	1
				14)	Esc	1.0135401E-5	13
			2)	_ho	0.071718924	118688
				1)	_hoo	0.31321493	36965
					1)	_hoop	0.38382384	14137
					2)	_hoor	0.06621959	2439
					3)	_hoof	0.2460632	9063
					4)	_hoog	0.30378476	11189
					5)	Esc	1.0860122E-4	4
				2)	_hou	0.20730735	24466
					1)	_houd	0.97752947	23796
					2)	_hout	0.022388367	545
					3)	Esc	8.2159146E-5	2
				3)	_hoe	0.29157418	34411
					1)	_hoed	0.02956958	1014
					2)	_hoe_	0.570862	19576
					3)	_hoev	0.17473464	5992
					4)	_hoew	0.13740814	4712
					5)	_hoek	0.018604923	638
					6)	_hoef	0.052636184	1805
					7)	_hoez	0.015980404	548
					8)	Esc	2.0412925E-4	7
				4)	_hor	0.036833365	4347
					1)	_hore	0.8464923	3463
					2)	_hori	0.15301882	626
					3)	Esc	4.8887805E-4	2
				5)	_hog	0.06607467	7798
					1)	_hoge	0.99987173	7794
					2)	Esc	1.2828737E-4	1
				6)	_hop	0.043281533	5108
					1)	_hope	0.9998034	5086
					2)	Esc	1.9657952E-4	1
				7)	_hon	0.029766645	3513
					1)	_hond	0.6667671	2213
					2)	_hong	0.3326303	1104
					3)	Esc	6.0259114E-4	2
				8)	_hol	0.0034486265	407
				9)	_hom	0.008422444	994
					1)	_homo	0.9989059	913
					2)	Esc	0.0010940919	1
				10)	Esc	7.625955E-5	9
			3)	_hi	0.046032853	76180
				1)	_hie	0.6785217	51149
					1)	_hier	0.9909866	50685
					2)	_hiel	0.008974309	459
					3)	Esc	3.9103743E-5	2
				2)	_hij	0.27084357	20417
					1)	_hij_	0.9999508	20336
					2)	Esc	4.917146E-5	1
				3)	_his	0.03597628	2712
					1)	_hist	0.99963075	2707
					2)	Esc	3.692762E-4	1
				4)	_hin	0.014605415	1101
					1)	_hind	0.99902725	1027
					2)	Esc	9.7276265E-4	1
				5)	Esc	5.3062362E-5	4
			4)	_ha	0.060540635	100189
				1)	_haa	0.2913135	28972
					1)	_haar	0.8931547	25730
					2)	_haal	0.05304082	1528
					3)	_haas	0.022146625	638
					4)	_haak	0.015412386	444
					5)	_haat	0.016071925	463
