English	3	43770781	2924
	1)	_	0	0	0.0
		1)	_t	0	0	0.0
			1)	_th	1	1275333	0.020452898
			2)	_to	4	384422	0.006165091
			3)	_ta	209	42287	6.781693E-4
			4)	_tr	232	39326	6.3068286E-4
			5)	_te	312	30308	4.860585E-4
			6)	_ti	526	18954	3.03971E-4
			7)	_tw	883	9860	1.5812778E-4
			8)	_tu	1514	3299	5.2907053E-5
			9)	_ty	1686	2420	3.8810267E-5
		2)	_i	0	0	0.0
			1)	_in	5	380046	0.0060949116
			2)	_is	29	190461	0.0030544803
			3)	_it	56	119651	0.001918879
			4)	_im	177	47089	7.5518043E-4
			5)	_i_	193	44255	7.097307E-4
			6)	_if	459	21180	3.3967002E-4
			7)	_id	1243	5562	8.9199464E-5
			8)	_il	1550	3098	4.9683556E-5
			9)	_ir	1887	1618	2.5948351E-5
			10)	_ig	2242	838	1.3439258E-5
			11)	_ie	2314	712	1.1418558E-5
		3)	_o	0	0	0.0
			1)	_of	6	374282	0.0060024727
			2)	_on	46	146168	0.00234414
			3)	_ou	157	51928	8.327849E-4
			4)	_or	221	40919	6.5623026E-4
			5)	_op	403	24513	3.9312235E-4
			6)	_ot	486	20405	3.272411E-4
			7)	_ob	622	15398	2.4694233E-4
			8)	_ov	827	10903	1.7485468E-4
			9)	_ow	1079	7443	1.1936563E-4
			10)	_oc	1512	3310	5.3083462E-5
			11)	_ol	1824	1832	2.9380333E-5
			12)	_oi	1967	1386	2.2227698E-5
			13)	_om	2697	313	5.019675E-6
			14)	_od	2805	256	4.1055487E-6
		4)	_a	0	0	0.0
			1)	_an	9	350222	0.0056166155
			2)	_a_	33	172371	0.0027643654
			3)	_ar	71	100642	0.0016140259
			4)	_al	72	98276	0.0015760817
			5)	_as	73	97839	0.0015690734
			6)	_ac	144	54401	8.724452E-4
			7)	_at	170	48742	7.8169006E-4
			8)	_ag	219	41195	6.606566E-4
			9)	_ab	282	32768	5.2551023E-4
			10)	_am	303	30869	4.950554E-4
			11)	_ad	309	30579	4.904046E-4
			12)	_ap	345	27628	4.4307852E-4
			13)	_ai	767	12288	1.9706634E-4
			14)	_af	830	10807	1.733151E-4
			15)	_au	1007	8322	1.3346241E-4
			16)	_av	1234	5726	9.182958E-5
			17)	_aw	1242	5576	8.9423986E-5
			18)	_ah	2223	864	1.3856227E-5
			19)	_aq	2838	239	3.832915E-6
		5)	_c	0	0	0.0
			1)	_co	21	252424	0.0040481994
			2)	_ca	107	74525	0.0011951798
			3)	_cl	381	25367	4.068182E-4
			4)	_cr	390	24835	3.9828636E-4
			5)	_ch	439	22615	3.6268355E-4
			6)	_ci	694	13652	2.1894122E-4
			7)	_ce	702	13498	2.1647148E-4
			8)	_cu	722	13138	2.1069805E-4
			9)	_cy	2389	601	9.638417E-6
		6)	_r	0	0	0.0
			1)	_re	24	228998	0.0036725097
			2)	_ri	355	26820	4.301204E-4
			3)	_ra	388	24879	3.9899198E-4
			4)	_ro	870	10052	1.6120695E-4
			5)	_ru	910	9649	1.547439E-4
			6)	_rh	2872	226	3.6244298E-6
		7)	_b	0	0	0.0
			1)	_be	26	210302	0.0033726762
			2)	_by	138	55428	8.889155E-4
			3)	_bu	174	48201	7.730139E-4
			4)	_ba	396	24640	3.9515906E-4
			5)	_bo	568	16979	2.7229733E-4
			6)	_br	749	12624	2.0245487E-4
			7)	_bi	1140	6706	1.0754613E-4
			8)	_bl	1517	3278	5.257027E-5
			9)	_b_	2165	940	1.5075062E-5
		8)	_p	0	0	0.0
			1)	_pr	32	174745	0.002802438
			2)	_po	88	84861	0.0013609413
			3)	_pa	148	53446	8.571295E-4
			4)	_pe	210	42277	6.7800895E-4
			5)	_pu	429	22888	3.6706173E-4
			6)	_pl	434	22772	3.652014E-4
			7)	_pi	1501	3385	5.428626E-5
			8)	_ph	1618	2777	4.4535584E-5
			9)	_pm	2093	1076	1.7256136E-5
			10)	_ps	2880	223	3.576318E-6
		9)	_w	0	0	0.0
			1)	_wh	38	157060	0.0025188185
			2)	_we	43	152742	0.0024495693
			3)	_wi	48	146072	0.0023426006
			4)	_wo	100	78095	0.0012524329
			5)	_wa	132	57512	9.2233723E-4
			6)	_wr	1643	2662	4.2691292E-5
		10)	_f	0	0	0.0
			1)	_fo	40	155756	0.0024979056
			2)	_fi	149	52727	8.4559876E-4
			3)	_fr	169	48758	7.819467E-4
			4)	_fa	206	42577	6.8282016E-4
			5)	_fu	284	32701	5.244358E-4
			6)	_fe	642	15011	2.4073591E-4
			7)	_fl	1163	6464	1.0366511E-4
		11)	_h	0	0	0.0
			1)	_ha	45	151016	0.002421889
			2)	_ho	241	38420	6.1615306E-4
			3)	_he	242	38213	6.1283336E-4
			4)	_hi	496	19969	3.2024886E-4
			5)	_hu	748	12637	2.0266336E-4
			6)	_hy	2286	765	1.2268535E-5
		12)	_n	0	0	0.0
			1)	_no	60	116298	0.0018651059
			2)	_ne	126	60370	9.681718E-4
			3)	_na	574	16706	2.6791912E-4
			4)	_nu	924	9431	1.5124778E-4
			5)	_ni	1968	1384	2.2195623E-5
		13)	_d	0	0	0.0
			1)	_de	66	104836	0.0016812864
			2)	_di	122	65621	0.0010523837
			3)	_do	158	51724	8.295133E-4
			4)	_da	780	12027	1.9288062E-4
			5)	_dr	805	11400	1.8282523E-4
			6)	_du	987	8539	1.369425E-4
			7)	_dy	2315	708	1.1354408E-5
		14)	_m	0	0	0.0
			1)	_ma	76	96336	0.0015449694
			2)	_mo	125	60820	9.753886E-4
