English	2	132390238	533
	1)	e	0	0	0.0
		1)	e_	1	5100096	0.032820072
		2)	er	19	1378984	0.00887402
		3)	en	21	1306045	0.008404643
		4)	es	26	1164981	0.0074968706
		5)	ed	48	796972	0.005128664
		6)	ea	65	555078	0.0035720307
		7)	ec	76	511734	0.003293104
		8)	el	89	402082	0.0025874728
		9)	ee	101	366247	0.002356868
		10)	em	104	360498	0.002319872
		11)	et	115	321671	0.002070013
		12)	ev	126	260360	0.0016754653
		13)	eg	162	183400	0.0011802133
		14)	ex	163	182651	0.0011753934
		15)	ef	164	180532	0.0011617572
		16)	ep	170	166723	0.0010728936
		17)	ei	195	128385	8.261815E-4
		18)	ew	219	98304	6.3260464E-4
		19)	ey	233	76938	4.951104E-4
		20)	eo	267	55029	3.541219E-4
		21)	eq	273	50496	3.249512E-4
		22)	eb	286	39063	2.513777E-4
		23)	eu	296	33599	2.1621585E-4
		24)	eh	318	26256	1.6896227E-4
		25)	ek	336	14018	9.020845E-5
		26)	ej	366	6948	4.471168E-5
		27)	e’	408	2231	1.4356902E-5
		28)	ez	473	592	3.8096307E-6
		29)	e 	490	390	2.509723E-6
	2)	_	0	0	0.0
		1)	_t	2	4499247	0.028953496
		2)	_a	5	2813300	0.018104112
		3)	_i	10	2040463	0.013130761
		4)	_o	13	1759017	0.011319603
		5)	_w	17	1451561	0.009341067
		6)	_s	24	1187971	0.0076448154
		7)	_c	30	1094146	0.007041034
		8)	_p	35	1009274	0.0064948667
		9)	_b	38	933361	0.0060063526
		10)	_f	40	886725	0.0057062414
		11)	_m	50	763514	0.004913355
		12)	_r	53	754418	0.0048548207
		13)	_h	58	649731	0.0041811406
		14)	_d	59	633744	0.004078261
		15)	_e	63	572734	0.0036856504
		16)	_n	75	513957	0.0033074094
		17)	_l	90	401918	0.0025864174
		18)	_g	125	267089	0.0017187677
		19)	_u	140	234592	0.0015096434
		20)	_v	165	177239	0.0011405661
		21)	_y	182	144030	9.2685997E-4
		22)	_j	259	59809	3.848821E-4
		23)	_q	262	57164	3.6786104E-4
		24)	_k	274	49658	3.1955852E-4
		25)	_ 	302	32036	2.0615765E-4
		26)	_z	400	2546	1.6383987E-5
		27)	_x	455	796	5.1224088E-6
		28)	_–	525	225	1.447917E-6
	3)	t	0	0	0.0
		1)	th	3	3652495	0.023504488
		2)	t_	7	2476616	0.015937487
		3)	ti	18	1385867	0.008918313
		4)	to	31	1081201	0.0069577307
		5)	te	39	925716	0.0059571555
		6)	ta	79	488732	0.0031450817
		7)	tr	103	361949	0.0023292096
		8)	ts	111	343236	0.0022087877
		9)	tu	156	194887	0.0012541342
		10)	ty	161	184017	0.0011841838
		11)	tt	212	106345	6.8435E-4
		12)	tl	229	84017	5.406651E-4
		13)	tw	256	60138	3.8699928E-4
		14)	tm	325	22405	1.4418036E-4
		15)	tn	348	10770	6.930697E-5
		16)	tc	349	10614	6.8303074E-5
		17)	tf	391	3183	2.04832E-5
		18)	tb	406	2359	1.5180606E-5
		19)	tp	419	1715	1.1036345E-5
		20)	t’	445	1021	6.5703257E-6
		21)	td	467	649	4.1764365E-6
		22)	tg	470	607	3.9061583E-6
		23)	t 	524	225	1.447917E-6
	4)	s	0	0	0.0
		1)	s_	4	3041507	0.019572666
		2)	st	46	813915	0.0052376953
		3)	se	52	756447	0.004867878
		4)	si	82	469820	0.0030233795
		5)	ss	112	341488	0.0021975392
		6)	so	113	334937	0.0021553822
		7)	su	114	324886	0.002090702
		8)	sa	148	214568	0.0013807851
		9)	sh	150	208845	0.0013439566
		10)	sp	166	175912	0.0011320265
		11)	sc	254	62392	4.015042E-4
		12)	sm	277	44951	2.892681E-4
		13)	sl	285	39773	2.5594668E-4
		14)	sk	294	34745	2.2359057E-4
		15)	sy	299	32467	2.0893122E-4
		16)	sf	339	12935	8.3239145E-5
		17)	sw	356	9283	5.9737842E-5
		18)	s’	382	3984	2.5637784E-5
		19)	sb	387	3315	2.1332644E-5
		20)	sr	402	2401	1.5450883E-5
		21)	sn	420	1684	1.0836855E-5
		22)	sd	430	1313	8.4494E-6
		23)	sg	432	1259	8.101901E-6
		24)	sq	446	1009	6.4931037E-6
		25)	s 	486	447	2.8765285E-6
		26)	sv	515	243	1.5637504E-6
		27)	sà	522	228	1.4672227E-6
	5)	h	0	0	0.0
		1)	he	6	2620126	0.016861001
		2)	ha	32	1062931	0.0068401597
		3)	hi	57	657444	0.004230775
		4)	h_	67	546173	0.0035147252
		5)	ho	98	371686	0.002391869
		6)	ht	215	103578	6.665438E-4
		7)	hu	281	41284	2.6567027E-4
		8)	hr	284	39788	2.5604322E-4
		9)	hy	321	25178	1.6202514E-4
		10)	hn	337	13998	9.0079746E-5
		11)	hl	351	10033	6.456423E-5
		12)	hs	358	9172	5.9023536E-5
		13)	hm	380	4346	2.7967322E-5
		14)	hb	384	3943	2.5373942E-5
		15)	hd	399	2597	1.671218E-5
		16)	hc	405	2361	1.5193476E-5
		17)	hw	443	1043	6.7119E-6
		18)	hq	447	962	6.19065E-6
		19)	hf	485	485	3.1210657E-6
		20)	hp	501	326	2.097871E-6
		21)	hh	513	251	1.6152319E-6
		22)	h 	531	213	1.3706948E-6
	6)	i	0	0	0.0
		1)	in	8	2152455	0.013851451
		2)	is	22	1222701	0.0078683095
		3)	it	29	1096020	0.0070530935
		4)	io	42	882359	0.005678145
		5)	ic	61	620584	0.003993574
		6)	il	108	355224	0.002285933
		7)	ie	110	344389	0.0022162076
		8)	im	123	277667	0.0017868391
		9)	iv	128	257851	0.0016593194
		10)	ir	145	224962	0.0014476725
		11)	ia	151	208332	0.0013406554
		12)	id	152	204970	0.0013190203
		13)	ig	157	194433	0.0012512127
		14)	if	177	152364	9.804908E-4
		15)	i_	209	110485	7.109916E-4
		16)	ib	222	92451	5.9493945E-4
		17)	ik	258	59841	3.8508803E-4
		18)	ip	271	53058	3.4143814E-4
		19)	iz	314	27298	1.7566774E-4
		20)	iu	375	5910	3.8031954E-5
		21)	ix	376	5836	3.755575E-5
		22)	iq	414	1824	1.1737781E-5
		23)	ih	471	602	3.8739827E-6
	7)	n	0	0	0.0
