English	2	81310876	533
	1)	s	0	0	0.0
		1)	s_	1	1800724	0.019686706
		2)	st	27	742636	0.008118988
		3)	se	35	604520	0.006609013
		4)	si	58	451634	0.0049375617
		5)	ss	79	334026	0.0036517933
		6)	su	90	291210	0.0031837004
		7)	sa	124	194679	0.0021283596
		8)	so	132	177795	0.0019437727
		9)	sp	134	175846	0.0019224648
		10)	sh	171	124082	0.0013565465
		11)	sc	233	62054	6.784154E-4
		12)	sm	259	44915	4.910405E-4
		13)	sl	264	39761	4.3469356E-4
		14)	sk	278	34743	3.7983348E-4
		15)	sy	282	32462	3.5489607E-4
		16)	sf	329	12935	1.4141398E-4
		17)	sw	348	9277	1.014223E-4
		18)	s’	379	3984	4.3555727E-5
		19)	sb	384	3315	3.6241774E-5
		20)	sr	401	2395	2.6183725E-5
		21)	sn	420	1681	1.8377805E-5
		22)	sd	430	1313	1.4354585E-5
		23)	sg	431	1259	1.3764221E-5
		24)	sq	446	1008	1.1020124E-5
		25)	s 	486	445	4.8650345E-6
		26)	sv	515	243	2.6566368E-6
		27)	sà	521	228	2.492647E-6
	2)	e	0	0	0.0
		1)	e_	2	1668194	0.018237801
		2)	en	8	1139225	0.012454762
		3)	es	9	1065639	0.011650271
		4)	er	14	956400	0.010455998
		5)	ed	22	795316	0.008694921
		6)	ea	40	541182	0.0059165596
		7)	ec	54	477544	0.005220827
		8)	el	65	373122	0.0040792166
		9)	em	80	333772	0.0036490164
		10)	et	95	275216	0.0030088434
		11)	ee	100	258037	0.0028210313
		12)	ev	113	208343	0.0022777435
		13)	eg	127	183352	0.0020045254
		14)	ex	129	182651	0.0019968615
		15)	ep	140	166682	0.0018222779
		16)	ef	163	134074	0.0014657857
		17)	ew	206	87768	9.5953787E-4
		18)	eo	248	51357	5.614687E-4
		19)	eq	254	48606	5.31393E-4
		20)	ei	265	39120	4.2768574E-4
		21)	eb	266	39062	4.2705165E-4
		22)	eu	280	33278	3.6381712E-4
		23)	eh	299	26255	2.8703705E-4
		24)	ey	315	21872	2.3911918E-4
		25)	ek	326	14018	1.5325405E-4
		26)	ej	361	6945	7.592734E-5
		27)	e’	407	2230	2.4379837E-5
		28)	ez	473	592	6.4721357E-6
		29)	e 	490	391	4.2746706E-6
	3)	i	0	0	0.0
