English	2	173691419	557
	1)	e	0	0	0.0
		1)	e_	1	4138977	0.021107536
		2)	en	8	2478253	0.0126383435
		3)	er	11	2158959	0.0110100405
		4)	es	12	2154811	0.0109888865
		5)	ed	24	1582025	0.008067851
		6)	ea	49	1074414	0.0054791877
		7)	ec	59	970583	0.0049496805
		8)	el	69	779557	0.0039755055
		9)	ee	75	714189	0.0036421486
		10)	em	80	680357	0.0034696157
		11)	et	88	610232	0.0031119992
		12)	ev	128	411426	0.0020981487
		13)	eg	140	366423	0.0018686468
		14)	ex	143	361928	0.0018457237
		15)	ep	152	337406	0.0017206689
		16)	ef	170	264277	0.0013477331
		17)	ew	206	179316	9.1445755E-4
		18)	ei	230	129753	6.617012E-4
		19)	eo	253	101894	5.196287E-4
		20)	eq	257	99450	5.0716504E-4
		21)	eb	273	74218	3.7848944E-4
		22)	eu	282	68431	3.4897748E-4
		23)	eh	303	52738	2.6894792E-4
		24)	ey	314	43480	2.217349E-4
		25)	ek	328	27172	1.3856901E-4
		26)	ej	367	12530	6.389922E-5
		27)	e’	437	2231	1.1377428E-5
		28)	ez	459	1329	6.7774995E-6
		29)	e 	523	390	1.9888823E-6
	2)	s	0	0	0.0
		1)	s_	2	3654240	0.018635523
		2)	st	27	1532671	0.00781616
		3)	se	34	1286768	0.006562129
		4)	si	63	920830	0.004695955
		5)	ss	85	655464	0.0033426688
		6)	su	95	581215	0.0029640214
		7)	sa	126	415809	0.0021205007
		8)	sh	130	402171	0.002050951
		9)	so	145	359382	0.0018327399
		10)	sp	147	349125	0.0017804323
		11)	sc	236	125266	6.3881883E-4
		12)	sm	264	85658	4.3682999E-4
		13)	sl	269	77916	3.973481E-4
		14)	sk	281	69163	3.5271046E-4
		15)	sy	284	67759	3.4555048E-4
		16)	sf	331	25936	1.3226578E-4
		17)	sw	348	18798	9.586413E-5
		18)	sb	384	6773	3.454026E-5
		19)	sr	404	4700	2.3968583E-5
		20)	s’	410	3984	2.0317199E-5
		21)	sn	415	3552	1.811413E-5
		22)	sd	429	2645	1.3488702E-5
		23)	sg	431	2459	1.2540158E-5
		24)	sq	445	1869	9.531336E-6
		25)	sv	496	677	3.452496E-6
		26)	sà	505	526	2.6824414E-6
		27)	s 	513	447	2.2795653E-6
	3)	i	0	0	0.0
		1)	in	3	3058187	0.015595832
		2)	io	19	1773341	0.0090435045
		3)	it	25	1580172	0.008058401
		4)	is	55	1001801	0.005108883
		5)	ic	62	939403	0.004790672
		6)	ie	81	679003	0.0034627107
		7)	im	98	557823	0.0028447292
		8)	iv	110	500001	0.0025498543
		9)	ia	124	425692	0.0021709008
		10)	id	134	386250	0.0019697587
		11)	il	136	379102	0.0019333059
		12)	ig	137	375822	0.0019165789
		13)	ir	153	333678	0.0017016572
		14)	if	198	203534	0.001037962
		15)	ib	204	183729	9.369625E-4
		16)	ip	252	105310	5.3704926E-4
		17)	iz	274	73939	3.770666E-4
		18)	ik	365	12679	6.465908E-5
		19)	iu	366	12547	6.398592E-5
