English	4	128173779	11379
	1)	t	0	0	0.0
		1)	ti	0	0	0.0
			1)	tio	0	0	0.0
				1)	tion	1	1304768	0.0066539235
				2)	tiou	3259	7279	3.7120706E-5
				3)	tio_	8543	574	2.927227E-6
			2)	tin	0	0	0.0
				1)	ting	21	245035	0.0012496046
				2)	tinu	921	36190	1.8455808E-4
				3)	tine	3667	5800	2.9578252E-5
				4)	tina	4888	2895	1.4763627E-5
				5)	tinc	5003	2712	1.3830382E-5
				6)	tiny	5612	2023	1.031669E-5
				7)	tino	6900	1153	5.8799524E-6
				8)	tini	8396	607	3.095517E-6
				9)	tin_	10453	275	1.4024171E-6
			3)	tiv	0	0	0.0
				1)	tive	23	242418	0.0012362588
				2)	tivi	1631	20539	1.0474271E-4
				3)	tiva	4776	3082	1.571727E-5
			4)	tie	0	0	0.0
				1)	ties	150	106607	5.4366357E-4
				2)	tien	4201	4364	2.2255084E-5
				3)	tier	6094	1632	8.322708E-6
				4)	tiet	8746	529	2.6977405E-6
				5)	tied	8772	522	2.6620426E-6
				6)	tieu	10370	285	1.453414E-6
				7)	tie_	10766	246	1.2545258E-6
			5)	tim	0	0	0.0
				1)	time	179	97240	4.958947E-4
				2)	tima	2210	14165	7.223723E-5
				3)	tims	3271	7237	3.690652E-5
				4)	timi	4328	4057	2.0689477E-5
				5)	timu	4910	2851	1.45392405E-5
				6)	tim_	6423	1407	7.1752756E-6
				7)	timb	8751	528	2.692641E-6
				8)	timo	9439	405	2.0653779E-6
			6)	tic	0	0	0.0
				1)	tica	226	82738	4.2193886E-4
				2)	ticu	394	61770	3.1500836E-4
				3)	tic_	633	47060	2.3999182E-4
				4)	tici	1202	28176	1.436891E-4
				5)	tice	1348	24825	1.2660002E-4
				6)	tics	2695	10278	5.24147E-5
				7)	ticl	4387	3918	1.9980618E-5
				8)	tick	5106	2583	1.3172521E-5
				9)	tico	9312	423	2.1571725E-6
			7)	tit	0	0	0.0
				1)	titu	498	55552	2.8329846E-4
				2)	titi	1085	31432	1.6029373E-4
				3)	titl	4114	4570	2.3305622E-5
				4)	tity	4342	3999	2.0393694E-5
				5)	tito	7646	834	4.2531487E-6
				6)	tite	7786	790	4.028762E-6
				7)	tita	7921	749	3.819674E-6
			8)	tia	0	0	0.0
				1)	tiat	540	52424	2.673466E-4
				2)	tial	712	43287	2.2075065E-4
				3)	tian	6270	1495	7.6240494E-6
				4)	tia_	7919	750	3.824774E-6
				5)	tiab	11096	221	1.1270333E-6
				6)	tias	11102	220	1.1219337E-6
			9)	tiz	0	0	0.0
				1)	tize	672	44835	2.2864499E-4
				2)	tiza	9146	451	2.299964E-6
			10)	tif	0	0	0.0
				1)	tifi	1323	25423	1.2964963E-4
				2)	tify	3100	8013	4.0863884E-5
				3)	tifu	7139	1039	5.298587E-6
				4)	tifl	10035	321	1.6370033E-6
				5)	tifa	10252	296	1.5095108E-6
				6)	tifr	11356	201	1.0250394E-6
			11)	tir	0	0	0.0
				1)	tire	2376	12736	6.494976E-5
			12)	tis	0	0	0.0
				1)	tisf	2872	9144	4.6631645E-5
				2)	tist	3324	7029	3.584578E-5
				3)	tise	4237	4289	2.1872607E-5
				4)	tisa	4877	2916	1.4870721E-5
				5)	tisi	4942	2805	1.43046545E-5
				6)	tism	6792	1206	6.1502365E-6
				7)	tiss	9819	347	1.7695954E-6
			13)	tig	0	0	0.0
				1)	tiga	3260	7277	3.7110505E-5
				2)	tigh	5443	2173	1.10816445E-5
				3)	tige	8856	507	2.5855472E-6
				4)	tigr	10251	296	1.5095108E-6
				5)	tigm	10501	270	1.3769186E-6
			14)	til	0	0	0.0
				1)	tili	4624	3330	1.6981996E-5
				2)	tile	4703	3181	1.622214E-5
				3)	tila	4710	3173	1.6181344E-5
				4)	till	7898	757	3.8604717E-6
				5)	tily	10567	263	1.3412207E-6
			15)	tib	0	0	0.0
				1)	tibl	4950	2799	1.4274056E-5
				2)	tibi	6447	1396	7.1191794E-6
			16)	tip	0	0	0.0
				1)	tipu	5949	1747	8.909174E-6
				2)	tipl	6953	1124	5.7320613E-6
				3)	tipe	10129	310	1.5809065E-6
			17)	tid	0	0	0.0
				1)	tidi	8106	686	3.4983932E-6
				2)	tide	8634	554	2.825233E-6
				3)	tidu	10112	312	1.591106E-6
		2)	te	0	0	0.0
			1)	ted	0	0	0.0
				1)	ted_	17	327643	0.0016708805
				2)	tedl	3410	6709	3.4213877E-5
				3)	tedn	10238	299	1.5248098E-6
			2)	ter	0	0	0.0
				1)	ter_	132	112423	5.733234E-4
				2)	tern	297	71743	3.658677E-4
				3)	term	528	53569	2.7318575E-4
				4)	tere	732	42684	2.1767554E-4
				5)	teri	1069	31885	1.6260389E-4
				6)	ters	1102	30713	1.5662704E-4
				7)	terr	1190	28377	1.4471414E-4
				8)	tera	2182	14371	7.328777E-5
				9)	terp	2207	14197	7.240042E-5
				10)	terv	2995	8535	4.3525928E-5
				11)	terd	3441	6589	3.3601915E-5
				12)	terf	4382	3935	2.0067313E-5
				13)	terg	5490	2135	1.0887857E-5
				14)	terc	5791	1885	9.6129315E-6
				15)	terl	6126	1604	8.179916E-6
				16)	terw	6390	1427	7.27727E-6
				17)	tero	6751	1226	6.2522304E-6
				18)	tert	7611	848	4.3245445E-6
				19)	tery	8555	570	2.906828E-6
				20)	terb	10143	309	1.5758069E-6
			3)	tes	0	0	0.0
				1)	tes_	383	62396	3.182008E-4
				2)	test	1904	17326	8.8357374E-5
				3)	tesy	10502	270	1.3769186E-6
			4)	ten	0	0	0.0
				1)	tent	405	61180	3.1199955E-4
				2)	tend	1198	28294	1.4429087E-4
				3)	ten_	1412	23758	1.21158635E-4
				4)	tenc	2083	15113	7.7071745E-5
				5)	tens	2296	13449	6.858585E-5
				6)	tene	4042	4773	2.4340861E-5
				7)	teni	4597	3378	1.7226781E-5
				8)	tena	5789	1887	9.6231315E-6
			5)	tec	0	0	0.0
				1)	tect	639	46434	2.367994E-4
				2)	tech	1304	25813	1.3163852E-4
			6)	tel	0	0	0.0
				1)	tely	697	44054	2.2466212E-4
				2)	tell	2177	14397	7.342036E-5
				3)	tele	3600	6026	3.0730782E-5
				4)	tels	9830	346	1.7644957E-6
				5)	tel_	10058	318	1.6217041E-6
			7)	tem	0	0	0.0
				1)	tem_	791	40703	2.0757303E-4
				2)	temp	2151	14575	7.4328105E-5
				3)	teme	2235	14005	7.142128E-5
				4)	tems	2284	13595	6.93304E-5
				5)	tema	5198	2459	1.2540158E-5
				6)	temi	9916	335	1.708399E-6
				7)	temm	10973	230	1.1729306E-6
			8)	teu	0	0	0.0
				1)	teur	975	34503	1.759549E-4
			9)	tex	0	0	0.0
				1)	text	1092	31009	1.5813655E-4
			10)	tee	0	0	0.0
				1)	tee_	1416	23734	1.21036246E-4
				2)	tees	3027	8395	4.281197E-5
				3)	teed	4773	3087	1.574277E-5
				4)	teei	5444	2173	1.10816445E-5
				5)	teen	5737	1926	9.82202E-6
				6)	teer	6434	1403	7.154877E-6
				7)	teel	7467	903	4.6050277E-6
				8)	teem	9327	421	2.146973E-6
				9)	teet	10585	261	1.3310213E-6
			11)	teg	0	0	0.0
				1)	tegr	1726	19298	9.8413984E-5
				2)	tegy	1912	17191	8.7668916E-5
				3)	tegi	2987	8571	4.3709515E-5
				4)	tego	4518	3579	1.8251822E-5
			12)	tep	0	0	0.0
				1)	tep_	2248	13900	7.088581E-5
				2)	teps	3718	5646	2.8792898E-5
				3)	tepp	6931	1136	5.7932575E-6
			13)	tef	0	0	0.0
				1)	tefu	4310	4114	2.098016E-5
				2)	teff	9093	460	2.3458613E-6
			14)	tea	0	0	0.0
				1)	teac	5275	2360	1.2035289E-5
				2)	team	5286	2343	1.1948594E-5
				3)	tead	6970	1117	5.696363E-6
				4)	tear	10009	324	1.6523023E-6
			15)	tei	0	0	0.0
				1)	tein	7595	852	4.344943E-6
			16)	tew	0	0	0.0
				1)	tewa	10836	240	1.2239276E-6
		3)	th	0	0	0.0
			1)	the	0	0	0.0
				1)	ther	31	213021	0.0010863428
				2)	them	1338	24950	1.2723748E-4
				3)	then	2020	15906	8.11158E-5
				4)	thes	6104	1623	8.276811E-6
				5)	theo	6121	1609	8.205415E-6
				6)	thet	7121	1044	5.324085E-6
				7)	thea	7168	1024	5.222091E-6
				8)	the_	8603	560	2.855831E-6
				9)	thei	9755	356	1.8154927E-6
				10)	thed	10986	229	1.167831E-6
			2)	thi	0	0	0.0
				1)	thin	69	158351	8.0754235E-4
				2)	thir	1458	23045	1.17522555E-4
				3)	this	2320	13268	6.76628E-5
				4)	thic	4933	2819	1.437605E-5
