English	3	22380797
	1)	r	0.066723004	1493314
		1)	re	0.77153784	1152102
			1)	res	0.2100223	241969
			2)	req	0.038840007	44748
			3)	rec	0.083189905	95844
			4)	reg	0.1324664	152616
			5)	rel	0.06519337	75110
			6)	rep	0.15427767	177745
			7)	red	0.028748967	33122
			8)	ref	0.062689275	72225
			9)	ren	0.008940979	10301
			10)	rei	0.008818595	10160
			11)	rem	0.042480282	48942
			12)	rea	0.11080703	127662
			13)	ree	0.0018644037	2148
			14)	rej	0.009517312	10965
			15)	ret	0.013989103	16117
			16)	reo	0.0014877039	1714
			17)	reb	0.0018696116	2154
			18)	rev	0.021384224	24637
			19)	reh	6.839619E-4	788
			20)	rew	0.0011639503	1341
			21)	reu	0.0013089017	1508
			22)	rer	1.8661396E-4	215
			23)	rek	4.9474398E-5	57
			24)	Esc	1.9963354E-5	23
		2)	ri	0.0919877	137361
			1)	ris	0.18118781	24876
			2)	rig	0.76118404	104506
			3)	rip	0.0018136263	249
			4)	ric	0.023132838	3176
			5)	rin	0.0035908343	493
			6)	rid	0.015149971	2080
			7)	riv	0.008944309	1228
			8)	rif	0.0018354772	252
			9)	rit	0.0012236515	168
			10)	rio	0.0018646118	256
			11)	Esc	7.2836396E-5	10
		3)	ro	0.033659376	50262
			1)	ros	0.013001349	636
			2)	roo	0.09949303	4867
			3)	roa	0.20714256	10133
			4)	rou	0.09258351	4529
			5)	rol	0.5198904	25432
			6)	row	0.0057851914	283
			7)	rob	0.022731919	1112
			8)	rom	0.008176949	400
			9)	rot	0.01240852	607
			10)	roc	0.011693037	572
			11)	rog	0.0024939694	122
			12)	rod	0.001369639	67
			13)	roy	0.002964144	145
			14)	Esc	2.6575086E-4	13
		4)	ra	0.06860186	102440
			1)	rai	0.21751569	22276
			2)	rat	0.1997637	20458
			3)	rap	0.3960219	40557
			4)	rad	0.05018992	5140
			5)	ran	0.049916513	5112
			6)	raf	0.0022653816	232
			7)	ral	0.0024118503	247
			8)	rag	0.0026169063	268
			9)	rar	0.013992637	1433
			10)	rab	0.001913857	196
			11)	rac	0.03966371	4062
			12)	ras	0.0010643388	109
			13)	raw	0.015398736	1577
			14)	ray	9.1787014E-4	94
			15)	raz	4.2964134E-4	44
			16)	ram	0.003778891	387
			17)	rav	0.0019724444	202
			18)	Esc	1.6599779E-4	17
		5)	ru	0.033433028	49924
			1)	rul	0.6702354	33430
			2)	run	0.14304905	7135
			3)	rur	0.11578251	5775
			4)	rus	0.026444525	1319
			5)	rui	0.013813705	689
			6)	rum	0.012450379	621
			7)	rud	0.0026264084	131
			8)	rub	0.009262601	462
			9)	rut	0.004771643	238
			10)	rug	0.0013633266	68
			11)	Esc	2.0048919E-4	10
		6)	rh	6.703481E-4	1001
			1)	rhe	0.9037871	883
			2)	rhy	0.09416582	92
			3)	Esc	0.0020470829	2
		7)	ré	3.817167E-5	57
		8)	rd	6.629816E-5	99
		9)	Esc	5.3574277E-6	8
	2)	s	0.092394926	2067872
		1)	se	0.17398672	356290
			1)	ses	0.010493221	3738
			2)	see	0.2032058	72388
			3)	ser	0.18282852	65129
			4)	set	0.10030317	35731
			5)	sen	0.08546164	30444
			6)	sec	0.28586587	101834
			7)	sev	0.03771159	13434
			8)	sea	0.02784437	9919
			9)	sep	0.0151194455	5386
			10)	sel	0.030241698	10773
			11)	sem	0.0028492827	1015
			12)	seg	0.0015607894	556
			13)	sei	0.0022204756	791
			14)	sex	0.012736154	4537
			15)	sew	5.61435E-4	200
			16)	seq	6.765292E-4	241
			17)	sed	2.72296E-4	97
			18)	Esc	4.7721976E-5	17
		2)	su	0.14113878	289024
			1)	suf	0.058512717	16910
			2)	sub	0.21487074	62097
			3)	sug	0.04249525	12281
			4)	sup	0.36686885	106024
			5)	sur	0.09168261	26496
			6)	suc	0.083461076	24120
			7)	sum	0.04746762	13718
			8)	sus	0.071945384	20792
			9)	sui	0.013737167	3970
			10)	sun	0.0024775343	716
			11)	sud	0.0046401867	1341
			12)	sul	0.0017993266	520
			13)	Esc	4.1522922E-5	12
		3)	sh	0.12702705	260126
			1)	sho	0.7812072	203217
			2)	sha	0.16717282	43487
			3)	shu	0.0033290791	866
			4)	shi	0.03388664	8815
			5)	she	0.011486476	2988
			6)	shr	0.0022488583	585
			7)	shy	6.419818E-4	167
			8)	Esc	2.6909414E-5	7
		4)	si	0.07586776	155362
			1)	sil	0.014073535	2186
			2)	sit	0.34814295	54076
			3)	sig	0.2143993	33302
			4)	sim	0.20600411	31998
			5)	sid	0.065661475	10199
			6)	six	0.009000367	1398
			7)	sin	0.12001777	18642
			8)	sir	7.403735E-4	115
			9)	siz	0.014826785	2303
			10)	sis	0.001474309	229
			11)	sic	0.004236224	658
			12)	sie	0.001049399	163
			13)	sip	2.8971137E-4	45
			14)	Esc	8.36944E-5	13
		5)	st	0.15886366	325321
			1)	sto	0.05844312	18951
			2)	sta	0.4660431	151121
			3)	str	0.33681506	109217
			4)	ste	0.07838366	25417
			5)	stu	0.037984483	12317
			6)	sti	0.021245034	6889
			7)	sty	0.0010639479	345
			8)	Esc	2.1587348E-5	7
		6)	so	0.09377625	192035
			1)	som	0.17030515	31930
			2)	sol	0.23179741	43459
			3)	sor	0.041890904	7854
			4)	sou	0.09980959	18713
			5)	soc	0.38130644	71490
			6)	soo	0.027420567	5141
			7)	sov	0.02186285	4099
			8)	sof	0.0092113055	1727
			9)	son	0.0018027916	338
			10)	sop	0.0018401276	345
			11)	soa	0.0012107507	227
			12)	soi	0.0075365226	1413
			13)	sob	6.667129E-4	125
			14)	sow	0.0012694213	238
			15)	soy	0.0019894713	373
			16)	Esc	8.000555E-5	15
		7)	sa	0.09839584	201495
			1)	say	0.30116153	60672
			2)	saf	0.13920878	28045
			3)	sai	0.18627022	37526
			4)	sam	0.19362156	39007
			5)	sat	0.0464658	9361
			6)	sad	0.015174228	3057
			7)	sak	0.009073761	1828
			8)	sav	0.029400377	5923
			9)	saw	0.011113869	2239
			10)	san	0.030487442	6142
			11)	sac	0.009138291	1841
			12)	sal	0.025930706	5224
			13)	sau	5.1126775E-4	103
			14)	sab	0.0010423906	210
			15)	sag	6.601807E-4	133
			16)	sar	6.601807E-4	133
			17)	Esc	7.9420235E-5	16
		8)	sp	0.060530815	123955
			1)	spe	0.71909034	89137
			2)	spo	0.0993643	12317
			3)	spi	0.06753901	8372
			4)	sph	0.016247438	2014
			5)	spl	0.013052808	1618
			6)	spr	0.037754722	4680
			7)	spa	0.043151714	5349
			8)	spu	0.0027186628	337
			9)	spy	0.001008406	125
			10)	Esc	7.260524E-5	9
		9)	sy	0.025469773	52157
			1)	sys	0.867039	45171
			2)	syn	0.036527313	1903
			3)	sym	0.09437982	4917
			4)	syr	0.0019770432	103
			5)	Esc	7.677838E-5	4
		10)	sc	0.021280399	43578
			1)	sca	0.1637298	7136
			2)	sce	0.06383076	2782
			3)	sch	0.26964024	11752
			4)	sco	0.1894732	8258
			5)	scr	0.09918778	4323
			6)	sci	0.21000826	9153
			7)	scu	0.0019961454	87
			8)	scl	0.001950257	85
			9)	Esc	1.835536E-4	8
		11)	sm	0.011743334	24048
			1)	sma	0.8187261	19692
			2)	sme	0.012265093	295
			3)	smo	0.12705804	3056
			4)	smu	0.034841176	838
			5)	smi	0.006901713	166
			6)	Esc	2.0788293E-4	5
		12)	sk	0.0025197773	5160
			1)	ski	0.861232	3761
			2)	ske	0.050606824	221
			3)	sky	0.08747424	382
			4)	Esc	6.869705E-4	3
		13)	sl	0.005599668	11467
			1)	slo	0.3704529	4155
			2)	sli	0.29992867	3364
			3)	sle	0.045470756	510
			4)	slu	0.04136947	464
			5)	sla	0.24233238	2718
			6)	Esc	4.4579172E-4	5
		14)	sq	5.977146E-4	1224
			1)	squ	0.999181	1220
			2)	Esc	8.190008E-4	1
		15)	sn	3.0813555E-4	631
			1)	sno	0.2429022	154
			2)	sna	0.44479495	282
			3)	snu	0.12618296	80
			4)	sni	0.09148265	58
			5)	sne	0.08675079	55
			6)	Esc	0.007886435	5
		16)	sw	0.0026008398	5326
			1)	swi	0.5882907	3125
			2)	swe	0.24868223	1321
			3)	swo	0.046310242	246
			4)	swa	0.115963854	616
			5)	Esc	7.53012E-4	4
		17)	sv	2.851841E-4	584
		18)	Esc	8.301592E-6	17
	3)	d	0.04689011	1049438
		1)	de	0.4814336	505085
			1)	dec	0.15224606	76887
			2)	deb	0.116879	59026
			3)	dea	0.083107926	41971
			4)	des	0.08492371	42888
			5)	del	0.053552546	27045
			6)	den	0.013300516	6717
			7)	deg	0.010484775	5295
			8)	det	0.05097046	25741
			9)	dem	0.13170421	66513
			10)	dev	0.16058438	81098
			11)	def	0.07449438	37621
			12)	dee	0.014553937	7350
			13)	dep	0.039277807	19836
			14)	ded	0.0037424408	1890
			15)	der	0.009758068	4928
			16)	dei	2.7721786E-4	140
			17)	deh	1.0890701E-4	55
			18)	Esc	3.3662167E-5	17
		2)	dr	0.05399632	56649
			1)	dre	0.049463846	2800
			2)	dra	0.63246596	35802
			3)	dri	0.15833731	8963
			4)	dro	0.04437614	2512
