English	3	22380891
	1)	i	2.3073253E-4	5164
		1)	io	0.0037333514	2761
			1)	ion	0.9849019	1084441
			2)	iod	0.011235486	12371
			3)	ior	0.0031914555	3514
			4)	iot	1.335071E-4	147
			5)	ios	5.331202E-4	587
			6)	Esc	4.541058E-6	5
		2)	in	0.1873085	138524
			1)	ing	0.8491432	1276714
			2)	int	0.037504356	56389
			3)	ins	0.012346927	18564
			4)	ind	0.034170207	51376
			5)	ine	0.03346254	50312
			6)	ink	0.031320915	47092
			7)	iny	0.0013807488	2076
			8)	ina	3.8575832E-4	580
			9)	ini	8.247247E-5	124
			10)	ino	1.2836441E-4	193
			11)	inn	3.458523E-5	52
			12)	in’	3.192483E-5	48
			13)	Esc	7.981207E-6	12
		3)	is	0.09995132	73919
			1)	ish	0.1984012	38494
			2)	ise	0.3539926	68682
			3)	isk	0.06325604	12273
			4)	ism	0.19166997	37188
			5)	ist	0.16865185	32722
			6)	isy	0.004391277	852
			7)	isa	0.014441736	2802
			8)	iso	4.7417547E-4	92
			9)	iss	0.004246963	824
			10)	isi	4.2263465E-4	82
			11)	Esc	5.1540814E-5	10
		4)	ie	0.007155703	5292
			1)	ies	0.75382173	342272
			2)	ier	0.027071968	12292
			3)	ied	0.11521664	52314
			4)	iew	0.08848164	40175
			5)	ief	0.012840024	5830
			6)	iet	0.0021847861	992
			7)	ien	3.6780172E-4	167
			8)	Esc	1.5416837E-5	7
		5)	im	0.02328443	17220
			1)	ime	0.8636466	91949
			2)	ims	0.1339113	14257
			3)	imb	9.862303E-4	105
			4)	ima	7.326283E-4	78
			5)	imp	6.7627226E-4	72
			6)	Esc	4.696335E-5	5
		6)	it	0.1185383	87665
			1)	ite	0.03396778	21794
			2)	ity	0.4181759	268305
			3)	ith	0.5140693	329831
			4)	its	0.032477774	20838
			5)	ita	8.229324E-4	528
			6)	itu	1.465069E-4	94
			7)	iti	2.556078E-4	164
			8)	it’	7.169486E-5	46
			9)	Esc	1.2468672E-5	8
		7)	ic	0.28698397	212239
			1)	ice	0.35655376	58841
			2)	icy	0.43271708	71410
			3)	ick	0.02389306	3943
			4)	ics	0.08797348	14518
			5)	ich	0.014367346	2371
			6)	ict	0.08282281	13668
			7)	ica	0.001320996	218
			8)	ico	3.029807E-4	50
			9)	Esc	4.8476915E-5	8
		8)	il	0.048452437	35833
			1)	ile	0.16286157	9352
			2)	ill	0.09656409	5545
			3)	ils	0.13027881	7481
			4)	ily	0.3541264	20335
			5)	ild	0.15786357	9065
			6)	ilt	0.045504414	2613
			7)	ilm	0.010535848	605
			8)	ilk	0.040541247	2328
			9)	ilo	0.0015673162	90
			10)	Esc	1.5673162E-4	9
		9)	ir	0.026076669	19285
			1)	ire	0.398423	19959
			2)	ird	0.31839505	15950
			3)	irm	0.13039225	6532
			4)	iry	0.051462222	2578
			5)	irs	0.09288352	4653
			6)	irt	0.0013174968	66
			7)	irk	0.002255714	113
			8)	irl	0.003313704	166
			9)	ira	0.001377383	69
			10)	Esc	1.7965864E-4	9
		10)	id	0.12080049	89338
			1)	ide	0.9585649	55545
			2)	idy	0.014737859	854
			3)	ids	0.025368446	1470
			4)	ida	0.0012597936	73
			5)	Esc	6.902979E-5	4
		11)	ia	0.03336218	24673
			1)	iar	0.010061156	1836
			2)	ial	0.9173955	167410
			3)	ian	0.06465224	11798
			4)	iat	0.0033537187	612
			5)	ias	0.004131869	754
			6)	iad	3.726354E-4	68
			7)	Esc	3.2879594E-5	6
		12)	if	7.842607E-5	58
			1)	ify	0.43377012	13374
			2)	ife	0.41901273	12919
			3)	ift	0.10709652	3302
			4)	iff	0.03791515	1169
			5)	ifs	0.0020433315	63
			6)	Esc	1.6216918E-4	5
		13)	ig	0.006270029	4637
			1)	igh	0.40386027	14312
			2)	ign	0.56329364	19962
			3)	ige	0.018511202	656
			4)	igm	0.004204526	149
			5)	igs	0.009989277	354
			6)	Esc	1.4109148E-4	5
		14)	ip	0.036077343	26681
			1)	ips	0.86470675	5765
			2)	ipt	0.037348133	249
			3)	ipe	0.097495124	650
