Finnish	2	708017	262
	1)	n	0	0	0.0
		1)	n_	1	27963	0.035028405
		2)	ne	58	3836	0.0048052412
		3)	nt	63	3705	0.0046411413
		4)	nn	77	2996	0.0037529985
		5)	ni	84	2744	0.0034373258
		6)	na	111	1897	0.0023763145
		7)	no	120	1585	0.0019854815
		8)	nk	125	1515	0.0018977947
		9)	ns	133	1409	0.0017650117
		10)	nä	141	1312	0.0016435027
		11)	nu	191	719	9.0066955E-4
		12)	ny	212	524	6.5639894E-4
		13)	nv	223	462	5.7873345E-4
		14)	nö	230	399	4.998152E-4
		15)	np	253	229	2.8686138E-4
		16)	nm	256	221	2.7684E-4
		17)	ng	261	208	2.605553E-4
	2)	a	0	0	0.0
		1)	a_	2	21027	0.026339887
		2)	an	17	7923	0.009924903
		3)	aa	24	6871	0.008607094
		4)	ai	30	6286	0.007874282
		5)	al	33	5860	0.007340645
		6)	as	53	4096	0.0051309355
		7)	at	66	3583	0.004488316
		8)	ar	67	3540	0.004434451
		9)	am	87	2659	0.0033308489
		10)	av	104	2115	0.0026493964
		11)	ak	128	1465	0.0018351612
		12)	au	145	1282	0.0016059226
		13)	ah	163	1016	0.0012727125
		14)	aj	180	850	0.0010647693
		15)	ap	197	701	8.781215E-4
	3)	e	0	0	0.0
		1)	en	3	14935	0.018708622
		2)	et	25	6742	0.008445499
		3)	el	35	5685	0.0071214275
		4)	e_	39	5270	0.0066015697
		5)	es	43	4805	0.006019078
		6)	ei	54	4087	0.0051196613
		7)	ee	68	3490	0.004371817
		8)	er	96	2347	0.0029400159
		9)	em	107	1971	0.002469012
		10)	eu	123	1537	0.0019253534
		11)	eh	134	1406	0.0017612537
		12)	ek	149	1193	0.001494435
		13)	ev	172	932	0.0011674882
		14)	ed	203	612	7.666339E-4
		15)	ea	224	462	5.7873345E-4
		16)	eä	241	266	3.3321016E-4
		17)	ep	251	231	2.8936673E-4
		18)	eg	257	220	2.7558734E-4
	4)	i	0	0	0.0
		1)	is	4	14751	0.01847813
		2)	in	11	9964	0.012481601
		3)	it	16	8296	0.010392148
		4)	i_	29	6365	0.007973243
		5)	ii	51	4186	0.005243676
		6)	ik	57	3851	0.004824031
		7)	il	70	3417	0.0042803725
		8)	ie	74	3204	0.0040135537
		9)	ia	79	2843	0.00356134
		10)	io	80	2805	0.0035137387
		11)	im	81	2777	0.003478664
		12)	id	110	1935	0.002423916
		13)	iv	151	1184	0.001483161
		14)	ih	181	830	0.001039716
		15)	ir	182	818	0.0010246838
		16)	iä	208	561	7.027477E-4
		17)	ij	226	433	5.42406E-4
		18)	ip	254	228	2.856087E-4
	5)	t	0	0	0.0
		1)	ta	5	13852	0.017351981
		2)	tä	9	11077	0.013875823
		3)	tt	10	9989	0.012512919
		4)	te	15	8653	0.010839351
		5)	ti	37	5589	0.0070011714
		6)	tu	40	5145	0.006444986
		7)	t_	44	4777	0.005984003
		8)	to	65	3600	0.004509611
		9)	ty	85	2712	0.0033972403
		10)	tö	146	1267	0.0015871326
		11)	tk	171	932	0.0011674882
		12)	ts	213	522	6.538936E-4
