Finnish	2	1090449	291
	1)	n	0	0	0.0
		1)	n_	1	35761	0.029814549
		2)	nt	44	6726	0.0056075794
		3)	ne	50	6509	0.005426663
		4)	nn	64	5344	0.004455383
		5)	ni	75	4826	0.0040235175
		6)	na	103	3339	0.0027837805
		7)	no	111	2918	0.0024327857
		8)	ns	128	2443	0.0020367703
		9)	nk	162	1740	0.0014506673
		10)	nä	178	1467	0.0012230626
		11)	nu	185	1273	0.0010613216
		12)	nv	208	1021	8.512249E-4
		13)	ny	232	674	5.619252E-4
		14)	nö	234	615	5.1273586E-4
		15)	nj	242	507	4.2269443E-4
		16)	ng	247	469	3.910132E-4
		17)	np	264	382	3.1847984E-4
		18)	nm	268	373	3.1097638E-4
		19)	nh	285	255	2.1259779E-4
		20)	nl	288	228	1.9008743E-4
	2)	i	0	0	0.0
		1)	is	2	27614	0.023022257
		2)	in	10	14610	0.012180603
		3)	it	15	12938	0.010786628
		4)	i_	46	6714	0.005597575
		5)	ii	58	5855	0.0048814123
		6)	ie	60	5645	0.0047063315
		7)	io	65	5253	0.0043795146
		8)	il	68	5084	0.004238616
		9)	ia	71	5022	0.004186926
		10)	ik	72	5016	0.004181924
		11)	im	82	4495	0.0037475573
		12)	id	136	2340	0.0019508974
		13)	iv	155	1855	0.0015465447
		14)	ir	175	1500	0.0012505753
		15)	ih	183	1340	0.0011171806
		16)	iä	203	1076	8.970793E-4
		17)	ij	224	769	6.411283E-4
		18)	ip	246	476	3.968492E-4
	3)	a	0	0	0.0
		1)	a_	3	27468	0.022900535
		2)	an	14	13006	0.010843322
		3)	aa	17	12345	0.010292235
		4)	al	21	11014	0.009182557
		5)	ai	30	9302	0.007755234
		6)	as	43	6733	0.0056134155
		7)	ar	51	6432	0.005362467
		8)	at	56	6052	0.0050456543
		9)	am	77	4687	0.0039076307
		10)	av	93	3852	0.0032114773
		11)	ak	117	2728	0.0022743796
		12)	au	122	2522	0.002102634
		13)	aj	145	2125	0.0017716483
		14)	ah	156	1833	0.001528203
		15)	ap	194	1180	9.837858E-4
		16)	ad	266	379	3.159787E-4
		17)	ae	286	232	1.9342231E-4
	4)	t	0	0	0.0
		1)	ta	4	24088	0.02008257
		2)	te	8	15101	0.0125899585
		3)	tt	9	14786	0.012327338
