French	2	15985717	475
	1)	e	0	0	0.0
		1)	e_	1	771662	0.041425206
		2)	es	4	334727	0.017969182
		3)	en	8	282584	0.015169984
		4)	er	27	137258	0.007368434
		5)	et	40	104690	0.0056200833
		6)	em	50	86452	0.004641011
		7)	eu	52	85495	0.0045896363
		8)	el	83	55933	0.0030026566
		9)	ec	119	35133	0.0018860482
		10)	ex	164	20585	0.0011050665
		11)	ev	194	13141	7.0544955E-4
		12)	ep	204	11639	6.2481756E-4
		13)	ea	223	9071	4.8695935E-4
		14)	ef	225	8950	4.804637E-4
		15)	ei	235	8239	4.4229502E-4
		16)	ez	275	5195	2.7888367E-4
		17)	eg	349	1538	8.25646E-5
		18)	eq	366	1091	5.8568257E-5
		19)	ed	371	1050	5.636725E-5
		20)	ej	397	626	3.360562E-5
		21)	eç	401	601	3.226354E-5
		22)	eo	445	339	1.8198569E-5
		23)	eh	465	254	1.3635507E-5
	2)	s	0	0	0.0
		1)	s_	2	599819	0.03220014
		2)	se	46	91180	0.0048948247
		3)	st	55	81523	0.004376407
		4)	si	60	74304	0.0039888686
		5)	so	78	58706	0.0031515197
		6)	ss	94	50354	0.0027031587
		7)	su	100	44575	0.002392924
		8)	sa	108	39600	0.0021258506
		9)	sp	172	18816	0.0010101012
		10)	sé	184	16257	8.727261E-4
		11)	sc	250	6719	3.6069672E-4
		12)	sq	265	5814	3.1211352E-4
		13)	sm	299	3441	1.8472353E-4
		14)	sy	311	3129	1.679744E-4
		15)	sl	330	2159	1.159018E-4
		16)	sf	344	1668	8.9543406E-5
		17)	sû	367	1078	5.7870377E-5
		18)	sn	406	570	3.0599364E-5
		19)	sà	444	341	1.8305935E-5
		20)	sv	447	333	1.7876471E-5
		21)	sè	458	292	1.5675463E-5
		22)	sr	463	263	1.4118654E-5
	3)	_	0	0	0.0
		1)	_d	3	425926	0.022865025
		2)	_l	6	330052	0.017718213
		3)	_p	10	247750	0.013299987
		4)	_c	15	205558	0.01103499
		5)	_e	16	198862	0.010675528
		6)	_s	20	158355	0.008500987
		7)	_a	22	157070	0.008432004
		8)	_q	38	107607	0.005776677
		9)	_n	44	98673	0.005297072
		10)	_m	45	93313	0.005009331
		11)	_r	51	85923	0.0046126125
		12)	_t	64	69010	0.0037046704
		13)	_i	73	61262	0.0032887338
		14)	_à	81	57136	0.0030672373
		15)	_f	85	55415	0.0029748487
		16)	_u	89	53121	0.0028516997
		17)	_v	97	46139	0.0024768843
		18)	_j	106	40297	0.0021632677
		19)	_é	117	35499	0.0019056962
		20)	_o	122	34299	0.0018412765
		21)	_b	152	23996	0.0012881795
		22)	_g	163	20593	0.001105496
		23)	_h	222	9345	5.0166855E-4
		24)	_ê	245	7178	3.8533725E-4
		25)	_y	278	4967	2.6664394E-4
		26)	_z	375	996	5.3468364E-5
		27)	_â	454	302	1.6212294E-5
		28)	_x	470	241	1.2937626E-5
		29)	_k	473	225	1.2078696E-5
	4)	t	0	0	0.0
		1)	t_	5	330259	0.017729325
		2)	ti	17	177565	0.009532238
		3)	te	29	131054	0.0070353844
		4)	tr	48	90408	0.0048533813
		5)	ta	70	63376	0.0034022199
		6)	té	84	55575	0.002983438
		7)	ts	124	33315	0.0017884523
		8)	to	127	32667	0.0017536656
		9)	tt	148	26082	0.0014001625
		10)	tu	156	22739	0.0012206999
		11)	tè	297	3473	1.864414E-4
		12)	th	322	2382	1.2787314E-4
		13)	tê	374	1034	5.550832E-5
		14)	tô	381	919	4.9334765E-5
		15)	ty	384	887	4.7616904E-5
		16)	tc	390	784	4.2087548E-5
		17)	tà	416	497	2.6680498E-5
		18)	tâ	427	440	2.3620561E-5
	5)	o	0	0	0.0
		1)	on	7	289233	0.015526922
		2)	ou	21	158235	0.008494545
		3)	or	61	73717	0.003957357
		4)	oi	79	58638	0.0031478694
		5)	om	82	56237	0.0030189762
		6)	op	107	40130	0.0021543026
		7)	os	135	28937	0.0015534278
		8)	ol	142	27571	0.0014800966
		9)	oc	159	21403	0.0011489793
		10)	ot	174	18649	0.001001136
		11)	ob	198	12697	6.8161427E-4
		12)	od	233	8468	4.5458844E-4
		13)	og	238	7866	4.2227123E-4
		14)	oy	255	6278	3.3702247E-4
		15)	of	308	3182	1.708196E-4
		16)	oo	315	2870	1.5407048E-4
		17)	où	321	2408	1.292689E-4
		18)	ov	323	2329	1.2502793E-4
		19)	oj	335	1926	1.0339364E-4
		20)	oq	343	1706	9.158336E-5
		21)	o_	346	1612	8.653715E-5
		22)	oû	372	1048	5.6259883E-5
		23)	oh	373	1038	5.5723052E-5
		24)	ox	435	403	2.1634287E-5
		25)	oa	453	305	1.6373344E-5
		26)	oî	457	295	1.5836513E-5
		27)	oé	474	207	1.1112401E-5
	6)	d	0	0	0.0
		1)	de	9	266775	0.014321308
		2)	da	91	52774	0.0028330716
		3)	du	92	52341	0.002809827
		4)	di	95	47566	0.00255349
		5)	dé	99	44836	0.0024069352
		6)	do	137	28661	0.0015386111
		7)	dr	154	23500	0.0012615527
		8)	d_	160	21388	0.001148174
		9)	ds	293	3633	1.9503069E-4
		10)	dh	302	3330	1.787647E-4
		11)	dè	327	2169	1.16438634E-4
		12)	dg	333	1984	1.0650726E-4
		13)	dm	356	1230	6.603021E-5
		14)	dê	395	652	3.500138E-5
		15)	dû	421	474	2.5445786E-5
		16)	dy	437	368	1.9755378E-5
		17)	dd	449	324	1.7393322E-5
	7)	l	0	0	0.0
		1)	le	11	246988	0.01325908
		2)	la	23	149921	0.008048223
		3)	li	63	69970	0.0037562062
		4)	l_	71	63267	0.0033963684
		5)	ll	101	44217	0.0023737054
		6)	lu	111	37837	0.0020312073
		7)	lo	125	32886	0.0017654223
		8)	lé	179	16892	9.068148E-4
		9)	ls	234	8269	4.439055E-4
		10)	lè	242	7771	4.1717134E-4
		11)	lt	263	5945	3.19146E-4
		12)	lh	304	3289	1.765637E-4
		13)	là	326	2204	1.1831754E-4
		14)	lq	329	2160	1.1595549E-4
		15)	ly	396	637	3.419613E-5
		16)	lg	398	621	3.33372E-5
		17)	lc	405	577	3.0975145E-5
		18)	ld	475	201	1.0790302E-5
	8)	n	0	0	0.0
		1)	nt	12	237815	0.012766645
		2)	n_	14	207473	0.011137793
		3)	ns	26	144699	0.00776789
		4)	ne	39	106499	0.005717196
		5)	no	66	68484	0.003676433
		6)	nc	87	53880	0.002892445
