French	3	26599942	2848
	1)	e	0	0	0.0
		1)	es	0	0	0.0
			1)	es_	1	515034	0.013835047
			2)	est	44	93848	0.0025209822
			3)	ess	188	29421	7.903186E-4
			4)	esp	367	15697	4.2165903E-4
			5)	esu	714	7324	1.9674019E-4
			6)	eso	1289	2761	7.416708E-5
			7)	esq	1359	2483	6.669933E-5
			8)	esc	1807	1252	3.363172E-5
			9)	esb	2471	380	1.0207711E-5
			10)	esd	2746	239	6.4201126E-6
		2)	en	0	0	0.0
			1)	ent	6	274376	0.007370397
			2)	en_	37	111032	0.0029825857
			3)	ens	146	36963	9.929148E-4
			4)	enc	158	34879	9.3693356E-4
			5)	end	165	33837	9.089429E-4
			6)	enn	243	23485	6.308634E-4
			7)	eni	533	10360	2.7829444E-4
			8)	env	651	8159	2.191703E-4
			9)	enu	723	7276	1.954508E-4
			10)	enf	736	7124	1.9136771E-4
			11)	ena	750	6948	1.8663994E-4
			12)	eng	1088	3927	1.0548863E-4
			13)	eno	1377	2422	6.5060725E-5
			14)	ene	1695	1478	3.9702623E-5
			15)	enr	1780	1314	3.529719E-5
			16)	ené	1867	1113	2.9897848E-5
			17)	enq	2219	630	1.692331E-5
			18)	enê	2506	358	9.616738E-6
			19)	enj	2644	282	7.575196E-6
			20)	enl	2817	211	5.6679655E-6
		3)	et	0	0	0.0
			1)	et_	20	154778	0.004157708
			2)	ett	150	36279	9.745409E-4
			3)	ets	856	5687	1.5276646E-4
			4)	eti	1208	3158	8.483145E-5
			5)	eté	1530	1937	5.203246E-5
			6)	etr	1623	1683	4.5209414E-5
			7)	eta	1688	1486	3.9917522E-5
			8)	ete	1709	1449	3.8923612E-5
			9)	eto	2079	801	2.151678E-5
			10)	etc	2261	572	1.536529E-5
			11)	eth	2413	424	1.1389656E-5
		4)	er	0	0	0.0
			1)	er_	32	121506	0.0032639424
			2)	ern	219	26058	6.9998036E-4
			3)	ers	236	24467	6.5724226E-4
			4)	ert	302	18945	5.089081E-4
			5)	era	304	18899	5.0767243E-4
			6)	erm	405	13710	3.6828345E-4
			7)	erc	433	12976	3.4856645E-4
			8)	erv	499	11168	2.9999926E-4
			9)	err	601	8881	2.3856494E-4
			10)	ero	816	6066	1.629473E-4
			11)	erg	1128	3692	9.9175966E-5
			12)	erd	1343	2539	6.8203626E-5
			13)	ere	1772	1329	3.5700126E-5
			14)	eri	1804	1263	3.392721E-5
			15)	erp	1888	1082	2.9065113E-5
			16)	erb	2196	652	1.7514283E-5
			17)	erf	2231	612	1.6439786E-5
			18)	erç	2426	417	1.120162E-5
			19)	erl	2541	338	9.07949E-6
		5)	em	0	0	0.0
			1)	eme	38	110996	0.0029816185
			2)	emb	282	20152	5.41331E-4
			3)	emp	360	15832	4.2528546E-4
			4)	ema	451	12481	3.3526958E-4
			5)	emi	742	7083	1.9026635E-4
			6)	emm	923	5202	1.3973819E-4
			7)	emê	2356	474	1.2732776E-5
			8)	emn	2634	286	7.682645E-6
			9)	emé	2732	246	6.6081498E-6
		6)	eu	0	0	0.0
			1)	eur	40	105477	0.002833365
			2)	eux	246	23325	6.265654E-4
			3)	eut	527	10455	2.8084635E-4
			4)	eu_	577	9299	2.4979343E-4
			5)	eus	734	7143	1.918781E-4
			6)	eul	757	6864	1.8438349E-4
			7)	euv	1095	3887	1.0441414E-4
			8)	eup	1658	1573	4.225455E-5
			9)	eun	1757	1356	3.642541E-5
			10)	eui	2449	400	1.0744959E-5
			11)	eud	2627	289	7.763233E-6
			12)	euf	2756	235	6.312663E-6
		7)	el	0	0	0.0
			1)	ell	94	52551	0.0014116458
			2)	ela	384	14837	3.9855737E-4
			3)	el_	396	14178	3.8085505E-4
			4)	elo	551	10011	2.6891945E-4
			5)	els	726	7259	1.9499414E-4
			6)	elq	1034	4261	1.1446067E-4
			7)	elu	1386	2375	6.3798194E-5
			8)	ele	1438	2179	5.853316E-5
			9)	elà	2070	812	2.1812266E-5
			10)	elé	2112	760	2.0415422E-5
			11)	eli	2127	743	1.9958761E-5
			12)	elg	2343	491	1.3189437E-5
			13)	elè	2365	470	1.2625326E-5
			14)	elc	2693	259	6.9573607E-6
		8)	ec	0	0	0.0
			1)	ect	148	36494	9.803163E-4
			2)	ec_	340	16640	4.4699028E-4
			3)	eco	788	6341	1.7033446E-4
			4)	ech	879	5502	1.477969E-4
			5)	eci	1514	1968	5.2865198E-5
			6)	ece	2000	932	2.5035753E-5
			7)	ecr	2145	715	1.9206615E-5
			8)	ecu	2377	457	1.2276116E-5
			9)	eca	2464	386	1.0368885E-5
			10)	ecy	2840	203	5.4530665E-6
		9)	ea	0	0	0.0
			1)	eau	361	15815	4.2482882E-4
			2)	ean	1884	1085	2.91457E-5
		10)	ef	0	0	0.0
			1)	eff	472	11917	3.2011917E-4
			2)	efo	1290	2759	7.4113355E-5
			3)	efu	1918	1045	2.8071205E-5
			4)	ef_	2208	640	1.7191935E-5
			5)	efs	2274	553	1.4854905E-5
			6)	efl	2346	488	1.310885E-5
		11)	ep	0	0	0.0
			1)	epr	547	10077	2.7069237E-4
			2)	ept	706	7399	1.9875487E-4
			3)	epu	1302	2721	7.309258E-5
			4)	epe	1452	2143	5.7566118E-5
			5)	epo	1865	1114	2.992471E-5
			6)	epa	2669	271	7.2797097E-6
		12)	ex	0	0	0.0
			1)	exp	564	9645	2.5908783E-4
			2)	exi	652	8152	2.1898226E-4
			3)	ext	704	7412	1.9910409E-4
			4)	exe	751	6946	1.8658621E-4
			5)	exc	1068	4075	1.09464265E-4
			6)	exa	1225	3061	8.222579E-5
			7)	exé	1943	1012	2.7184746E-5
			8)	exu	2255	577	1.5499603E-5
			9)	exh	2714	250	6.7155993E-6
		13)	ei	0	0	0.0
			1)	ein	598	8907	2.3926336E-4
			2)	eil	779	6525	1.7527713E-4
			3)	eig	2051	858	2.3047936E-5
		14)	ez	0	0	0.0
			1)	ez_	629	8354	2.2440846E-4
			2)	ezm	1826	1208	3.2449774E-5
			3)	ezv	2083	800	2.1489917E-5
		15)	ev	0	0	0.0
			1)	evo	689	7611	2.0444971E-4
			2)	evr	769	6663	1.7898415E-4
			3)	eve	1051	4151	1.1150581E-4
			4)	eva	1227	3053	8.20109E-5
			5)	evé	1390	2362	6.3448984E-5
			6)	evi	1537	1930	5.1844425E-5
			7)	evê	2318	515	1.3834135E-5
		16)	eq	0	0	0.0
			1)	equ	1445	2160	5.802278E-5
		17)	eg	0	0	0.0
			1)	egr	1755	1358	3.6479134E-5
			2)	ega	2036	868	2.3316561E-5
			3)	egi	2203	644	1.7299384E-5
		18)	ej	0	0	0.0
			1)	eje	1868	1112	2.9870986E-5
			2)	ejo	2706	254	6.823049E-6
		19)	eç	0	0	0.0
			1)	eçu	2185	666	1.7890356E-5
			2)	eço	2304	526	1.41296205E-5
		20)	ed	0	0	0.0
			1)	edi	2195	653	1.7541146E-5
			2)	ed_	2422	419	1.1255344E-5
		21)	eo	0	0	0.0
			1)	eon	2296	534	1.43445195E-5
		22)	eh	0	0	0.0
			1)	eho	2552	329	8.837728E-6
	2)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_de	2	466791	0.012539125
			2)	_da	49	83439	0.0022413714
			3)	_du	55	79447	0.0021341369
			4)	_dé	60	73318	0.0019694972
			5)	_di	85	55196	0.0014826969
			6)	_do	107	48466	0.0013019129
			7)	_d_	245	23429	6.293591E-4
			8)	_dr	467	12025	3.2302033E-4
			9)	_dè	1370	2440	6.554425E-5
			10)	_dê	1777	1321	3.5485227E-5
			11)	_dû	2039	865	2.3235973E-5
			12)	_dh	2058	837	2.2483826E-5
			13)	_dy	2158	698	1.8749954E-5
		2)	_l	0	0	0.0
			1)	_le	4	283910	0.0076265032
			2)	_la	8	235020	0.0063132006
			3)	_l_	144	37254	0.0010007317
			4)	_li	177	31371	8.4270025E-4
			5)	_lo	198	28306	7.60367E-4
			6)	_lu	262	21644	5.814097E-4
			7)	_lé	369	15649	4.2036964E-4
			8)	_lh	965	4858	1.3049753E-4
			9)	_là	1381	2415	6.4872685E-5
		3)	_q	0	0	0.0
			1)	_qu	10	211835	0.005690396
		4)	_c	0	0	0.0
			1)	_co	17	179743	0.004828328
			2)	_ce	24	135068	0.0036282502
			3)	_ca	210	27425	7.3670124E-4
