French	3	100133595	3855
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	ent	1	1323691	0.0103344135
			2)	ens	84	190545	0.0014876364
			3)	enc	109	171474	0.0013387438
			4)	end	116	164695	0.0012858184
			5)	enn	157	130639	0.001019934
			6)	en_	180	115418	9.010995E-4
			7)	eni	453	54732	4.2730753E-4
			8)	env	613	39467	3.0812953E-4
			9)	ena	629	38748	3.0251613E-4
			10)	enf	656	37227	2.9064124E-4
			11)	enu	657	37214	2.9053976E-4
			12)	eng	1042	20056	1.5658261E-4
			13)	eno	1324	12290	9.5951356E-5
			14)	enr	1600	8464	6.6080735E-5
			15)	ene	1707	7097	5.54082E-5
			16)	ené	1890	5479	4.2776035E-5
			17)	enq	2190	3341	2.608409E-5
			18)	enê	2550	1741	1.3592457E-5
			19)	enj	2696	1342	1.0477357E-5
			20)	enl	2877	1004	7.838499E-6
			21)	enç	3214	572	4.4657586E-6
			22)	en 	3234	557	4.34865E-6
		2)	es	0	0	0.0
			1)	es_	2	1276087	0.009962756
			2)	est	42	256895	0.0020056488
			3)	ess	129	149651	0.0011683658
			4)	esp	303	79504	6.207092E-4
			5)	esu	643	37865	2.956223E-4
			6)	eso	1166	16318	1.2739903E-4
			7)	esc	1755	6686	5.219941E-5
			8)	esq	2188	3350	2.6154356E-5
			9)	es 	2263	2954	2.3062677E-5
			10)	esd	2478	2009	1.5684805E-5
			11)	ese	3067	768	5.995984E-6
			12)	esm	3167	630	4.9185805E-6
			13)	esn	3430	419	3.2712462E-6
			14)	esa	3492	381	2.97457E-6
			15)	esv	3581	328	2.5607847E-6
			16)	esf	3588	324	2.5295556E-6
		3)	er	0	0	0.0
			1)	er_	14	609331	0.004757212
			2)	ern	156	131918	0.0010299195
			3)	ers	205	105803	8.2603266E-4
			4)	era	224	99125	7.738957E-4
			5)	erm	327	74164	5.790184E-4
			6)	erc	336	71442	5.57767E-4
			7)	ert	432	57031	4.4525645E-4
			8)	erv	442	55773	4.354349E-4
			9)	err	519	47658	3.7207888E-4
			10)	ero	742	32419	2.531039E-4
			11)	erg	914	24977	1.950022E-4
			12)	erd	1368	11567	9.03067E-5
			13)	ere	1789	6391	4.9896265E-5
			14)	eri	1799	6286	4.90765E-5
			15)	erp	1958	4896	3.8224396E-5
			16)	erb	2158	3520	2.7481592E-5
			17)	erf	2282	2810	2.193843E-5
			18)	erl	2419	2222	1.7347755E-5
			19)	erç	2475	2023	1.5794109E-5
			20)	er 	2642	1463	1.1422037E-5
			21)	eré	3685	270	2.107963E-6
		4)	em	0	0	0.0
			1)	eme	16	552401	0.004312744
			2)	emb	198	107843	8.4195944E-4
			3)	emp	299	80003	6.2460505E-4
			4)	ema	425	57991	4.527514E-4
			5)	emm	820	28553	2.22921E-4
			6)	emi	917	24852	1.9402629E-4
			7)	emê	2441	2168	1.6926162E-5
			8)	emn	2744	1228	9.587328E-6
			9)	emé	2790	1141	8.908096E-6
			10)	emo	3084	743	5.800802E-6
			11)	emè	3784	225	1.7566358E-6
		5)	eu	0	0	0.0
			1)	eur	20	443323	0.0034611425
			2)	eux	349	70194	5.4802356E-4
			3)	eut	545	45913	3.584552E-4
			4)	eus	680	35601	2.7794664E-4
			5)	eul	718	33550	2.6193392E-4
			6)	eu_	747	32286	2.5206554E-4
			7)	euv	1047	19867	1.5510705E-4
			8)	eup	1633	8026	6.266115E-5
			9)	eun	1775	6552	5.1153234E-5
			10)	eui	2237	3113	2.4304032E-5
			11)	eud	2679	1381	1.07818405E-5
			12)	eug	3204	583	4.5516385E-6
			13)	eue	3217	571	4.4579515E-6
			14)	euf	3737	245	1.9127813E-6
		6)	ec	0	0	0.0
			1)	ect	95	186882	0.0014590384
			2)	eco	756	31811	2.4835707E-4
			3)	ech	861	26941	2.1033567E-4
			4)	eci	1976	4686	3.658487E-5
			5)	ece	2055	4176	3.2603162E-5
			6)	ec_	2116	3745	2.9238228E-5
			7)	ecr	2136	3619	2.8254512E-5
			8)	eca	2295	2750	2.1469994E-5
			9)	ecu	2507	1894	1.47869705E-5
			10)	ecq	2823	1090	8.509925E-6
			11)	ecy	3002	839	6.5503E-6
			12)	ecs	3136	677	5.285522E-6
		7)	el	0	0	0.0
			1)	ell	114	164985	0.0012880825
			2)	elo	465	53605	4.1850872E-4
			3)	el_	520	47486	3.7073603E-4
			4)	ela	741	32432	2.532054E-4
			5)	els	979	22274	1.7389914E-4
			6)	ele	1435	10708	8.360025E-5
			7)	eli	2016	4458	3.4804812E-5
			8)	elé	2095	3869	3.0206329E-5
			9)	elà	2182	3393	2.6490068E-5
			10)	elu	2253	3023	2.3601378E-5
			11)	elè	2366	2456	1.9174657E-5
			12)	elq	2687	1364	1.0649117E-5
			13)	elg	2796	1135	8.861252E-6
			14)	elâ	3347	468	3.6538027E-6
		8)	ea	0	0	0.0
			1)	eau	291	81384	6.353869E-4
			2)	ean	1813	6138	4.7921025E-5
			3)	ead	2952	894	6.9796997E-6
			4)	eab	2981	860	6.714253E-6
			5)	eai	3220	567	4.426722E-6
		9)	et	0	0	0.0
			1)	et_	296	80808	6.308899E-4
			2)	ett	351	69830	5.451817E-4
			3)	ets	900	25328	1.9774254E-4
			4)	eti	1197	15378	1.20060206E-4
			5)	eté	1337	12058	9.4140065E-5
			6)	ete	1722	6936	5.4151227E-5
			7)	etr	1793	6350	4.9576167E-5
			8)	eta	1850	5842	4.5610075E-5
			9)	eto	2044	4245	3.3141863E-5
			10)	etc	2429	2198	1.716038E-5
			11)	eth	2565	1700	1.327236E-5
			12)	etu	2995	847	6.612758E-6
			13)	et 	3366	457	3.5679225E-6
		10)	ef	0	0	0.0
			1)	eff	420	59127	4.6162048E-4
			2)	efo	1154	16642	1.299286E-4
			3)	efu	1946	4993	3.89817E-5
			4)	efs	2259	2971	2.31954E-5
			5)	ef_	2283	2804	2.1891587E-5
			6)	efl	2304	2722	2.125139E-5
			7)	efe	3042	801	6.2536237E-6
			8)	efa	3074	759	5.925718E-6
		11)	ep	0	0	0.0
			1)	epr	508	48885	3.816584E-4
			2)	ept	722	33389	2.6067696E-4
			3)	epu	1299	13115	1.02392354E-4
			4)	epe	1404	11123	8.684027E-5
			5)	epo	1884	5536	4.3221047E-5
			6)	epa	2760	1200	9.368725E-6
			7)	epl	3550	348	2.71693E-6
		12)	ex	0	0	0.0
			1)	exp	533	46510	3.6311615E-4
			2)	exi	632	38429	3.000256E-4
			3)	ext	652	37283	2.9107847E-4
			4)	exe	672	36320	2.8356008E-4
			5)	exc	1049	19773	1.5437316E-4
			6)	exa	1221	14849	1.1593016E-4
			7)	exé	2034	4335	3.3844517E-5
			8)	exu	2364	2459	1.9198078E-5
			9)	exh	2726	1276	9.9620775E-6
			10)	exo	3216	571	4.4579515E-6
			11)	ex_	3773	231	1.8034794E-6
			12)	exy	3792	221	1.7254067E-6
		13)	ev	0	0	0.0
			1)	evo	556	44246	3.454405E-4
			2)	evr	670	36438	2.8448133E-4
			3)	eve	1032	20631	1.610718E-4
			4)	eva	1271	13764	1.0745927E-4
			5)	evé	1370	11546	9.014274E-5
			6)	evi	1541	9224	7.201426E-5
			7)	evê	2359	2482	1.9377645E-5
			8)	evu	3117	696	5.43386E-6
		14)	ei	0	0	0.0
			1)	ein	571	42194	3.2941997E-4
			2)	eil	730	33175	2.590062E-4
			3)	eig	2012	4479	3.4968765E-5
		15)	ez	0	0	0.0
			1)	ez_	787	29887	2.3333589E-4
			2)	ezm	1744	6795	5.3050404E-5
			3)	ezv	2103	3829	2.9894038E-5
			4)	ezl	3299	505	3.9426714E-6
		16)	e 	0	0	0.0
			1)	e _	1590	8586	6.703322E-5
			2)	e p	3729	249	1.9440104E-6
		17)	eg	0	0	0.0
			1)	egr	1729	6886	5.3760865E-5
			2)	ega	2025	4419	3.450033E-5
			3)	egi	2207	3241	2.5303363E-5
		18)	ej	0	0	0.0
			1)	eje	1772	6567	5.1270345E-5
			2)	ejo	2409	2259	1.7636625E-5
		19)	eq	0	0	0.0
			1)	equ	2076	4012	3.132277E-5
		20)	eç	0	0	0.0
			1)	eçu	2179	3402	2.6560334E-5
			2)	eço	2334	2610	2.0376976E-5
		21)	eo	0	0	0.0
			1)	eon	2303	2722	2.125139E-5
			2)	eoi	2961	881	6.878205E-6
		22)	ed	0	0	0.0
			1)	edi	2332	2628	2.0517507E-5
			2)	ed_	2399	2295	1.7917686E-5
			3)	edo	2917	943	7.362256E-6
			4)	ede	3080	750	5.855453E-6
			5)	edé	3252	543	4.2393476E-6
			6)	edr	3548	350	2.7325445E-6
			7)	eds	3617	310	2.4202538E-6
		23)	eh	0	0	0.0
			1)	eho	2593	1612	1.258532E-5
			2)	eh_	3414	425	3.31809E-6
		24)	eé	0	0	0.0
			1)	eéc	2766	1191	9.298459E-6
		25)	ek	0	0	0.0
			1)	eke	3381	446	3.4820425E-6
		26)	eb	0	0	0.0
			1)	ebe	3399	433	3.3805482E-6
			2)	eba	3431	419	3.2712462E-6
			3)	ebo	3626	306	2.3890248E-6
			4)	eb_	3639	298	2.3265666E-6
		27)	ee	0	0	0.0
			1)	eek	3402	431	3.3649335E-6
	2)	n	0	0	0.0
		1)	nt	0	0	0.0
			1)	nt_	3	1230328	0.009605504
			2)	nte	55	239661	0.0018710982
			3)	ntr	110	167512	0.0013078115
			4)	nts	119	160871	0.0012559633
			5)	nti	128	151996	0.0011866739
			6)	nta	170	121562	9.490674E-4
			7)	nté	271	85196	6.651482E-4
			8)	ntu	2011	4482	3.4992187E-5
			9)	nto	2086	3966	3.0963634E-5
			10)	nt 	2342	2593	2.0244252E-5
			11)	nth	2548	1752	1.3678337E-5
			12)	ntô	2597	1608	1.2554091E-5
			13)	ntè	2818	1097	8.564576E-6
			14)	ntl	3293	514	4.012937E-6
			15)	ntp	3311	491	3.8333696E-6
			16)	ntg	3838	205	1.6004905E-6
		2)	ns	0	0	0.0
			1)	ns_	12	642909	0.0050193644
			2)	nsi	263	86851	6.7806925E-4
			3)	nst	266	86124	6.7239336E-4
			4)	nse	294	80964	6.3210784E-4
			5)	nsa	769	31289	2.442817E-4
			6)	nsp	915	24958	1.9485386E-4
			7)	nsé	981	22130	1.7277489E-4
			8)	nso	1020	20883	1.6303922E-4
			9)	nsu	1110	17739	1.3849317E-4
			10)	nsc	1449	10544	8.231986E-5
			11)	nsf	1603	8421	6.574502E-5
			12)	nsn	1855	5810	4.536024E-5
			13)	nsm	2205	3257	2.542828E-5
			14)	ns 	2898	967	7.5496305E-6
			15)	nsl	3073	759	5.925718E-6
			16)	nsè	3797	219	1.7097922E-6
		3)	ne	0	0	0.0
			1)	ne_	34	306830	0.0023955049
			2)	nes	193	109911	8.581049E-4
			3)	nem	343	70906	5.5358233E-4
			4)	ner	362	68130	5.3190935E-4
			5)	nel	720	33481	2.613952E-4
			6)	nen	813	28657	2.2373295E-4
			7)	neu	1691	7190	5.6134275E-5
			8)	net	1765	6621	5.169194E-5
			9)	nex	1969	4758	3.7146994E-5
			10)	nez	2426	2202	1.7191609E-5
			11)	nef	2927	930	7.2607613E-6
			12)	ne 	3125	692	5.402631E-6
			13)	nea	3383	445	3.4742354E-6
			14)	nec	3592	322	2.5139411E-6
		4)	nc	0	0	0.0
			1)	nce	37	288757	0.002254404
			2)	nci	388	63314	4.943095E-4
			3)	nco	496	50597	3.9502446E-4
			4)	ncl	1030	20664	1.6132943E-4
			5)	nct	1035	20342	1.588155E-4
			6)	ncé	1244	14456	1.12861904E-4
			7)	ncu	1266	13907	1.0857571E-4
			8)	ncr	1429	10747	8.3904735E-5
			9)	nch	1551	9147	7.14131E-5
			10)	nca	1987	4623	3.609301E-5
			11)	ncè	2460	2081	1.624693E-5
			12)	nc_	2479	2007	1.5669191E-5
			13)	ncs	3452	400	3.122908E-6
		5)	nn	0	0	0.0
