French	3	196667698	4358
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	ent	1	2548083	0.010109108
			2)	ens	86	367315	0.0014572629
			3)	enc	111	328488	0.0013032231
			4)	end	115	315489	0.0012516517
			5)	en_	120	306197	0.0012147871
			6)	enn	155	258243	0.0010245374
			7)	eni	463	105636	4.1909376E-4
			8)	enf	634	74913	2.9720523E-4
			9)	env	635	74846	2.9693943E-4
			10)	ena	637	74831	2.968799E-4
			11)	enu	661	71559	2.838988E-4
			12)	eng	1068	37638	1.4932269E-4
			13)	eno	1344	23517	9.32999E-5
			14)	enr	1610	16420	6.51437E-5
			15)	ene	1696	14055	5.5760942E-5
			16)	ené	1931	10069	3.9947132E-5
			17)	enq	2159	6873	2.7267517E-5
			18)	enê	2559	3502	1.3893619E-5
			19)	enj	2713	2624	1.0410296E-5
			20)	enl	2982	1714	6.800018E-6
			21)	enç	3245	1127	4.4711906E-6
			22)	en 	3678	557	2.2098075E-6
			23)	enz	4029	328	1.301287E-6
		2)	es	0	0	0.0
			1)	es_	2	2461998	0.00976758
			2)	est	42	497622	0.0019742348
			3)	ess	129	290749	0.0011534997
			4)	esp	321	152182	6.037575E-4
			5)	esu	626	75647	3.0011724E-4
			6)	eso	1147	32779	1.3004539E-4
			7)	esc	1807	12159	4.8238868E-5
			8)	esq	2227	6244	2.4772062E-5
			9)	esd	2553	3545	1.4064215E-5
			10)	es 	2645	2954	1.1719518E-5
			11)	esb	2942	1840	7.299903E-6
			12)	ese	3063	1503	5.9629097E-6
			13)	esm	3175	1273	5.050422E-6
			14)	esa	3441	833	3.304793E-6
			15)	esn	3483	776	3.0786548E-6
			16)	esv	3593	650	2.5787701E-6
			17)	esf	3712	534	2.1185588E-6
			18)	esl	3917	386	1.5313926E-6
			19)	esi	4101	296	1.1743322E-6
		3)	er	0	0	0.0
			1)	er_	14	1187377	0.0047107264
			2)	ern	160	254066	0.0010079659
			3)	ers	217	203018	8.054411E-4
			4)	era	241	187982	7.457882E-4
			5)	erm	338	143960	5.7113805E-4
			6)	erc	370	133108	5.280845E-4
			7)	ert	444	109432	4.341538E-4
			8)	erv	454	107102	4.249099E-4
			9)	err	578	82278	3.264247E-4
			10)	ero	772	60117	2.385045E-4
			11)	erg	834	54229	2.151448E-4
			12)	erd	1322	24840	9.854869E-5
			13)	eri	1776	12582	4.9917053E-5
			14)	ere	1818	11829	4.6929646E-5
			15)	erp	1977	9319	3.697163E-5
			16)	erb	1999	8970	3.5587025E-5
			17)	erf	2298	5459	2.1657701E-5
			18)	erl	2467	4022	1.5956635E-5
			19)	erç	2517	3751	1.4881487E-5
			20)	er 	3080	1463	5.8042165E-6
			21)	eré	3773	487	1.932094E-6
		4)	em	0	0	0.0
			1)	eme	16	1057459	0.0041952976
			2)	emb	202	209969	8.330181E-4
			3)	emp	296	160695	6.3753146E-4
			4)	ema	430	115040	4.5640263E-4
			5)	emm	855	52831	2.0959847E-4
			6)	emi	939	46307	1.8371554E-4
			7)	emê	2445	4182	1.659141E-5
			8)	emn	2764	2396	9.505743E-6
			9)	emé	2783	2320	9.2042255E-6
			10)	em_	2951	1811	7.18485E-6
			11)	emo	3117	1394	5.53047E-6
			12)	emè	3702	540	2.1423627E-6
		5)	eu	0	0	0.0
			1)	eur	19	915897	0.0036336735
			2)	eux	372	132071	5.2397035E-4
			3)	eut	555	88200	3.4991925E-4
			4)	eus	709	66671	2.6450644E-4
			5)	eul	729	64392	2.5546487E-4
			6)	eu_	759	61621	2.4447136E-4
			7)	euv	982	42872	1.7008773E-4
			8)	eup	1675	14552	5.7732712E-5
			9)	eun	1704	13828	5.4860357E-5
			10)	eui	2285	5587	2.2165521E-5
			11)	eud	2745	2537	1.0065138E-5
			12)	eue	3211	1184	4.6973287E-6
			13)	eug	3304	1023	4.0585874E-6
			14)	euf	3471	797	3.1619688E-6
			15)	eub	4038	325	1.2893851E-6
			16)	eum	4087	303	1.2021036E-6
		6)	ec	0	0	0.0
			1)	ect	96	361595	0.0014345698
			2)	eco	766	60714	2.4087299E-4
			3)	ech	866	52134	2.0683323E-4
			4)	eci	1986	9133	3.62337E-5
			5)	ece	2021	8635	3.425797E-5
			6)	ec_	2156	6883	2.7307191E-5
			7)	ecr	2219	6302	2.5002168E-5
			8)	eca	2401	4515	1.7912533E-5
			9)	ecu	2501	3863	1.5325828E-5
			10)	ecq	3024	1604	6.363611E-6
			11)	ecy	3042	1560	6.1890482E-6
			12)	ecs	3244	1128	4.4751578E-6
			13)	ecl	3972	352	1.3965032E-6
		7)	el	0	0	0.0
			1)	ell	131	288224	0.0011434822
			2)	elo	487	101058	4.0093128E-4
			3)	el_	520	93429	3.7066446E-4
			4)	ela	736	63693	2.5269168E-4
			5)	els	973	43454	1.7239673E-4
			6)	ele	1452	20454	8.114794E-5
			7)	eli	2025	8569	3.3996123E-5
			8)	elé	2120	7394	2.93345E-5
			9)	elà	2195	6507	2.5815472E-5
			10)	elu	2286	5584	2.2153617E-5
			11)	elè	2368	4873	1.9332841E-5
			12)	elq	2535	3653	1.4492688E-5
			13)	elg	2849	2099	8.3274435E-6
			14)	elâ	3429	851	3.376205E-6
		8)	et	0	0	0.0
			1)	et_	290	162691	6.4545026E-4
			2)	ett	356	137605	5.4592564E-4
			3)	ets	888	50476	2.0025538E-4
			4)	eti	1179	30942	1.227574E-4
			5)	eté	1365	22607	8.968962E-5
			6)	ete	1705	13822	5.4836553E-5
			7)	eta	1789	12369	4.907201E-5
			8)	etr	1846	11472	4.551331E-5
			9)	eto	2066	8173	3.2425058E-5
			10)	etc	2413	4365	1.7317432E-5
			11)	eth	2586	3349	1.3286617E-5
			12)	etu	2924	1894	7.5141393E-6
			13)	et 	3801	457	1.8130737E-6
		9)	ea	0	0	0.0
			1)	eau	315	155109	6.1536994E-4
			2)	ean	1843	11488	4.5576784E-5
			3)	ead	2969	1746	6.926973E-6
			4)	eab	2975	1734	6.879365E-6
			5)	eai	3277	1057	4.193477E-6
			6)	ea_	4022	330	1.3092217E-6
			7)	eam	4051	319	1.265581E-6
			8)	ear	4218	248	9.839E-7
			9)	eas	4285	224	8.886838E-7
			10)	eat	4326	209	8.2917376E-7
		10)	ef	0	0	0.0
			1)	eff	416	118611	4.7057E-4
			2)	efo	1186	30467	1.208729E-4
			3)	efu	1961	9512	3.7737325E-5
			4)	ef_	2306	5387	2.1372052E-5
			5)	efs	2329	5182	2.0558748E-5
			6)	efl	2365	4882	1.9368546E-5
			7)	efa	2953	1805	7.161046E-6
			8)	efe	3033	1583	6.280297E-6
			9)	efi	4098	298	1.1822668E-6
			10)	efr	4120	288	1.1425935E-6
		11)	ep	0	0	0.0
			1)	epr	500	98089	3.8915226E-4
			2)	ept	754	61825	2.452807E-4
			3)	epu	1312	25081	9.950482E-5
			4)	epe	1369	22449	8.9062785E-5
			5)	epo	1877	10944	4.3418553E-5
			6)	epa	2808	2222	8.815427E-6
			7)	epl	3514	737	2.9239284E-6
			8)	epi	3995	340	1.3488951E-6
			9)	epè	4270	229	9.085205E-7
		12)	ex	0	0	0.0
			1)	exp	548	89167	3.5375566E-4
			2)	ext	652	72749	2.8861992E-4
			3)	exi	653	72717	2.8849294E-4
			4)	exe	691	68715	2.7261567E-4
			5)	exc	1057	38060	1.509969E-4
			6)	exa	1214	29352	1.1644932E-4
			7)	exé	2002	8906	3.5333116E-5
			8)	exu	2344	5068	2.0106472E-5
			9)	exh	2728	2578	1.0227799E-5
			10)	exo	3137	1346	5.3400377E-6
			11)	exy	3508	742	2.9437651E-6
			12)	ex_	3677	557	2.2098075E-6
		13)	ev	0	0	0.0
			1)	evo	572	84090	3.3361348E-4
			2)	evr	672	70540	2.7985606E-4
			3)	eve	1043	38899	1.543255E-4
			4)	eva	1273	26835	1.0646353E-4
			5)	evé	1391	22065	8.753932E-5
			6)	evi	1563	17729	7.0336944E-5
			7)	evê	2393	4567	1.8118835E-5
			8)	evu	3141	1342	5.3241683E-6
		14)	ei	0	0	0.0
			1)	ein	602	78465	3.1129722E-4
			2)	eil	728	64650	2.5648845E-4
			3)	eig	2008	8811	3.495622E-5
			4)	eim	3835	433	1.7178576E-6
			5)	eid	4265	232	9.2042256E-7
		15)	ez	0	0	0.0
			1)	ez_	793	57326	2.2743165E-4
			2)	ezm	1794	12330	4.8917285E-5
			3)	ezv	2111	7448	2.9548737E-5
			4)	ezl	3287	1037	4.11413E-6
			5)	ezn	4056	314	1.2457443E-6
		16)	eg	0	0	0.0
			1)	egr	1746	13033	5.1706324E-5
			2)	ega	2035	8507	3.3750148E-5
			3)	egi	2202	6421	2.547428E-5
			4)	egm	3934	378	1.499654E-6
			5)	ego	4197	256	1.0156386E-6
		17)	ej	0	0	0.0
			1)	eje	1856	11259	4.4668264E-5
			2)	ejo	2473	3979	1.578604E-5
		18)	e 	0	0	0.0
			1)	e _	2024	8589	3.407547E-5
			2)	e p	4214	249	9.878673E-7
		19)	eq	0	0	0.0
			1)	equ	2145	7068	2.804115E-5
		20)	eç	0	0	0.0
			1)	eçu	2209	6374	2.5287816E-5
			2)	eço	2303	5417	2.1491072E-5
			3)	eçà	3924	383	1.5194906E-6
		21)	ed	0	0	0.0
			1)	edi	2322	5257	2.0856298E-5
			2)	ed_	2432	4285	1.7000046E-5
			3)	edo	2931	1879	7.454629E-6
			4)	ede	3048	1545	6.129538E-6
			5)	edé	3250	1113	4.4156477E-6
			6)	edr	3431	849	3.3682704E-6
			7)	eds	3643	588	2.332795E-6
		22)	eo	0	0	0.0
			1)	eon	2358	4917	1.9507403E-5
			2)	eoi	3029	1596	6.331872E-6
			3)	eo_	3978	349	1.3846011E-6
		23)	eh	0	0	0.0
			1)	eho	2594	3289	1.3048576E-5
			2)	eh_	3274	1065	4.2252154E-6
			3)	eha	4116	291	1.1544955E-6
		24)	eé	0	0	0.0
			1)	eéc	2735	2549	1.0112746E-5
		25)	ek	0	0	0.0
			1)	eke	3487	772	3.0627853E-6
		26)	ee	0	0	0.0
			1)	eek	3504	751	2.9794712E-6
			2)	ee_	4192	258	1.0235733E-6
			3)	eeu	4306	217	8.6091245E-7
		27)	eb	0	0	0.0
			1)	eba	3525	725	2.8763204E-6
			2)	ebe	3583	660	2.6184434E-6
			3)	ebo	3628	609	2.416109E-6
			4)	eb_	3709	537	2.1304609E-6
			5)	ebd	4130	283	1.1227568E-6
		28)	eû	0	0	0.0
			1)	eût	4097	298	1.1822668E-6
		29)	ew	0	0	0.0
			1)	ew_	4165	271	1.0751487E-6
	2)	n	0	0	0.0
		1)	nt	0	0	0.0
			1)	nt_	3	2363277	0.00937592
			2)	nte	56	464580	0.0018431462
			3)	ntr	106	335021	0.0013291417
			4)	nts	117	309474	0.0012277882
			5)	nti	128	292058	0.001158693
			6)	nta	178	232658	9.2303305E-4
			7)	nté	292	162552	6.448988E-4
			8)	ntu	2018	8706	3.4539647E-5
			9)	nto	2140	7122	2.8255385E-5
			10)	nth	2600	3251	1.2897817E-5
			11)	ntô	2644	2957	1.173142E-5
			12)	nt 	2724	2593	1.0287309E-5
			13)	ntè	2838	2127	8.438529E-6
			14)	ntl	3331	984	3.903861E-6
			15)	ntp	3468	798	3.165936E-6
			16)	ntg	3962	356	1.4123725E-6
			17)	ntc	4031	327	1.2973197E-6
		2)	ns	0	0	0.0
			1)	ns_	12	1223469	0.004853916
			2)	nsi	272	170102	6.748522E-4
			3)	nst	283	164757	6.5364677E-4
			4)	nse	306	158080	6.271569E-4
			5)	nsa	758	61651	2.445904E-4
			6)	nsp	906	49035	1.9453844E-4
			7)	nsé	970	43644	1.7315052E-4
			8)	nso	993	42355	1.6803663E-4
			9)	nsu	1119	33978	1.3480223E-4
			10)	nsc	1449	20543	8.1501035E-5
			11)	nsf	1615	16297	6.465572E-5
			12)	nsn	1886	10741	4.2613185E-5
