French	4	1859598
	1)	_	0.2807822	522142
		1)	_r	0.033258904	8684
			1)	_re	0.38090858	3312
				1)	_rep	0.106863335	355
					1)	_repr	0.82719547	292
					2)	_repo	0.15580736	55
					3)	_repe	0.008498584	3
					4)	Esc	0.008498584	3
				2)	_ren	0.12582782	418
					1)	_reno	0.1721698	73
					2)	_rend	0.3207547	136
					3)	_renf	0.2783019	118
					4)	_rent	0.04009434	17
					5)	_renc	0.09669811	41
					6)	_renv	0.04245283	18
					7)	_rena	0.03301887	14
					8)	Esc	0.016509434	7
				3)	_rev	0.04575557	152
					1)	_reva	0.06962025	11
					2)	_revo	0.12658228	20
					3)	_revi	0.20886075	33
					4)	_reve	0.3607595	57
					5)	_revu	0.056962024	9
					6)	_revê	0.1392405	22
					7)	Esc	0.03797468	6
				4)	_res	0.24804334	824
					1)	_resp	0.5466667	451
					2)	_rest	0.22666667	187
					3)	_ress	0.2230303	184
					4)	Esc	0.0036363637	3
				5)	_rel	0.08067429	268
					1)	_rela	0.6642066	180
					2)	_reli	0.06642067	18
					3)	_rele	0.12915128	35
					4)	_relè	0.099631	27
					5)	_relâ	0.022140222	6
					6)	Esc	0.018450184	5
				6)	_reç	0.011438892	38
					1)	_reçu	0.825	33
					2)	_reço	0.125	5
					3)	Esc	0.05	2
				7)	_rec	0.13245033	440
					1)	_reco	0.56152123	251
					2)	_rech	0.13870247	62
					3)	_recè	0.008948546	4
					4)	_recu	0.040268455	18
					5)	_rece	0.058165547	26
					6)	_recr	0.008948546	4
					7)	_recy	0.16778524	75
					8)	Esc	0.015659954	7
				8)	_ref	0.022877784	76
					1)	_refu	0.6753247	52
					2)	_refl	0.19480519	15
					3)	_refo	0.09090909	7
					4)	Esc	0.038961038	3
				9)	_red	0.011438892	38
					1)	_redo	0.2820513	11
					2)	_redé	0.2820513	11
					3)	_redi	0.35897437	14
					4)	Esc	0.07692308	3
				10)	_rej	0.014750151	49
					1)	_reje	0.7647059	39
					2)	_rejo	0.19607843	10
					3)	Esc	0.039215688	2
				11)	_ret	0.052077062	173
					1)	_retr	0.31460676	56
					2)	_reti	0.1741573	31
					3)	_reta	0.32022473	57
					4)	_reto	0.11235955	20
					5)	_rete	0.050561797	9
					6)	Esc	0.028089888	5
				12)	_rem	0.105960265	352
					1)	_rema	0.23333333	84
					2)	_reme	0.5138889	185
					3)	_remo	0.019444445	7
					4)	_remp	0.11388889	41
					5)	_remi	0.036111113	13
					6)	_remb	0.016666668	6
					7)	_remé	0.033333335	12
					8)	_remè	0.011111111	4
					9)	Esc	0.022222223	8
				13)	_reg	0.029500302	98
					1)	_rega	0.2970297	30
