French	3	27606485
	1)	r	0.060392007	1667211
		1)	re	0.40064818	667947
			1)	rep	0.096028745	64140
			2)	ren	0.1257222	83973
			3)	rev	0.044696636	29854
			4)	res	0.22219262	148408
			5)	rel	0.110370174	73719
			6)	reç	0.013467081	8995
			7)	rec	0.13924767	93007
			8)	ref	0.024731819	16519
			9)	red	0.008981547	5999
			10)	rej	0.022827413	15247
			11)	ret	0.04869259	32523
			12)	rem	0.10467942	69918
			13)	reg	0.025911592	17307
			14)	req	0.010167309	6791
			15)	reh	3.9225962E-4	262
			16)	reb	0.0014777108	987
			17)	rei	1.8864393E-4	126
			18)	rea	1.9762699E-4	132
			19)	Esc	2.6949134E-5	18
		2)	ré	0.3144618	524260
			1)	réc	0.053385373	27986
			2)	réd	0.06809468	35697
			3)	rég	0.18264832	95749
			4)	réj	0.020054327	10513
			5)	rés	0.20056617	105142
			6)	rée	0.040854517	21417
			7)	réa	0.10065888	52768
			8)	réu	0.050220706	26327
			9)	rép	0.11752374	61609
			10)	réf	0.103606075	54313
			11)	réi	0.0078916345	4137
			12)	rét	0.010503104	5506
			13)	rén	0.0010873174	570
			14)	rév	0.031656194	16595
			15)	réé	0.0027259237	1429
			16)	réh	0.0013391171	702
			17)	réo	0.0026725114	1401
			18)	rém	0.004328286	2269
			19)	réb	1.4688322E-4	77
			20)	Esc	3.624391E-5	19
		3)	ra	0.18102096	301792
			1)	rap	0.70460004	212649
			2)	rai	0.15991664	48263
			3)	rat	0.033929642	10240
			4)	rav	0.014092067	4253
			5)	rar	0.009383666	2832
			6)	ras	0.012465168	3762
			7)	rac	0.018727573	5652
			8)	ram	0.0050529987	1525
			9)	rad	0.020248441	6111
			10)	raf	0.0012690482	383
			11)	ray	0.0025944249	783
			12)	ral	0.00714378	2156
			13)	ran	0.0069350335	2093
			14)	rab	0.0015076159	455
			15)	rag	0.0011663315	352
			16)	raj	7.190168E-4	217
			17)	raz	1.9217962E-4	58
			18)	Esc	5.6328507E-5	17
		4)	ri	0.030613627	51038
			1)	ris	0.4318672	22014
			2)	rir	0.0058657355	299
			3)	ric	0.098442346	5018
			4)	rie	0.3013301	15360
			5)	rig	0.086946286	4432
			6)	rid	0.02548358	1299
			7)	riv	0.03368384	1717
			8)	rim	0.0024522305	125
			9)	rit	0.0038058618	194
			10)	riz	0.0070231883	358
			11)	rip	0.0028838231	147
			12)	Esc	2.1579629E-4	11
		5)	rè	0.033787277	56329
			1)	règ	0.99998224	56329
			2)	Esc	1.7752529E-5	1
		6)	ro	0.011634114	19396
			1)	rou	0.7643967	13818
			2)	ros	0.013608453	246
			3)	rot	0.015489296	280
			4)	rom	0.10228467	1849
			5)	roi	0.019250982	348
			6)	rod	0.0031531781	57
			7)	rob	0.018199923	329
			8)	roc	0.008021243	145
			9)	ron	0.024008408	434
			10)	roy	0.015544615	281
			11)	rog	0.005863805	106
			12)	roq	0.009514853	172
			13)	Esc	6.6382694E-4	12
		7)	rô	0.015914433	26532
			1)	rôl	0.9999623	26494
			2)	Esc	3.774297E-5	1
		8)	ru	0.009628915	16053
			1)	rur	0.4627204	7348
			2)	rup	0.0313602	498
			3)	rud	0.023425693	372
			4)	rui	0.044143576	701
			5)	rus	0.23287153	3698
			6)	rum	0.034130983	542
			7)	rue	0.07298489	1159
			8)	rub	0.09785894	1554
			9)	Esc	5.0377834E-4	8
		9)	rh	4.6006218E-4	767
			1)	rhé	0.8291055	621
			2)	rhu	0.1682243	126
			3)	Esc	0.002670227	2
		10)	ry	8.7573763E-4	1460
			1)	ryt	0.99931365	1456
			2)	Esc	6.863418E-4	1
		11)	rê	8.9673133E-4	1495
			1)	rêv	0.93653977	1402
			2)	rên	0.06212425	93
			3)	Esc	0.0013360054	2
		12)	rw	5.0984723E-5	85
			1)	rwa	0.9883721	85
			2)	Esc	0.011627907	1
		13)	Esc	7.1978434E-6	12
	2)	s	0.07016529	1937017
		1)	se	0.22541107	434978
			1)	ses	0.053715494	23357
			2)	sen	0.10102385	43928
			3)	ser	0.32519066	141402
			4)	sem	0.08644108	37587
			5)	seu	0.14056362	61121
			6)	sep	0.013998639	6087
			7)	sex	0.02068174	8993
			8)	sei	0.07573339	32931
			9)	sec	0.121222645	52711
			10)	sel	0.05517584	23992
			11)	seg	8.6240994E-4	375
			12)	sef	0.00536304	2332
			13)	Esc	2.759712E-5	12
		2)	so	0.25335568	488903
			1)	sou	0.43967244	214933
			2)	soi	0.19163625	93681
			3)	sor	0.04646025	22712
			4)	soc	0.17313357	84636
			5)	sop	0.004754034	2324
			6)	sol	0.09239273	45166
			7)	som	0.03129398	15298
			8)	soy	0.0075156284	3674
			9)	son	0.0077999705	3813
			10)	sob	6.423264E-4	314
			11)	sof	8.571171E-4	419
			12)	sov	0.0029497922	1442
			13)	sot	1.1864628E-4	58
			14)	soj	7.446077E-4	364
			15)	Esc	2.8638759E-5	14
		3)	su	0.12298947	237334
			1)	suj	0.13155499	31213
			2)	sug	0.026835313	6367
			3)	sus	0.05787273	13731
			4)	sui	0.17680454	41949
			5)	suf	0.07690654	18247
			6)	sup	0.15287319	36271
			7)	sub	0.12369027	29347
			8)	sud	0.012825484	3043
			9)	sur	0.17410289	41308
			10)	suc	0.05009652	11886
			11)	sué	0.014696833	3487
			12)	sun	0.0011927743	283
			13)	sul	4.9312576E-4	117
			14)	Esc	5.4791748E-5	13
		4)	si	0.088614866	171001
			1)	sil	0.09357475	15985
			2)	sit	0.33002	56376
			3)	sig	0.22819126	38981
			4)	sin	0.07980635	13633
			5)	sim	0.20769086	35479
			6)	siè	0.037318677	6375
			7)	six	0.006538817	1117
			8)	sid	0.008359383	1428
			9)	sie	0.0029972019	512
			10)	sis	8.605248E-4	147
			11)	sié	0.0037699179	644
			12)	sir	8.019856E-4	137
			13)	Esc	7.024692E-5	12
		5)	sa	0.1135326	219085
			1)	san	0.17127912	37524
			2)	sav	0.2355339	51601
			3)	sag	0.17315513	37935
			4)	saj	0.0040715532	892
			5)	sai	0.09125392	19992
			6)	sau	0.044905767	9838
			7)	sat	0.08068249	17676
			8)	sal	0.08422912	18453
			9)	sac	0.03766187	8251
			10)	sar	0.0047105863	1032
			11)	sad	0.010671852	2338
			12)	sam	0.0054546036	1195
			13)	sab	0.0054454743	1193
			14)	sap	0.03443475	7544
			15)	saf	0.0018212443	399
			16)	sas	0.012191838	2671
			17)	sao	0.001565631	343
			18)	sah	8.4900105E-4	186
			19)	Esc	8.2161394E-5	18
		6)	st	0.055336293	106783
			1)	sta	0.34606344	36953
			2)	str	0.5271443	56289
			3)	sti	0.052172203	5571
			4)	sté	0.006377539	681
			5)	sto	0.047358613	5057
			6)	ste	0.0032871016	351
			7)	sty	0.0045794663	489
			8)	stu	0.0129423775	1382
			9)	Esc	7.49197E-5	8
		7)	sé	0.05042934	97314
			1)	séc	0.53091305	51652
			2)	sér	0.19913864	19374
			3)	séa	0.078878395	7674
			4)	sét	0.03017813	2936
			5)	sév	0.031020978	3018
			6)	sép	0.049995374	4864
			7)	sém	0.006362487	619
			8)	sél	0.03904861	3799
			9)	ség	0.0023538119	229
			10)	séi	0.0024360411	237
			11)	séj	0.018717429	1821
			12)	séd	0.0031658255	308
			13)	sén	0.004687066	456
			14)	séq	0.0029602523	288
			15)	Esc	1.4390115E-4	14
		8)	sc	0.011211529	21635
			1)	sca	0.14743708	3187
			2)	scr	0.07156736	1547
			3)	sci	0.4697909	10155
			4)	sce	0.057041083	1233
			5)	sco	0.06439675	1392
			6)	scé	0.048158772	1041
			7)	sch	0.039368987	851
			8)	scè	0.093865655	2029
			9)	scl	0.007957069	172
			10)	Esc	4.1635826E-4	9
		9)	sû	0.010406227	20081
			1)	sûr	0.9999502	20079
			2)	Esc	4.9800798E-5	1
		10)	sy	0.030582316	59015
			1)	sys	0.81303674	45726
			2)	syn	0.098380186	5533
			3)	sym	0.07675895	4317
			4)	syl	0.006063192	341
			5)	syr	0.0056720185	319
			6)	Esc	8.8903114E-5	5
		11)	sp	0.019655285	37929
			1)	spé	0.7255181	27516
			2)	spo	0.14407003	5464
			3)	spe	0.054527238	2068
			4)	spi	0.020909138	793
			5)	sph	0.024284132	921
			6)	spa	0.024996044	948
			7)	spl	0.0039550704	150
			8)	spr	0.0015292938	58
			9)	Esc	2.1093708E-4	8
		12)	sê	2.1454E-4	414
			1)	sêt	0.99759036	414
			2)	Esc	0.0024096386	1
		13)	sh	2.8398048E-4	548
			1)	sho	0.44110855	191
			2)	sha	0.55427253	240
			3)	Esc	0.0046189376	2
		14)	sl	0.0012903493	2490
			1)	slo	0.97254723	2161
			2)	sla	0.026552655	59
			3)	Esc	9.0009003E-4	2
		15)	sv	3.0263615E-4	584
