French	3	27606418
	1)	i	0.017282141	477098
		1)	is	0.20639928	479681
			1)	ise	0.8225354	121690
			2)	isé	0.14103214	20865
			3)	isi	0.018277062	2704
			4)	isa	0.013937612	2062
			5)	ist	4.5963028E-4	68
			6)	ish	7.840752E-4	116
			7)	is 	0.0029267634	433
			8)	Esc	4.731488E-5	7
		2)	io	9.0359733E-4	2100
			1)	ion	0.99951166	1573888
			2)	ios	2.660897E-4	419
			3)	iol	2.2036544E-4	347
			4)	Esc	1.9051768E-6	3
		3)	it	0.2585502	600882
			1)	ité	0.61826086	392289
			2)	ite	0.18292083	116064
			3)	its	0.19759686	125376
			4)	ith	1.0874636E-4	69
			5)	ity	2.1591669E-4	137
			6)	ita	2.1118858E-4	134
			7)	itz	9.9290155E-5	63
			8)	it 	5.736764E-4	364
			9)	Esc	1.2608273E-5	8
		4)	ie	0.12114315	281542
			1)	ier	0.34900916	158031
			2)	ien	0.324188	146792
			3)	iel	0.058761172	26607
			4)	ieu	0.06761058	30614
			5)	iez	0.0158503	7177
			6)	ies	0.17250039	78108
			7)	ief	4.4169708E-4	200
			8)	iet	0.0012588367	570
			9)	ied	0.008878112	4020
			10)	iew	4.4832253E-4	203
			11)	iea	4.129868E-4	187
			12)	ie 	6.139589E-4	278
			13)	Esc	2.6501826E-5	12
		5)	in	0.075157784	174670
			1)	ins	0.34309462	91890
			2)	ine	0.38807142	103936
			3)	int	0.20557673	55059
			4)	ini	0.009416526	2522
			5)	inq	0.0022141158	593
			6)	iné	0.02845867	7622
			7)	ing	0.018000426	4821
			8)	inu	0.002225317	596
			9)	ina	7.1314693E-4	191
			10)	ino	5.45128E-4	146
			11)	ind	2.7629777E-4	74
			12)	inc	2.2029146E-4	59
			13)	in 	0.0011387948	305
			14)	Esc	4.8538797E-5	13
		6)	il	0.09667889	224686
			1)	ile	0.44872284	44656
			2)	ils	0.46784502	46559
			3)	ilà	0.07481059	7445
			4)	ilm	0.0026226412	261
			5)	ilé	0.0030949174	308
			6)	ilo	0.0012259089	122
			7)	il 	0.0016077494	160
			8)	Esc	7.033903E-5	7
		7)	ir	0.1680562	390570
			1)	ire	0.9464617	425444
			2)	iré	0.0068407822	3075
			3)	ira	0.020399991	9170
			4)	irs	0.025872616	11630
			5)	ir 	4.1378388E-4	186
			6)	Esc	1.1123223E-5	5
		8)	iv	4.8622143E-5	113
			1)	ive	0.9136331	123959
			2)	ivé	0.036918566	5009
			3)	ivi	0.04942621	6706
			4)	Esc	2.2111339E-5	3
		9)	ié	0.011429216	26562
			1)	iée	0.39770883	15692
			2)	iés	0.60224044	23762
			3)	Esc	5.0689374E-5	2
		10)	if	0.03076749	71505
			1)	ifs	0.9983529	58187
			2)	if 	0.0016128202	94
			3)	Esc	3.4315322E-5	2
		11)	ip	3.43367E-4	798
			1)	ipe	0.90626645	24065
			2)	ipé	0.09365821	2487
			3)	Esc	7.531822E-5	2
		12)	ig	4.4749584E-5	104
			1)	ige	0.50413936	5846
			2)	igé	0.4084167	4736
			3)	igu	0.02483615	288
			4)	igt	0.062262848	722
			5)	Esc	3.4494654E-4	4
		13)	ic	0.0076539	17788
			1)	ice	0.4966622	49327
			2)	ici	0.39666924	39396
			3)	ics	0.08948115	8887
			4)	ict	0.013824421	1373
			5)	ica	8.4577664E-4	84
			6)	icy	9.968082E-4	99
			7)	ich	5.9405743E-4	59
			8)	icd	8.4577664E-4	84
			9)	Esc	8.0550155E-5	8
		14)	id	3.5928751E-4	835
			1)	ide	0.74362636	48915
			2)	idé	0.13110568	8624
			3)	ids	0.05690266	3743
			4)	idi	0.04171544	2744
			5)	idu	0.011766673	774
			6)	ida	0.014791955	973
			7)	Esc	9.121452E-5	6
		15)	im	6.394027E-4	1486
			1)	ime	0.8325037	38465
			2)	imé	0.15405592	7118
			3)	imo	0.009133409	422
			4)	ima	0.004220414	195
			5)	Esc	8.657259E-5	4
		16)	ix	0.019361509	44997
			1)	ixé	0.6483784	2399
			2)	ixe	0.35108107	1299
			3)	Esc	5.4054055E-4	2
		17)	ik	4.9912996E-5	116
			1)	ika	0.8341837	327
			2)	ikh	0.16071428	63
			3)	Esc	0.0051020407	2
		18)	ia	0.0018239758	4239
			1)	ial	0.6682012	32077
			2)	iat	0.21587335	10363
			3)	ias	0.10990522	5276
			4)	ian	0.0034996355	168
			5)	iau	0.002416415	116
			6)	Esc	1.0415582E-4	5
		19)	ii	8.906888E-5	207
			1)	iii	0.987013	76
			2)	Esc	0.012987013	1
		20)	iz	1.4887842E-4	346
			1)	ize	0.98630136	72
			2)	Esc	0.01369863	1
		21)	i 	3.4250642E-4	796
		22)	Esc	9.035974E-6	21
	2)	s	0.2541686	7016685
		1)	se	0.49785116	393981
			1)	ses	0.52329206	143314
			2)	ser	0.41332018	113196
			3)	sen	0.015821375	4333
			4)	sez	0.038492717	10542
			5)	sel	0.006922993	1896
			6)	set	3.687881E-4	101
			7)	sem	6.937598E-4	190
			8)	se 	0.0010588965	290
			9)	Esc	2.921094E-5	8
		2)	ss	9.79323E-4	775
			1)	ssé	0.09778009	18231
			2)	sse	0.3741452	69759
			3)	ssi	0.5229205	97498
			4)	sso	5.417031E-4	101
			5)	ssu	0.0045857043	855
			6)	Esc	2.6816984E-5	5
		3)	sé	0.08703338	68875
			1)	sés	0.5029147	35285
			2)	sée	0.49613032	34809
			3)	sé 	9.121877E-4	64
			4)	Esc	4.27588E-5	3
		4)	st	0.2625862	207801
			1)	ste	0.9202963	94427
			2)	sté	0.053837534	5524
			3)	sts	0.017728182	1819
			4)	sti	0.005740461	589
			5)	sta	5.3603627E-4	55
			6)	sty	0.0018030311	185
			7)	Esc	5.8476682E-5	6
		5)	si	0.12899517	102082
			1)	sie	0.14829512	5419
			2)	sil	0.29418203	10750
			3)	sit	0.053883202	1969
			4)	sif	0.14211045	5193
			5)	sir	0.26662472	9743
			6)	sin	0.04994253	1825
			7)	sis	0.03738164	1366
			8)	six	0.0039954027	146
			9)	si 	0.003338624	122
			10)	Esc	2.4629195E-4	9
		6)	so	5.130389E-4	406
			1)	son	0.9460358	37849
			2)	soi	0.015971806	639
			3)	sor	0.012572486	503
			4)	sol	0.025319936	1013
			5)	Esc	9.998E-5	4
		7)	su	0.0012825972	1015
			1)	sue	0.06616534	2842
			2)	sud	0.051218774	2200
			3)	sus	0.8778432	37706
			4)	sur	0.0046795337	201
			5)	Esc	9.312505E-5	4
		8)	sk	0.0012080424	956
			1)	sky	0.58	145
			2)	ski	0.412	103
			3)	Esc	0.008	2
		9)	sc	9.098227E-5	72
			1)	sci	0.7494123	4782
