Italian	4	205693006	11141
	1)	_	0	0	0.0
		1)	_d	0	0	0.0
			1)	_di	0	0	0.0
				1)	_di_	1	1914984	0.0055914894
				2)	_dir	114	208424	6.0856936E-4
				3)	_dis	118	204672	5.9761404E-4
				4)	_div	565	75880	2.2155914E-4
				5)	_dif	728	63180	1.8447688E-4
				6)	_dim	933	51540	1.504897E-4
				7)	_dic	958	50746	1.4817133E-4
				8)	_dib	1922	23691	6.917446E-5
				9)	_dia	2213	19471	5.6852637E-5
				10)	_dip	2446	16380	4.7827343E-5
				11)	_din	2699	13945	4.0717478E-5
				12)	_die	3535	8422	2.459108E-5
				13)	_dig	3961	6492	1.8955745E-5
				14)	_dit	4988	3600	1.0511504E-5
				15)	_dil	6148	1945	5.679132E-6
				16)	_dio	8827	546	1.5942447E-6
				17)	_did	9734	361	1.0540703E-6
			2)	_de	0	0	0.0
				1)	_del	3	1613802	0.004712079
				2)	_dei	66	324783	9.483216E-4
				3)	_dev	332	112013	3.2706253E-4
				4)	_deg	337	110627	3.2301559E-4
				5)	_dec	585	74344	2.1707424E-4
				6)	_des	697	65563	1.9143493E-4
				7)	_det	837	56366	1.6458095E-4
				8)	_dem	1157	42932	1.2535552E-4
				9)	_def	1429	33988	9.924027E-5
				10)	_dep	1489	32555	9.5056115E-5
				11)	_deb	1569	30606	8.93653E-5
				12)	_den	2563	15258	4.4551256E-5
				13)	_der	2877	12574	3.6714348E-5
				14)	_de_	3839	6935	2.0249245E-5
				15)	_ded	3986	6394	1.8669598E-5
				16)	_deu	5170	3237	9.4515935E-6
			3)	_da	0	0	0.0
				1)	_dal	95	237043	6.9213286E-4
				2)	_da_	122	197873	5.777619E-4
				3)	_dat	1107	44670	1.3043024E-4
				4)	_dai	1831	25304	7.388419E-5
				5)	_dar	1850	24926	7.278049E-5
				6)	_dan	2423	16632	4.8563146E-5
				7)	_dav	2675	14111	4.1202176E-5
				8)	_dag	2752	13577	3.9642968E-5
				9)	_dac	3551	8356	2.4398369E-5
				10)	_daz	3847	6889	2.011493E-5
