Italian	3	886921	993
	1)	t	0	0	0.0
		1)	to	0	0	0.0
			1)	to_	1	11082	0.009150601
			2)	tor	127	1603	0.0013236251
			3)	tol	842	268	2.2129228E-4
		2)	te	0	0	0.0
			1)	te_	10	6300	0.00520202
			2)	ter	30	3190	0.0026340387
			3)	ten	83	1981	0.0016357463
			4)	tem	302	890	7.3488854E-4
			5)	tes	398	680	5.6148786E-4
			6)	teg	590	435	3.591871E-4
			7)	tec	945	213	1.7587782E-4
		3)	ti	0	0	0.0
			1)	ti_	13	5853	0.0048329243
			2)	tiv	53	2513	0.002075028
			3)	tic	71	2159	0.001782724
			4)	tit	338	803	6.6305115E-4
			5)	tim	510	507	4.1863875E-4
			6)	tio	566	459	3.790043E-4
			7)	tin	581	442	3.6496713E-4
			8)	tir	701	350	2.8900112E-4
			9)	til	887	239	1.9734647E-4
			10)	tiz	944	213	1.7587782E-4
			11)	tia	971	205	1.6927208E-4
		4)	ta	0	0	0.0
			1)	ta_	22	4105	0.0033895702
			2)	tat	69	2210	0.0018248355
			3)	tar	102	1812	0.0014962001
			4)	tan	124	1612	0.0013310566
			5)	tal	186	1244	0.0010271926
			6)	tam	416	653	5.391935E-4
			7)	taz	558	465	3.8395863E-4
			8)	tad	757	308	2.5432097E-4
			9)	tab	880	243	2.0064935E-4
		5)	tt	0	0	0.0
			1)	tto	49	2612	0.002156774
			2)	tti	62	2300	0.0018991502
			3)	tta	110	1725	0.0014243627
			4)	tte	204	1131	9.3388645E-4
			5)	ttu	315	846	6.9855695E-4
			6)	ttr	819	280	2.3120089E-4
		6)	tà	0	0	0.0
			1)	tà_	51	2575	0.0021262225
		7)	tr	0	0	0.0
			1)	tra	57	2427	0.0020040162
			2)	tro	156	1408	0.0011626102
			3)	tri	200	1170	9.660894E-4
			4)	tre	350	764	6.3084817E-4
			5)	tru	471	567	4.681818E-4
		8)	tu	0	0	0.0
			1)	tur	222	1081	8.9260057E-4
			2)	tut	409	664	5.482764E-4
			3)	tua	425	631	5.210277E-4
			4)	tui	950	211	1.7422638E-4
	2)	r	0	0	0.0
		1)	re	0	0	0.0
			1)	re_	2	10532	0.008696456
			2)	res	55	2488	0.0020543851
			3)	rev	177	1305	0.0010775613
			4)	ren	213	1100	9.082892E-4
			5)	reg	268	946	7.811287E-4
			6)	rel	275	936	7.7287154E-4
			7)	reb	333	809	6.6800544E-4
			8)	ret	351	763	6.3002243E-4
			9)	rea	433	623	5.1442196E-4
			10)	rem	454	590	4.871733E-4
			11)	rec	561	461	3.8065575E-4
			12)	rez	600	429	3.542328E-4
			13)	rei	706	342	2.8239537E-4
			14)	red	758	308	2.5432097E-4
			15)	rer	931	219	1.8083212E-4
		2)	ro	0	0	0.0
			1)	rop	40	2852	0.0023549462
			2)	ro_	58	2395	0.0019775934
			3)	rog	232	1055	8.7113195E-4
			4)	rov	424	635	5.243306E-4
			5)	ron	479	552	4.5579605E-4
			6)	roc	536	486	4.012987E-4
			7)	rol	569	453	3.7405003E-4
			8)	rob	614	417	3.443242E-4
			9)	rod	646	390	3.220298E-4
			10)	ros	666	378	3.121212E-4
			11)	rof	798	291	2.4028379E-4
			12)	rom	860	256	2.1138367E-4
		3)	ri	0	0	0.0
			1)	ri_	43	2769	0.0022864116
			2)	rit	108	1732	0.0014301427
			3)	ris	129	1583	0.0013071108
			4)	ric	131	1580	0.0013046336
			5)	ria	190	1233	0.0010181096
			6)	rio	191	1230	0.0010156325
			7)	rim	266	949	7.8360585E-4
			8)	rie	322	824	6.803912E-4
			9)	rin	394	694	5.730479E-4
			10)	rif	439	616	5.0864194E-4
			11)	rig	608	424	3.501042E-4
			12)	rib	631	403	3.3276415E-4
			13)	riv	733	324	2.6753245E-4
			14)	rid	803	289	2.3863235E-4
			15)	rip	899	232	1.9156645E-4
		4)	ra	0	0	0.0
			1)	ra_	65	2266	0.0018710758
			2)	rat	80	2026	0.0016729035
			3)	ran	135	1544	0.0012749077
			4)	raz	212	1102	9.0994063E-4
			5)	ral	262	959	7.918631E-4
			6)	ram	291	908	7.4975146E-4
			7)	rar	368	744	6.143338E-4
