Italian	3	26618811
	1)	e	0.30470815	8110969
		1)	es	0.0017101559	1035
			1)	esa	0.11300819	38270
			2)	esi	0.39717346	134502
			3)	ese	0.36109176	122283
			4)	eso	0.073002055	24722
			5)	est	0.019022701	6442
			6)	esì	0.031519454	10674
			7)	esb	0.0023652879	801
			8)	ess	0.002793461	946
			9)	Esc	2.362335E-5	8
		2)	eo	0.18257524	110496
			1)	eo”	0.9954751	220
			2)	Esc	0.004524887	1
		3)	et	0.0018803453	1138
			1)	ete	0.192764	24599
			2)	eti	0.11286556	14403
			3)	eto	0.16208507	20684
			4)	età	0.3980817	50800
			5)	eta	0.13269128	16933
			6)	ets	4.6233897E-4	59
			7)	ett	4.701752E-4	60
			8)	et�	5.1719276E-4	66
			9)	Esc	6.269003E-5	8
		4)	er	0.08868356	53672
			1)	ero	0.18195447	160331
			2)	era	0.11215784	98829
			3)	ere	0.52198577	459953
			4)	erò	0.03991443	35171
			5)	eri	0.07315244	64459
			6)	erà	0.070268735	61918
			7)	erm	7.7171004E-5	68
			8)	ers	2.1335512E-4	188
			9)	ert	7.830587E-5	69
			10)	erg	1.2483544E-4	110
			11)	er�	6.0147988E-5	53
			12)	Esc	1.2483544E-5	11
		5)	em	0.0025627553	1551
			1)	ema	0.4115431	88590
			2)	emo	0.23528428	50648
			3)	emi	0.2572992	55387
			4)	eme	0.09585484	20634
			5)	Esc	1.858192E-5	4
		6)	el	0.004063066	2459
			1)	ell	0.61299706	37307
			2)	ela	0.2768978	16852
			3)	ele	0.041981596	2555
			4)	elo	0.04415051	2687
			5)	eli	0.023890898	1454
			6)	Esc	8.215577E-5	5
		7)	ea	0.38587725	233536
			1)	eal	0.07162791	77
			2)	eam	0.11906977	128
			3)	ean	0.4455814	479
			4)	ea”	0.36	387
			5)	Esc	0.0037209303	4
		8)	ed	4.5934622E-4	278
			1)	edi	0.030657671	2913
			2)	edì	0.057442352	5458
			3)	edo	0.4501405	42771
			4)	ede	0.41900924	39813
			5)	eda	0.042697623	4057
			6)	Esc	5.2622163E-5	5
		9)	ei	0.19869862	120254
			1)	eid	0.34719336	167
			2)	ein	0.27442828	132
			3)	eil	0.17879418	86
			4)	ei”	0.19126819	92
			5)	Esc	0.008316008	4
		10)	eg	2.4123938E-4	146
			1)	ega	0.66516954	13773
			2)	ego	0.29397276	6087
			3)	egi	0.040712837	843
			4)	Esc	1.4488555E-4	3
		11)	en	0.026043938	15762
			1)	ene	0.3963041	64294
			2)	ena	0.1473982	23913
			3)	eno	0.39301872	63761
			4)	eni	0.0522147	8471
			5)	enz	0.0049064932	796
			6)	ent	0.00501128	813
			7)	ens	5.362624E-4	87
			8)	end	5.609182E-4	91
			9)	Esc	4.931149E-5	8
		12)	ev	7.5841695E-4	459
			1)	evo	0.14891669	16915
			2)	eva	0.18359496	20854
			3)	eve	0.6440878	73160
			4)	evi	0.02336535	2654
			5)	Esc	3.5215297E-5	4
		13)	ee	0.065344475	39547
			1)	een	0.987013	76
			2)	Esc	0.012987013	1
		14)	ec	1.8506034E-4	112
			1)	ece	0.4712166	19719
			2)	eca	0.24713838	10342
			3)	eci	0.15551892	6508
			4)	ecc	0.014624705	612
			5)	eco	0.07142686	2989
			6)	ect	0.0018639329	78
			7)	ecu	0.03804335	1592
