Spanish	4	76826237	10236
	1)	i	0	0	0.0
		1)	ió	0	0	0.0
			1)	ión	0	0	0.0
				1)	ión_	1	706169	0.006253462
				2)	ión–	8942	323	2.8603183E-6
			2)	iód	0	0	0.0
				1)	iódi	5690	1258	1.1140187E-5
			3)	ióx	0	0	0.0
				1)	ióxi	8421	393	3.4802015E-6
			4)	iót	0	0	0.0
				1)	ióti	9804	233	2.0633256E-6
		2)	io	0	0	0.0
			1)	ion	0	0	0.0
				1)	ione	16	225700	0.0019986806
				2)	iona	58	113341	0.0010036883
				3)	ioni	4409	2307	2.042958E-5
				4)	ionó	7761	516	4.569425E-6
				5)	ion_	9632	249	2.2050133E-6
			2)	ios	0	0	0.0
				1)	ios_	72	98579	8.729638E-4
				2)	ioso	2971	5060	4.48087E-5
				3)	iosa	3059	4785	4.2373445E-5
			3)	ior	0	0	0.0
				1)	ior_	1146	16928	1.4990548E-4
				2)	iori	1717	11069	9.802125E-5
				3)	iore	2712	5881	5.2079045E-5
				4)	iorm	4766	1937	1.7153054E-5
				5)	ioro	7580	552	4.888222E-6
				6)	iora	8134	440	3.896409E-6
			4)	ioa	0	0	0.0
				1)	ioam	2739	5814	5.148573E-5
			5)	iol	0	0	0.0
				1)	iole	2836	5469	4.843059E-5
				2)	iola	3372	4011	3.5519308E-5
				3)	ioló	6022	1101	9.749878E-6
			6)	iod	0	0	0.0
				1)	iodi	4599	2110	1.8685052E-5
				2)	iodo	4721	1980	1.753384E-5
				3)	iodí	8802	341	3.0197168E-6
			7)	iot	0	0	0.0
				1)	iota	5929	1143	1.01218075E-5
				2)	iote	6922	738	6.53534E-6
			8)	iom	0	0	0.0
				1)	ioma	5958	1126	9.971264E-6
				2)	iomé	9409	271	2.3998336E-6
			9)	ioc	0	0	0.0
				1)	ioca	6906	741	6.5619065E-6
				2)	ioco	9473	264	2.3378452E-6
			10)	ioe	0	0	0.0
				1)	ioec	6927	737	6.526485E-6
			11)	iov	0	0	0.0
				1)	iovi	7455	581	5.1450306E-6
			12)	iob	0	0	0.0
				1)	iobr	7602	547	4.8439447E-6
			13)	iog	0	0	0.0
				1)	iogá	10140	205	1.8153723E-6
		3)	id	0	0	0.0
			1)	ida	0	0	0.0
				1)	idad	17	223055	0.0019752579
				2)	ida_	267	47648	4.2194565E-4
				3)	idas	341	40403	3.5778774E-4
				4)	idar	1874	10059	8.907722E-5
				5)	idam	2637	6170	5.463828E-5
				6)	idat	2865	5382	4.7660164E-5
				7)	idac	5049	1685	1.4921475E-5
				8)	idan	6120	1055	9.342526E-6
			2)	ido	0	0	0.0
				1)	ido_	36	142812	0.0012646681
				2)	idos	740	24508	2.1702997E-4
				3)	idor	1839	10361	9.175157E-5
			3)	ide	0	0	0.0
				1)	ider	535	30493	2.7003E-4
				2)	iden	579	28838	2.5537418E-4
				3)	idea	1952	9492	8.405616E-5
				4)	ide_	3065	4756	4.2116637E-5
				5)	idez	4466	2245	1.9880541E-5
				6)	idem	5553	1333	1.1804348E-5
				7)	ideo	5896	1154	1.0219218E-5
			4)	idi	0	0	0.0
				1)	idid	3136	4606	4.0788316E-5
				2)	idir	3512	3734	3.3066342E-5
				3)	idia	3782	3176	2.8124987E-5
				4)	idio	4303	2440	2.1607359E-5
				5)	idie	5027	1705	1.5098584E-5
				6)	idió	5182	1595	1.4124482E-5
				7)	idim	7355	607	5.3752733E-6
				8)	idis	8171	433	3.8344206E-6
			5)	idu	0	0	0.0
				1)	iduo	3483	3796	3.3615383E-5
				2)	idua	4036	2797	2.4768762E-5
				3)	idum	6454	897	7.94336E-6
				4)	idur	8917	328	2.9045957E-6
			6)	idí	0	0	0.0
				1)	idíc	7968	470	4.162073E-6
			7)	idé	0	0	0.0
				1)	idén	8267	417	3.692733E-6
			8)	idr	0	0	0.0
				1)	idro	8426	392	3.471346E-6
			9)	idó	0	0	0.0
				1)	idón	9551	257	2.275857E-6
		4)	ie	0	0	0.0
			1)	ien	0	0	0.0
				1)	ient	29	160224	0.0014188596
				2)	iend	158	66014	5.845853E-4
				3)	iene	1018	18793	1.6642094E-4
				4)	ienc	1451	13215	1.170251E-4
				5)	iens	2565	6391	5.6595338E-5
				6)	ien_	3421	3939	3.4881716E-5
				7)	ienz	4473	2240	1.9836263E-5
				8)	ienv	5298	1498	1.3265501E-5
				9)	iena	9683	245	2.1695912E-6
			2)	iem	0	0	0.0
				1)	iemb	153	67680	5.993385E-4
				2)	iemp	1366	14248	1.261728E-4
				3)	iemo	8337	406	3.5953226E-6
			3)	ier	0	0	0.0
				1)	iero	328	41359	3.6625357E-4
				2)	iera	338	40693	3.6035583E-4
				3)	iere	925	20482	1.8137784E-4
				4)	iert	1547	12321	1.091083E-4
