Spanish	3	25528180
	1)	r	0.049344216	1259668
		1)	re	0.8764962	1104032
			1)	rea	0.087240614	96318
			2)	rei	0.0069344686	7656
			3)	rec	0.1532032	169144
			4)	ref	0.09337711	103093
			5)	red	0.04538291	50105
			6)	rel	0.0882614	97445
			7)	rep	0.05225035	57687
			8)	res	0.27977356	308884
			9)	reu	0.01617771	17861
			10)	rev	0.020717358	22873
			11)	ren	0.016110683	17787
			12)	ret	0.024939993	27535
			13)	reg	0.08257144	91163
			14)	req	0.014254789	15738
			15)	ree	0.0052968618	5848
			16)	rem	0.006843893	7556
			17)	reñ	1.0144468E-4	112
			18)	reb	0.0021412075	2364
			19)	reh	0.0013984874	1544
			20)	reo	9.274942E-4	1024
			21)	reú	0.0011720484	1294
			22)	rey	2.001721E-4	221
			23)	rez	5.552285E-4	613
			24)	reí	6.612019E-5	73
			25)	rej	7.880078E-5	87
			26)	Esc	2.2643902E-5	25
		2)	ra	0.05082737	64022
			1)	raz	0.5216534	33342
			2)	rat	0.11394643	7283
			3)	rap	0.04734339	3026
			4)	ras	0.023421366	1497
			5)	ram	0.013110958	838
			6)	rad	0.11235058	7181
			7)	raí	0.051536392	3294
			8)	rac	0.08109081	5183
			9)	ran	0.006054822	387
			10)	rar	0.016599912	1061
			11)	ral	0.0044276863	283
			12)	rab	0.003332499	213
			13)	ray	0.0049283435	315
			14)	Esc	2.0339196E-4	13
		3)	ru	0.016161518	20357
			1)	rue	0.15157957	3066
			2)	rut	0.098581105	1994
			3)	rur	0.28600386	5785
			4)	rum	0.13951649	2822
			5)	rus	0.20887922	4225
			6)	rup	0.01962723	397
			7)	rui	0.08656746	1751
			8)	rub	0.006031542	122
			9)	rud	0.0027685766	56
			10)	Esc	4.449498E-4	9
		4)	ri	0.025305713	31875
			1)	rie	0.5365102	17068
			2)	ris	0.008267061	263
			3)	rig	0.16914469	5381
			4)	ric	0.08430516	2682
			5)	riq	0.058718134	1868
			6)	riv	0.011284695	359
			7)	rid	0.031245088	994
			8)	rin	0.021217741	675
			9)	rit	0.060698457	1931
			10)	rij	0.0058152326	185
			11)	rib	0.008581397	273
			12)	riñ	0.00204319	65
			13)	ria	0.0017602866	56
			14)	Esc	4.0863798E-4	13
		5)	rá	0.010265188	12930
			1)	ráp	0.9999225	12903
			2)	Esc	7.749535E-5	1
		6)	ro	0.011221843	14135
			1)	ron	0.14059082	1799
			2)	roj	0.064942166	831
			3)	roz	0.0058612064	75
			4)	ros	0.042356987	542
			5)	rot	0.14020006	1794
			6)	rog	0.04970303	636
			7)	rom	0.31251955	3999
			8)	rod	0.12488277	1598
			9)	rob	0.07275711	931
			10)	rop	0.019146608	245
			11)	roc	0.01211316	155
			12)	roa	0.0052360115	67
			13)	rol	0.008674586	111
			14)	Esc	0.0010159424	13
		7)	ré	0.0076453025	9630
			1)	rég	0.952217	9127
			2)	réc	0.031194575	299
			3)	rép	0.01627543	156
			4)	Esc	3.1298905E-4	3
		8)	rí	0.0012345219	1555
			1)	ríg	0.45013297	677
			2)	río	0.54853725	825
			3)	Esc	0.0013297872	2
		9)	rú	8.351878E-4	1052
			1)	rúb	0.99904853	1050
			2)	Esc	9.5147477E-4	1
		10)	Esc	7.1451423E-6	9
	2)	p	0.16349117	4173632
		1)	pe	0.11053207	461309
			1)	per	0.6810942	314137
			2)	ped	0.040004425	18451
			3)	pen	0.069228835	31930
			4)	pes	0.09501674	43824
			5)	pet	0.02691317	12413
			6)	pel	0.0337103	15548
			7)	peq	0.03843035	17725
			8)	peo	0.007959256	3671
			9)	pec	0.005255581	2424
			10)	pea	0.0015653999	722
			11)	pez	2.6234542E-4	121
			12)	peg	3.946022E-4	182
			13)	pep	1.3659307E-4	63
			14)	Esc	2.818587E-5	13
		2)	pa	0.23881266	996692
			1)	pas	0.05948652	59287
			2)	paí	0.13269205	132247
			3)	par	0.69307756	690753
			4)	pac	0.009981478	9948
			5)	pat	0.00943364	9402
			6)	pal	0.02697347	26883
			7)	pag	0.015173893	15123
			8)	pap	0.021852292	21779
			9)	pau	0.0011869811	1183
			10)	pan	0.0031957184	3185
			11)	pañ	9.230961E-5	92
			12)	paq	0.0072292467	7205
			13)	pab	5.5887445E-4	557
			14)	pad	0.0040786797	4065
			15)	paz	0.0139237	13877
			16)	pai	5.5987784E-4	558
			17)	pav	1.0434999E-4	104
			18)	pak	3.000062E-4	299
			19)	paj	8.026922E-5	80
			20)	Esc	1.906394E-5	19
		3)	po	0.2526453	1054423
			1)	pod	0.10985385	115821
			2)	pon	0.062466864	65860
			3)	por	0.5196748	547903
			4)	pos	0.11460004	120825
			5)	pol	0.14962645	157754
			6)	pob	0.030562855	32223
			7)	pot	0.009621376	10144
			8)	pop	0.002276351	2400
			9)	poc	7.3032925E-4	770
			10)	poq	1.6598392E-4	175
			11)	poe	2.2953204E-4	242
			12)	poz	9.7693395E-5	103
			13)	pom	8.156924E-5	86
			14)	Esc	1.2330234E-5	13
		4)	pr	0.28455928	1187617
			1)	pro	0.52162635	619485
			2)	pró	0.019285906	22904
			3)	pre	0.28862086	342767
			4)	pri	0.13549899	160919
			5)	pru	0.0090324795	10727
			6)	prá	0.021471823	25500
			7)	pra	0.002771128	3291
			8)	pré	0.0016419628	1950
			9)	prí	4.2943644E-5	51
			10)	Esc	7.57829E-6	9
		5)	pi	0.010603731	44255
			1)	pid	0.3602355	15908
			2)	pie	0.42067483	18577
			3)	pin	0.011458334	506
			4)	pic	0.006816123	301
			5)	pil	0.1296422	5725
			6)	pis	0.027649457	1221
			7)	pié	0.0015851449	70
			8)	pir	0.025475543	1125
			9)	pia	0.0033061595	146
			10)	piq	0.0014719203	65
			11)	pio	0.00932971	412
			12)	piz	0.0020833334	92
			13)	Esc	2.7173912E-4	12
		6)	pl	0.025034916	104484
