Spanish	3	25528195
	1)	i	4.968232E-4	12683
		1)	ió	0.018843524	24625
			1)	ión	0.9999993	1391468
			2)	Esc	7.18665E-7	1
		2)	id	3.894966E-4	509
			1)	ido	0.72727996	275026
			2)	ida	0.24583176	92963
			3)	ide	0.026311822	9950
			4)	idí	3.1203972E-4	118
			5)	idó	2.5121841E-4	95
			6)	Esc	1.3222021E-5	5
		3)	io	0.23986639	313461
			1)	ios	0.8529111	192050
			2)	ior	0.14429098	32490
			3)	ion	0.0023271306	524
			4)	io–	4.5299108E-4	102
			5)	Esc	1.7764356E-5	4
		4)	ia	0.3416482	446471
			1)	ias	0.5028099	158812
			2)	ial	0.37187392	117456
			3)	iar	0.11550773	36483
			4)	ian	0.009324076	2945
			5)	ia–	4.6857834E-4	148
			6)	Esc	1.583035E-5	5
		5)	it	0.0026568412	3472
			1)	ito	0.60904557	84756
			2)	itó	0.011130912	1549
			3)	itu	0.037050344	5156
			4)	ita	0.1896854	26397
			5)	ite	0.12673718	17637
			6)	ité	0.019509636	2715
			7)	ity	8.120033E-4	113
			8)	ith	4.3115218E-4	60
			9)	its	0.0048792055	679
			10)	ití	6.4672827E-4	90
			11)	Esc	7.1858696E-5	10
		6)	ie	0.015650265	20452
			1)	ien	0.59703225	43655
			2)	ier	0.275	20108
			3)	iez	0.075834244	5545
			4)	ies	0.03800602	2779
			5)	iel	0.014059081	1028
			6)	Esc	6.8380745E-5	5
		7)	ic	1.7217433E-4	225
			1)	ica	0.6187902	255931
			2)	ico	0.33321404	137817
			3)	ice	0.04213018	17425
			4)	icó	0.0053699357	2221
			5)	icy	1.7649947E-4	73
			6)	icé	3.046429E-4	126
			7)	Esc	1.4506805E-5	6
		8)	il	0.03425198	44761
			1)	ila	0.08658687	774
			2)	ilo	0.8810829	7876
			3)	ile	0.03199463	286
			4)	Esc	3.35608E-4	3
		9)	iv	3.902618E-5	51
			1)	iva	0.52637607	110759
			2)	ivo	0.46097767	96998
			3)	ive	0.012104478	2547
			4)	ivó	5.2276894E-4	110
			5)	Esc	1.900978E-5	4
		10)	ir	0.20732239	270932
			1)	ire	0.0985239	3077
			2)	irá	0.6617463	20667
			3)	iré	0.12593257	3933
			4)	ira	0.077455096	2419
			5)	iro	0.02651212	828
			6)	iró	0.00963786	301
			7)	Esc	1.921168E-4	6
		11)	ip	9.412197E-5	123
			1)	ipo	0.8942289	22886
			2)	ipe	0.05353026	1370
			3)	ipa	0.029617473	758
			4)	ipé	0.008674247	222
			5)	ipó	0.011214004	287
			6)	ips	0.0025006838	64
			7)	Esc	2.3443911E-4	6
		12)	im	6.657407E-5	87
			1)	imo	0.55416083	45163
			2)	ima	0.41219416	33593
			3)	ime	0.031301383	2551
			4)	imó	0.0022945348	187
			5)	Esc	4.9080958E-5	4
		13)	in	0.100788556	131712
			1)	ine	0.04092212	4026
			2)	ina	0.17863023	17574
			3)	ino	0.73214614	72030
			4)	inó	0.010784493	1061
			5)	ing	0.036033016	3545
			6)	int	7.72499E-4	76
			7)	ini	6.4036105E-4	63
			8)	Esc	7.1151226E-5	7
		14)	ié	0.0043785847	5722
			1)	ién	0.99999404	167744
			2)	Esc	5.9614295E-6	1
		15)	is	0.032449886	42406
			1)	iso	0.86225444	30460
			2)	isa	0.112296894	3967
			3)	ise	0.019928664	704
			4)	isó	0.0032553927	115
			5)	ist	0.002123082	75
			6)	Esc	1.4153881E-4	5
		16)	ig	6.810451E-5	89
			1)	iga	0.3261493	8414
			2)	igo	0.42983952	11089
			3)	ige	0.23385534	6033
			4)	igó	0.0060082176	155
			5)	igí	0.003953795	102
			6)	Esc	1.9381348E-4	5
		17)	iz	0.0011003853	1438
			1)	iza	0.47732162	11313
			2)	izá	0.20336695	4820
			3)	izo	0.2502848	5932
			4)	izó	0.068857856	1632
			5)	Esc	1.6876926E-4	4
		18)	ik	4.8208814E-5	63
			1)	ika	0.9975787	412
			2)	Esc	0.0024213076	1
		19)	ix	7.652192E-5	100
		20)	ii	7.346105E-5	96
		21)	Esc	1.5304386E-5	20
	2)	ó	0.0031591344	80647
		1)	ón	0.99990773	1419666
			1)	ón–	0.997191	355
			2)	Esc	0.0028089888	1
		2)	ós	9.085806E-5	129
		3)	Esc	1.4086521E-6	2
	3)	n	0.11207388	2861044
		1)	ne	0.251429	109307
			1)	nes	0.792295	523459
			2)	nea	0.014846667	9809
			3)	nen	0.07332671	48446
			4)	ner	0.11520735	76116
			5)	nel	0.0012381052	818
			6)	net	3.9352977E-4	260
			7)	neo	0.0026018373	1719
			8)	nez	7.8705954E-5	52
			9)	Esc	1.2108608E-5	8
		2)	na	0.3371325	146566
			1)	nas	0.41604888	113479
			2)	nal	0.36054835	98341
			3)	nar	0.19159755	52259
			4)	nan	0.031200275	8510
			5)	naz	3.446329E-4	94
			6)	na–	2.3830998E-4	65
			7)	Esc	2.1997845E-5	6
		3)	no	0.38118842	165719
			1)	nos	0.9705299	202668
			2)	nor	0.02793288	5833
			3)	non	3.112699E-4	65
			4)	nol	8.4761187E-4	177
			5)	no–	3.543688E-4	74
			6)	Esc	2.3943838E-5	5
		4)	nt	0.0012743161	554
			1)	nte	0.6588508	842037
			2)	nto	0.26365626	336963
			3)	nta	0.073165216	93508
			4)	nté	7.785365E-4	995
			5)	ntó	0.0033050634	4224
			6)	ntí	1.2597424E-4	161
			7)	nts	6.0248552E-5	77
			8)	nti	5.1641615E-5	66
			9)	Esc	6.25959E-6	8
		5)	ns	7.015639E-4	305
			1)	nsa	0.4920838	16939
			2)	nso	0.4135607	14236
			3)	nse	0.084797956	2919
			4)	nsó	0.00424135	146
			5)	nsé	0.0051709614	178
			6)	Esc	1.4525172E-4	5
		6)	nd	3.3583058E-4	146
			1)	ndo	0.75953084	312471
			2)	nda	0.12850024	52865
			3)	nde	0.10999028	45250
			4)	ndó	0.0011400097	469
			5)	ndi	2.7224113E-4	112
			6)	ndí	5.5177446E-4	227
			7)	Esc	1.4584346E-5	6
		7)	ng	0.008513075	3701
			1)	nga	0.69145304	16617
			2)	ngo	0.29119506	6998
			3)	nge	0.014563914	350
			4)	ngs	0.0026215047	63
			5)	Esc	1.6644473E-4	4
		8)	ni	2.9672703E-4	129
			1)	nir	0.42224994	11842
			2)	nio	0.46182922	12952
			3)	nil	0.01782849	500
			4)	nia	0.0766625	2150
			5)	nis	0.0023533606	66
			6)	nió	0.018862542	529
			7)	Esc	2.1394188E-4	6
		9)	nú	1.3571237E-4	59
			1)	núa	0.60763025	1959
			2)	núe	0.37344912	1204
			3)	núm	0.017990075	58
			4)	Esc	9.305211E-4	3
		10)	ní	0.0061530606	2675
			1)	nía	0.99991757	12129
			2)	Esc	8.244023E-5	1
		11)	nó	0.0069305315	3013
		12)	né	7.314666E-4	318
			1)	nés	0.9992983	1424
			2)	Esc	7.017544E-4	1
		13)	nl	0.0030615788	1331
			1)	nlo	0.99236643	130
			2)	Esc	0.007633588	1
		14)	nn	1.9781802E-4	86
		15)	n°	4.5314129E-4	197
		16)	n–	0.0012375127	538
		17)	n 	1.8861718E-4	82
		18)	Esc	3.910356E-5	17
	4)	o	0.19034353	4859127
		1)	od	3.0333566E-5	109
			1)	odo	0.98733294	46845
			2)	oda	0.011465666	544
			3)	ode	0.001138136	54
			4)	Esc	6.3229774E-5	3
		2)	os	0.7041417	2530248
			1)	oso	0.36149016	17272
			2)	osa	0.45732525	21851
			3)	ose	0.15946002	7619
			4)	ost	0.0038928422	186
			5)	os–	0.017727083	847
			6)	Esc	1.0464629E-4	5
		3)	or	0.25080988	901255
			1)	ora	0.93965006	124529
			2)	oro	0.030861637	4090
			3)	ore	0.016766395	2222
			4)	ori	0.0034936278	463
			5)	oré	6.1874185E-4	82
			6)	oró	0.004904661	650
			7)	ord	0.0027088819	359
			8)	ort	5.2819424E-4	70
			9)	or–	3.999185E-4	53
			10)	Esc	6.791069E-5	9
		4)	ol	0.006427655	23097
			1)	ole	0.040302068	2028
			2)	ola	0.3043124	15313
			3)	olo	0.6536566	32892
			4)	oló	0.0016494435	83
			5)	Esc	7.9491256E-5	4
